,Test,LSTM-Tred_Pred,LSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
0,291.0,230.31338500976562,255.9664368192474,233.63821411132812,235.28845789329836,233.38900756835938,254.45678128539723,238.25621032714844,242.19834562762588,242.31283569335938,244.32339906907956
1,284.0,309.078857421875,322.7883813336971,307.1805114746094,293.65819961782523,296.25848388671875,342.57598712515335,308.4246826171875,321.3901379869941,311.7176208496094,317.37603317171175
2,319.0,299.44305419921875,294.8690746396702,305.60455322265625,291.93094251121414,298.9439697265625,302.0418946301632,302.1424560546875,295.45628256482667,303.23016357421875,285.5176554275402
3,364.0,322.4940185546875,322.96414405059295,331.83056640625,317.3663945363482,329.5238037109375,323.80403908929867,325.01458740234375,325.76742859565314,331.05999755859375,329.9018567104616
4,340.0,375.6351623535156,366.14988916796534,375.88128662109375,352.24147564002874,364.4723205566406,365.3298995876569,371.74029541015625,380.93538549748575,379.89605712890625,372.8876673533788
5,328.0,350.6829528808594,337.05293195828153,351.1900634765625,322.5530777125743,347.3798522949219,322.26345702398606,349.29986572265625,340.22856893338644,351.191162109375,327.1171606907483
6,312.0,319.9664306640625,317.3956025928714,327.3034362792969,300.9629145902354,331.9810485839844,331.53197350183603,329.8250427246094,301.8188723073887,329.4644775390625,311.8624428002784
7,309.0,304.48974609375,308.5438633704469,306.9797668457031,287.83719769594546,313.726806640625,292.79491647254827,313.3043518066406,301.06839611985987,314.50225830078125,298.8748888745988
8,325.0,296.7894287109375,304.97183822023516,301.59393310546875,293.39602081554443,304.50341796875,285.8881254660206,308.9450378417969,285.9597560820391,306.86151123046875,297.6240078134774
9,319.0,317.54547119140625,324.3430106573834,317.31585693359375,304.68254863178424,315.27545166015625,321.94606048490834,324.94500732421875,312.28689990576135,321.563720703125,316.4799100759658
10,328.0,311.61456298828125,313.50235077064906,316.9187927246094,310.0399102542157,310.816650390625,313.14037829618957,320.70465087890625,303.598766718002,317.0537109375,311.22721856999925
11,298.0,318.0306396484375,319.66138657225747,330.4735412597656,311.4215207231603,319.0604553222656,318.4849012987989,328.41400146484375,313.611890437818,326.1012878417969,322.6330434753653
12,256.0,294.46337890625,286.1429920962269,305.9431457519531,283.0176201811654,298.04864501953125,289.2433702795517,301.6763916015625,285.55813848882667,300.8472595214844,285.2676860731616
13,223.0,232.31539916992188,241.13779525032032,261.12298583984375,236.3931516424762,261.20281982421875,244.4465239328606,257.8229064941406,241.26376878583062,258.01104736328125,239.81059511009502
14,220.0,210.53985595703125,214.65057663420825,226.76766967773438,210.2220882386397,228.8449249267578,214.50806443781633,224.3219757080078,213.3359458833256,223.4146728515625,212.8985518345293
15,229.0,214.50990295410156,214.41846061354386,221.5912322998047,215.8379454764022,222.7666473388672,218.6924286686107,222.33135986328125,216.4407334504517,218.7125701904297,216.6566654569128
16,200.0,228.3629913330078,223.93843687741028,231.3096160888672,217.89872635550302,229.10665893554688,232.58624887621195,232.12353515625,225.45624221739948,228.0913543701172,230.60825666705227
17,189.0,197.19200134277344,194.5438365682301,207.1436309814453,191.78237868354748,202.88096618652344,205.92540139411224,207.56607055664062,194.7150773252147,200.90521240234375,194.7077410488293
18,157.0,182.92539978027344,193.16820229553875,194.79055786132812,179.9252753536653,191.1317138671875,192.69826031644808,192.32972717285156,188.56821046666238,190.2037353515625,185.5753992157868
19,169.0,152.6103973388672,163.63115566208614,166.08355712890625,161.07688510605175,163.68136596679688,163.1073839563521,163.8541259765625,161.3878518093518,163.99847412109375,154.278428558572
20,145.0,170.11932373046875,174.27579655433428,174.39797973632812,160.5992889670091,174.91818237304688,173.53477230107714,172.8019256591797,176.08444215902637,172.4202423095703,172.4471147807382
21,151.0,148.40066528320312,156.5397277066085,155.57351684570312,151.33929516575841,156.33035278320312,151.10422409215025,154.7640380859375,149.1485027171504,151.9066162109375,146.72851907470928
22,168.0,156.81332397460938,158.75857398281616,159.0562744140625,157.13653529653965,159.71368408203125,159.91544406130944,158.87156677246094,158.7751407426741,156.58413696289062,161.27490694982427
23,169.0,176.4678955078125,182.96045792848062,176.9203643798828,171.74165903902386,176.5943145751953,179.56783217438058,178.54371643066406,180.99785209781558,176.22286987304688,180.4318134119247
24,141.0,177.22544860839844,179.12910041679007,178.8836669921875,166.26712480025506,179.44114685058594,180.15397956969326,182.1853485107422,177.6891169972183,178.95672607421875,177.100007028093
25,137.0,147.3912353515625,138.45469305266187,150.84742736816406,134.8367015360545,154.01234436035156,149.16717097391165,151.7939453125,138.84182034468847,152.29925537109375,142.45952117297648
26,169.0,141.52581787109375,141.22552077524884,143.56427001953125,140.35512747367136,146.85107421875,144.23111959401373,141.9532470703125,140.41137183443294,145.99880981445312,139.59822955406904
