,Test,LSTM-Tred_Pred,LSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
0,-1.397,-1.3939247131347656,-1.5326702950748328,-1.4018462896347046,-1.471956631200569,-1.4189810752868652,-1.4187680885073861,-1.3899258375167847,-1.442131167970664,-1.4139933586120605,-1.4273968455123858
1,-1.407,-1.3998761177062988,-1.542192315004231,-1.4073115587234497,-1.4784116543896724,-1.4240847826004028,-1.4271044751974427,-1.3962398767471313,-1.4509728817103262,-1.4192837476730347,-1.4346890535701189
2,-1.416,-1.4068233966827393,-1.550907710345835,-1.4147605895996094,-1.4867193668046832,-1.4303200244903564,-1.4366212392827526,-1.4054416418075562,-1.4605943515017135,-1.4270968437194824,-1.446243219098679
3,-1.419,-1.415114402770996,-1.5601241874402598,-1.4233133792877197,-1.4958802133279439,-1.4373366832733154,-1.4440085899893202,-1.416029691696167,-1.4681667507668692,-1.4369914531707764,-1.452156172027215
4,-1.425,-1.4227877855300903,-1.5629559088553486,-1.429535984992981,-1.5022784862008087,-1.4432340860366821,-1.4485625052788211,-1.4219290018081665,-1.4723344889083376,-1.4433060884475708,-1.4544320175710739
5,-1.439,-1.4291977882385254,-1.5727076500754964,-1.4352960586547852,-1.5085500675255243,-1.4487632513046265,-1.455503864866497,-1.426448941230774,-1.479891944820575,-1.4471784830093384,-1.4646674237341932
6,-1.446,-1.4364567995071411,-1.5823648593965336,-1.4451960325241089,-1.5191004564659942,-1.4566757678985596,-1.4671354903941969,-1.4374282360076904,-1.4901155338728425,-1.4563547372817993,-1.480491414175678
7,-1.446,-1.4447835683822632,-1.5856112715450188,-1.4537452459335327,-1.5276906318882342,-1.4647573232650757,-1.4740321416397737,-1.4480358362197876,-1.4924013744268363,-1.4666091203689575,-1.4782524120635248
8,-1.456,-1.4515435695648193,-1.5915028358296215,-1.4578851461410522,-1.5319480938900687,-1.4703580141067505,-1.4759451468273053,-1.4511823654174805,-1.5027946736127795,-1.470121145248413,-1.4832069395038923
9,-1.462,-1.4576573371887207,-1.5984507350240527,-1.4646135568618774,-1.5390051001212086,-1.476496934890747,-1.4823437351899442,-1.4566693305969238,-1.508204632793185,-1.474020004272461,-1.4931690657164973
