,Test,LSTM-Tred_Pred,LSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
0,-0.408,-0.4037601351737976,-0.4410660846386584,-0.41073575615882874,-0.4454389473186448,-0.41299599409103394,-0.42016998496885816,-0.42078709602355957,-0.4491531300421977,-0.4158557653427124,-0.4354718902783985
1,-0.432,-0.42456305027008057,-0.4531887915187695,-0.42460453510284424,-0.4629266665507689,-0.4368794560432434,-0.44223612031142745,-0.4265563488006592,-0.4831939468920914,-0.42979365587234497,-0.4651840204100822
2,-0.463,-0.44954240322113037,-0.49927336609349254,-0.4496980905532837,-0.4898161768277945,-0.4600866436958313,-0.4727779560566864,-0.46621763706207275,-0.515779138682804,-0.4580034613609314,-0.49246716172485505
3,-0.494,-0.48119550943374634,-0.5175720145012742,-0.47695696353912354,-0.5182876060608199,-0.48680782318115234,-0.5014152539783905,-0.4872395992279053,-0.542827094361585,-0.48610764741897583,-0.5247362030824819
4,-0.541,-0.5119220018386841,-0.571565469825413,-0.5055550336837769,-0.5644958393675583,-0.515248715877533,-0.540289742563442,-0.5255592465400696,-0.5775660586671147,-0.5149775147438049,-0.5628935483683609
5,-0.561,-0.5601061582565308,-0.5976268826395538,-0.5556010007858276,-0.5970143034111896,-0.5552685856819153,-0.5718763398370914,-0.572760820388794,-0.6017153363478315,-0.5634663105010986,-0.5847566847584157
6,-0.566,-0.5749581456184387,-0.6042228432729752,-0.5660223364830017,-0.6091291143687961,-0.5834679007530212,-0.579234190680483,-0.5764163136482239,-0.6031849732786316,-0.5732560753822327,-0.5977978665926834
7,-0.558,-0.5774442553520203,-0.59310907903246,-0.5765721201896667,-0.5933482746505059,-0.595490574836731,-0.563741597465946,-0.5911274552345276,-0.6008777504911743,-0.5825905799865723,-0.5874363524000563
8,-0.57,-0.5654571056365967,-0.5841384193800317,-0.5640036463737488,-0.6123076798232253,-0.590122640132904,-0.5764560423846843,-0.5661768317222595,-0.6143623258712706,-0.5703845024108887,-0.596346356508654
9,-0.59,-0.5765036344528198,-0.6097565765974338,-0.5829759836196899,-0.6309045128755828,-0.5897021889686584,-0.596712135255575,-0.6010177135467529,-0.619080284746135,-0.5891786217689514,-0.6069177951029413
10,-0.593,-0.5914134979248047,-0.6131726910710104,-0.5944881439208984,-0.6217153655135718,-0.598711371421814,-0.5965150048647455,-0.5945107936859131,-0.6199079948732057,-0.5994348526000977,-0.613119084764132
11,-0.57,-0.5872357487678528,-0.604473699303966,-0.591276228427887,-0.5991499048588432,-0.6025258302688599,-0.569105104707262,-0.6001107096672058,-0.6048977527887635,-0.593481719493866,-0.5840977039568905
12,-0.522,-0.5602564215660095,-0.5581546921391803,-0.5606005787849426,-0.5601663830940307,-0.587179958820343,-0.5246069567229067,-0.5561195611953735,-0.5473440918300719,-0.5607122778892517,-0.5389894796434044
13,-0.529,-0.5104561448097229,-0.5361130199337888,-0.5062687397003174,-0.5606104971203515,-0.5468300580978394,-0.5225973433431075,-0.5058951377868652,-0.5530244508942458,-0.5076784491539001,-0.5416408068778602
14,-0.523,-0.5299597382545471,-0.5444603570447163,-0.5285425186157227,-0.5503850524840375,-0.5312566161155701,-0.5179928056309044,-0.5408257246017456,-0.5476992770461837,-0.5300973057746887,-0.5269478793825979
15,-0.509,-0.5089622735977173,-0.5283484791354132,-0.5031780004501343,-0.5300852930713718,-0.5223763585090637,-0.5072004082299365,-0.5014646649360657,-0.5260628294602433,-0.5066882371902466,-0.5197997720903161
16,-0.52,-0.49617111682891846,-0.5322998910981667,-0.49623072147369385,-0.5501330525809104,-0.5124813914299011,-0.5159528116350339,-0.5100606083869934,-0.536594164637947,-0.5000665783882141,-0.5287268669452297
17,-0.509,-0.5095914006233215,-0.5293784285857877,-0.5104426145553589,-0.5328209444251533,-0.5156112313270569,-0.5050619973947832,-0.5156632661819458,-0.5354388373023942,-0.5087436437606812,-0.5173925429953425
18,-0.478,-0.49139124155044556,-0.5065514252149614,-0.4924437403678894,-0.5022545676199226,-0.511169970035553,-0.4745196707072181,-0.5026345252990723,-0.5072452840071804,-0.49623656272888184,-0.48807096498000485
19,-0.445,-0.4643620550632477,-0.4726663140270833,-0.46084898710250854,-0.470572439589931,-0.4910815954208374,-0.4392802332797625,-0.46245402097702026,-0.4721862697315619,-0.4662778377532959,-0.4604799284310952
20,-0.417,-0.43616819381713867,-0.4469394432066518,-0.42962920665740967,-0.4511082870406323,-0.4605376720428467,-0.41642571690175567,-0.4405878186225891,-0.4455184337180215,-0.43326008319854736,-0.4333161704601247
21,-0.405,-0.40985172986984253,-0.42424425275105754,-0.4052193760871887,-0.4285906235347711,-0.4281204342842102,-0.4034317925344876,-0.40146157145500183,-0.4281508301202641,-0.408252477645874,-0.41737524524043645
22,-0.397,-0.3978158235549927,-0.4197404568262968,-0.3937874436378479,-0.41401518842043716,-0.4058101177215576,-0.38494435951558453,-0.4076395332813263,-0.42453336996471996,-0.3964262008666992,-0.4063664209529846
23,-0.366,-0.38728487491607666,-0.389060698428205,-0.38265860080718994,-0.38865943268274167,-0.3909147381782532,-0.35852086107712167,-0.3897678256034851,-0.39711920760709724,-0.3863915205001831,-0.37803185305505455
24,-0.385,-0.3565886616706848,-0.3771491962527377,-0.34245890378952026,-0.395675744548146,-0.36518019437789917,-0.3622253209056742,-0.34215113520622253,-0.40595504865545134,-0.35023537278175354,-0.3831426438154168
25,-0.411,-0.3750497102737427,-0.42467510202576386,-0.38057637214660645,-0.4310682046597445,-0.36774230003356934,-0.39718405507673493,-0.40682876110076904,-0.426016737115957,-0.3850706219673157,-0.4153048058954949
26,-0.405,-0.39300239086151123,-0.429016931570146,-0.3996177911758423,-0.42053650775576534,-0.38986897468566895,-0.39997389892117624,-0.40500640869140625,-0.4308803440835452,-0.4034716486930847,-0.414634008958721
27,-0.401,-0.38979199528694153,-0.4276133718665916,-0.39321035146713257,-0.43308667682509644,-0.4017675220966339,-0.400123239463279,-0.4057508111000061,-0.42744361542542825,-0.39839449524879456,-0.41184644722855435
28,-0.397,-0.391718327999115,-0.4241250000061071,-0.3986480236053467,-0.42493518329235114,-0.4070690870285034,-0.40089754402975575,-0.4037294089794159,-0.42625659250595455,-0.40165913105010986,-0.41727327383198975
29,-0.403,-0.39091044664382935,-0.4291250357856964,-0.3976588845252991,-0.4364409135426114,-0.40620553493499756,-0.40455038801174403,-0.40454787015914917,-0.42661914698766035,-0.3958233892917633,-0.4187345144335949
30,-0.401,-0.39717036485671997,-0.4228035584175917,-0.40736493468284607,-0.42602597382038265,-0.4097729027271271,-0.404138558032932,-0.4095354378223419,-0.4298692379351168,-0.4065181016921997,-0.4168814427397291
31,-0.386,-0.3955616056919098,-0.41014468044829455,-0.39885544776916504,-0.41247650997678675,-0.4100794196128845,-0.3820749808731833,-0.4031495153903961,-0.4198980979844521,-0.39735227823257446,-0.40343972625856495
32,-0.37,-0.3819301724433899,-0.3942636302327368,-0.38282376527786255,-0.3965274739870556,-0.3994554579257965,-0.3661395264177959,-0.38142669200897217,-0.4037647114797064,-0.3827211260795593,-0.3871412077059577
33,-0.353,-0.3664325475692749,-0.38120074021177774,-0.3647063374519348,-0.3782232843502995,-0.3823684751987457,-0.3471481088749837,-0.3665943145751953,-0.3876463480719256,-0.365919828414917,-0.37039390273161077
34,-0.338,-0.3483145534992218,-0.3661883880595289,-0.3453514873981476,-0.35830581177963017,-0.3614293932914734,-0.3269584998764371,-0.35079318284988403,-0.37101482859281554,-0.3485525846481323,-0.3551684780791957
35,-0.329,-0.3314521908760071,-0.3476714596074069,-0.32692599296569824,-0.34460406591202186,-0.34089571237564087,-0.3264365983610203,-0.3276289105415344,-0.3556531016152506,-0.3325779438018799,-0.34016108437879816
