,Test,LSTM-Tred_Pred,LSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
0,26758.16193,27290.158203125,26915.545446381446,27646.8515625,27395.558853989554,27292.3359375,27213.405763014838,27007.45703125,26994.340341116927,27066.1953125,27106.222352906992
1,26707.74617,26983.93359375,26630.30825824055,27173.5859375,26945.022777353628,26906.6953125,26877.2917596144,26804.32421875,26735.1016892285,26642.94140625,26829.05298176812
2,27054.35449,26987.734375,26793.090193506778,27147.447265625,26938.372649716515,26898.8671875,26931.17610198991,26864.798828125,26808.085009393184,26642.474609375,26788.693270463013
3,26827.48359,27434.189453125,26951.539541425507,27675.427734375,27456.2435302908,27350.80078125,27355.895595768463,27283.05859375,26925.37936504854,27157.736328125,27034.681794588487
4,26487.17724,27024.9921875,26346.76066559693,27150.158203125,26896.249403014666,26858.01171875,26828.00082894062,26835.947265625,26299.518513754017,26625.287109375,26252.66943787315
5,25819.16849,26594.296875,26109.801153922155,26724.2578125,26498.140311822302,26467.189453125,26437.406846434522,26428.818359375,25941.490954119447,26201.54296875,26028.827976685738
6,25724.63895,25674.9296875,25378.732650011243,25842.1484375,25605.785477640184,25596.43359375,25592.493973356355,25618.517578125,25387.792864905394,25301.17578125,25419.55572914907
7,25680.52516,25594.111328125,25487.642593659493,26023.234375,25815.330509967072,25706.201171875,25698.137634698054,25405.595703125,25538.57159118887,25472.693359375,25701.28841447614
8,25075.53611,25485.75390625,25385.680788661117,26054.935546875,25801.095615470804,25656.4765625,25680.683395887514,25152.642578125,25507.082036841497,25458.259765625,25691.38288547548
9,24754.13567,24718.158203125,24398.739949316616,25159.23046875,24893.458562203316,24869.595703125,24863.297387853574,24415.58984375,24453.99531283482,24678.92578125,24691.31617123319
10,25176.36761,24558.431640625,24663.84139894743,24949.48828125,24730.38009147601,24679.50390625,24719.298413055694,24301.509765625,24715.151951640728,24436.453125,24708.078792418917
11,26209.89059,25373.90625,25379.86597583279,25763.052734375,25553.828056722705,25342.625,25482.05724557796,25049.0703125,25485.2910331801,25206.58203125,25394.739559740032
12,26543.89497,26835.4140625,26590.60816757738,27196.62890625,26978.1969079747,26672.662109375,26820.474337921372,26379.193359375,26668.159234325984,26547.236328125,26686.033555133366
13,27186.69584,26939.669921875,26744.799997696296,27225.35546875,26980.589411248337,26841.0390625,26824.838735544367,26492.408203125,26713.104351371527,26626.8359375,26718.354044150616
14,27508.09628,27681.9609375,27520.324757451024,28011.2890625,27835.237181037355,27682.638671875,27654.073739899526,27407.900390625,27479.00557154037,27441.080078125,27691.053966794047
15,27879.91247,27930.828125,27808.049474708092,28147.9296875,27945.441550389594,27862.171875,27840.69286425211,27667.638671875,27822.573213636802,27609.150390625,27899.54195347388
16,28308.44639,28425.60546875,28355.646533461528,28539.982421875,28351.199234678978,28292.4609375,28306.871539609365,28166.318359375,28424.090325105295,28071.87109375,28329.21965474373
17,28749.58425,28910.41796875,28766.672096742826,29005.078125,28794.000670561567,28746.255859375,28719.778175887983,28728.9921875,28819.252528622066,28500.888671875,28846.273483917903
18,29461.70678,29364.12890625,29196.184378031117,29410.728515625,29219.3039436809,29140.546875,29134.58101510044,29235.79296875,29157.7522282526,28920.67578125,29170.84167154313
19,29852.42888,30158.6640625,29944.338188602476,30266.9140625,30103.02599749859,29962.876953125,29926.821548542455,30019.67578125,29875.350658092215,29782.7890625,29949.680458350205
20,30262.05689,30485.673828125,30238.532160409974,30517.7421875,30336.725780714503,30210.109375,30202.254825010754,30399.70703125,30204.456996050638,30090.80859375,30242.555514076146
21,30772.51641,30904.615234375,30651.893637322915,30939.759765625,30772.63991659616,30624.88671875,30663.993672560053,30858.736328125,30676.556534745363,30579.15234375,30683.656245930266
22,31938.38074,31433.40234375,31175.12899220013,31463.861328125,31304.931442237536,31170.771484375,31184.144573665068,31388.0546875,31215.071269418913,31161.2734375,31300.464825423438
23,32429.93435,32774.82421875,32444.571146630857,32947.88671875,32825.93893138327,32696.830078125,32608.203546431658,32631.83984375,32493.81804584036,32605.345703125,32525.906948220025
24,32770.2407,33095.828125,32868.94736383329,33093.765625,32938.97963387718,32880.6640625,32822.58379578495,32989.37109375,32835.392983258185,32850.67578125,32895.196252542904
25,33034.92341,33388.91796875,33171.68351071556,33309.15625,33207.66671115782,33117.09765625,33164.02122977501,33269.51171875,33065.912741669315,33169.640625,33214.31241542916
26,33331.11597,33607.609375,33414.43288272388,33484.1171875,33380.89213650321,33301.6875,33341.20824629018,33508.20703125,33368.30964434274,33438.8984375,33475.592834161784
27,33765.95186,33875.609375,33642.30527140999,33745.71875,33652.8257344036,33561.875,33584.977937961354,33788.8125,33612.244447056466,33789.38671875,33584.847089003975
28,34188.18381,34318.0859375,34147.47676820223,34242.640625,34149.334847355305,34050.4765625,34025.612003595044,34235.08984375,34192.702570351714,34272.63671875,34202.957216422845
29,34314.22319,34709.65234375,34543.72883679734,34627.99609375,34541.587985242135,34435.50390625,34423.116761535835,34603.92578125,34548.73872784368,34616.2734375,34463.48587393466
30,34673.43545,34678.97265625,34533.797619795885,34568.68359375,34499.67233558871,34367.49609375,34431.34333928526,34608.609375,34654.96170836855,34424.109375,34506.26760992983
31,35013.74179,35051.91796875,34935.42172985106,35025.8984375,34987.66775131846,34850.46484375,34871.699056503065,34984.96484375,34907.3540033163,34842.8828125,34840.691031458446
32,35505.2954,35301.86328125,35242.03199851027,35352.953125,35296.51693936079,35198.37109375,35192.99916814127,35277.53125,35273.019536812186,35192.50390625,35211.380650688225
