,Model,variable,RMSE
0,LSTM,Tred,0.0516247229443563
1,LSTM,Tred,0.030422308874586
2,LSTM,Tred,0.0301231218362863
3,LSTM,Tred,0.0182905825453622
4,LSTM,Tred,0.0980291861060006
5,LSTM,Tred,0.1182644620804799
6,LSTM,Tred,0.0251794004133657
7,LSTM,Tred,0.1113855728358493
8,LSTM,Tred,0.01518390984877
9,CNN,Tred,0.0163127895766355
10,CNN,Tred,0.0371229225202928
11,CNN,Tred,0.0158257760147307
12,CNN,Tred,0.0158226102936263
13,CNN,Tred,0.0165614141015779
14,CNN,Tred,0.016497001839024
15,CNN,Tred,0.0176027963873168
16,CNN,Tred,0.0168811441819983
17,CNN,Tred,0.0174152776286698
18,BiLSTM,Tred,0.0308947266738589
19,BiLSTM,Tred,0.0188663121491866
20,BiLSTM,Tred,0.0200925413850084
21,BiLSTM,Tred,0.0180568589718222
22,BiLSTM,Tred,0.0340152581540191
23,BiLSTM,Tred,0.0158896924548016
24,BiLSTM,Tred,0.0153457111849758
25,BiLSTM,Tred,0.0215878443409561
26,BiLSTM,Tred,0.03994742381924
27,GRU,Tred,0.0135087618370563
28,GRU,Tred,0.0099410613239616
29,GRU,Tred,0.0088142079929112
30,GRU,Tred,0.0083377083464398
31,GRU,Tred,0.0112264677297012
32,GRU,Tred,0.0126261484588843
33,GRU,Tred,0.0161842924367487
34,GRU,Tred,0.012763010029615
35,GRU,Tred,0.0121537688039549
36,RNN,Tred,0.029835225747975
37,RNN,Tred,0.013100687869274
38,RNN,Tred,0.0145564957641978
39,RNN,Tred,0.0150212889195616
40,RNN,Tred,0.0579227710761091
41,RNN,Tred,0.0551530079266624
42,RNN,Tred,0.0269230001163507
43,RNN,Tred,0.0162992403304681
44,RNN,Tred,0.0225527812007485
45,LSTM,GAB,0.0320918005313443
46,LSTM,GAB,0.0300207504037757
47,LSTM,GAB,0.0479274446035603
48,LSTM,GAB,0.0333015245311606
49,LSTM,GAB,0.054732845356856
50,LSTM,GAB,0.0070680338600594
51,LSTM,GAB,0.0365193345145765
52,LSTM,GAB,0.0423897890323142
53,LSTM,GAB,0.1239716334053704
54,CNN,GAB,0.052348835039572
55,CNN,GAB,0.023930490986626
56,CNN,GAB,0.019555197978655
57,CNN,GAB,0.0316260825135381
58,CNN,GAB,0.0446162276256231
59,CNN,GAB,0.0306858597224613
60,CNN,GAB,0.0570771274103241
61,CNN,GAB,0.0535047002069524
62,CNN,GAB,0.0884530324220232
63,BiLSTM,GAB,0.0113297232690875
64,BiLSTM,GAB,0.0131488271494544
65,BiLSTM,GAB,0.0283721700974531
66,BiLSTM,GAB,0.0129964088795831
67,BiLSTM,GAB,0.030519904184217
68,BiLSTM,GAB,0.0130464570950793
69,BiLSTM,GAB,0.0232036465319654
70,BiLSTM,GAB,0.0149996944257016
71,BiLSTM,GAB,0.0150049310063271
72,GRU,GAB,0.0143004867787618
73,GRU,GAB,0.00683042160014
74,GRU,GAB,0.0200818508833716
75,GRU,GAB,0.0202797523962601
76,GRU,GAB,0.0223409588986053
77,GRU,GAB,0.0184710199165256
78,GRU,GAB,0.0170250864791929
79,GRU,GAB,0.0195711154172026
80,GRU,GAB,0.041066055195086
81,RNN,GAB,0.0383038167025597
82,RNN,GAB,0.0429487449900016
83,RNN,GAB,0.0101682743954207
84,RNN,GAB,0.0335486992928388
85,RNN,GAB,0.0385379934931657
86,RNN,GAB,0.0301082147883924
87,RNN,GAB,0.0301793384391212
88,RNN,GAB,0.0121863195320907
89,RNN,GAB,0.0323442181534862
