,Model,variable,RMSE
0,LSTM,Tred,385.38370890106097
1,LSTM,Tred,388.3830164269184
2,LSTM,Tred,390.79053596358585
3,LSTM,Tred,388.47780945394
4,LSTM,Tred,386.543460127689
5,LSTM,Tred,388.4360819815584
6,LSTM,Tred,388.0793983669771
7,LSTM,Tred,383.5514484468112
8,LSTM,Tred,386.008912062215
9,CNN,Tred,583.2894087900602
10,CNN,Tred,583.3481709306592
11,CNN,Tred,582.9534367993508
12,CNN,Tred,582.1901158058009
13,CNN,Tred,583.2714392129468
14,CNN,Tred,582.8582087599541
15,CNN,Tred,582.9115774733053
16,CNN,Tred,583.5176095935661
17,CNN,Tred,582.8630969688919
18,BiLSTM,Tred,415.0975479323591
19,BiLSTM,Tred,404.0631418444792
20,BiLSTM,Tred,415.0296948997415
21,BiLSTM,Tred,403.9536066762338
22,BiLSTM,Tred,412.3591673604252
23,BiLSTM,Tred,418.200543925372
24,BiLSTM,Tred,412.0203527422683
25,BiLSTM,Tred,409.12617657652896
26,BiLSTM,Tred,430.8279314315671
27,GRU,Tred,389.772837802967
28,GRU,Tred,385.4254119874594
29,GRU,Tred,394.566869904233
30,GRU,Tred,389.0545805993887
31,GRU,Tred,388.868742270992
32,GRU,Tred,384.3311137576885
33,GRU,Tred,386.5555847389629
34,GRU,Tred,386.8746881723042
35,GRU,Tred,390.3468031149147
36,RNN,Tred,399.601026475882
37,RNN,Tred,389.095438827763
38,RNN,Tred,381.3150871185933
39,RNN,Tred,388.5023961386166
40,RNN,Tred,395.97509708036426
41,RNN,Tred,382.3583473410141
42,RNN,Tred,395.13681143792064
43,RNN,Tred,385.681934160886
44,RNN,Tred,393.3079964396068
45,LSTM,GAB,369.5898853063284
46,LSTM,GAB,372.8700815893103
47,LSTM,GAB,368.2571708141171
48,LSTM,GAB,374.864533084996
49,LSTM,GAB,366.7145299956634
50,LSTM,GAB,370.0534366797037
51,LSTM,GAB,379.3536817310679
52,LSTM,GAB,375.0729402171178
53,LSTM,GAB,367.2931719325695
54,CNN,GAB,573.9373362615337
55,CNN,GAB,573.8182945226719
56,CNN,GAB,573.7182585905763
57,CNN,GAB,574.1333718878694
58,CNN,GAB,573.9672714548182
59,CNN,GAB,573.9449715300215
60,CNN,GAB,574.1581863461229
61,CNN,GAB,574.1524238424125
62,CNN,GAB,573.9022654802341
63,BiLSTM,GAB,383.5722317069769
64,BiLSTM,GAB,380.24029296578
65,BiLSTM,GAB,381.02190784441245
66,BiLSTM,GAB,386.5271578378616
67,BiLSTM,GAB,386.3228020206133
68,BiLSTM,GAB,379.6087904734516
69,BiLSTM,GAB,386.1997395640751
70,BiLSTM,GAB,385.154815546588
71,BiLSTM,GAB,380.4801642837724
72,GRU,GAB,366.2652576978216
73,GRU,GAB,369.13235430678577
74,GRU,GAB,369.2723689719513
75,GRU,GAB,373.0023499412932
76,GRU,GAB,367.1206930034122
77,GRU,GAB,371.3526858680109
78,GRU,GAB,372.8038254504764
79,GRU,GAB,365.9661043458335
80,GRU,GAB,370.564785841908
81,RNN,GAB,367.18547527573753
82,RNN,GAB,371.06819542586345
83,RNN,GAB,362.9341821252093
84,RNN,GAB,365.7324538597494
85,RNN,GAB,367.29869776460094
86,RNN,GAB,366.1399534690935
87,RNN,GAB,364.2224369021982
88,RNN,GAB,369.0041579756311
89,RNN,GAB,369.3326818783977
