,Model,variable,RMSE
0,LSTM,Tred,0.0124077803557908
1,LSTM,Tred,0.0125538109241905
2,LSTM,Tred,0.0119460573886733
3,LSTM,Tred,0.0102685291689389
4,LSTM,Tred,0.0126572665259895
5,LSTM,Tred,0.0097341428482331
6,LSTM,Tred,0.0104109190359717
7,LSTM,Tred,0.0119833059169687
8,LSTM,Tred,0.0125229676341891
9,CNN,Tred,0.0117244055732277
10,CNN,Tred,0.0102625876799637
11,CNN,Tred,0.0102209322604126
12,CNN,Tred,0.010331561411804
13,CNN,Tred,0.0103476773850825
14,CNN,Tred,0.0127307054792469
15,CNN,Tred,0.0102818596485818
16,CNN,Tred,0.0162164135575157
17,CNN,Tred,0.010360354115699
18,BiLSTM,Tred,0.0110645335440626
19,BiLSTM,Tred,0.0108893227077832
20,BiLSTM,Tred,0.0098806137807912
21,BiLSTM,Tred,0.0148443712477444
22,BiLSTM,Tred,0.0128344944614311
23,BiLSTM,Tred,0.0121837986065516
24,BiLSTM,Tred,0.0129170429694909
25,BiLSTM,Tred,0.0150959110299587
26,BiLSTM,Tred,0.015041252610656
27,GRU,Tred,0.0097822460930405
28,GRU,Tred,0.0099138955105721
29,GRU,Tred,0.0098220050873807
30,GRU,Tred,0.0102639601295887
31,GRU,Tred,0.009785772285899
32,GRU,Tred,0.0113244630025318
33,GRU,Tred,0.0097245786152637
34,GRU,Tred,0.0095726531627018
35,GRU,Tred,0.0097642323483205
36,RNN,Tred,0.0243503969061275
37,RNN,Tred,0.0121900011810648
38,RNN,Tred,0.0112373336742373
39,RNN,Tred,0.0123353839169214
40,RNN,Tred,0.0132353150768351
41,RNN,Tred,0.0111115299612974
42,RNN,Tred,0.0103114840090769
43,RNN,Tred,0.010996988338457
44,RNN,Tred,0.0157878066199503
45,LSTM,GAB,0.0075187538027251
46,LSTM,GAB,0.0176076770808184
47,LSTM,GAB,0.0108196185253107
48,LSTM,GAB,0.0130742311733149
49,LSTM,GAB,0.0227690810175415
50,LSTM,GAB,0.033769394021097
51,LSTM,GAB,0.009968458493567
52,LSTM,GAB,0.0209260643388574
53,LSTM,GAB,0.0197131367403692
54,CNN,GAB,0.0189229429057865
55,CNN,GAB,0.0101471090255458
56,CNN,GAB,0.0082232734339231
57,CNN,GAB,0.0172121943607189
58,CNN,GAB,0.0076447488308357
59,CNN,GAB,0.018159143402268
60,CNN,GAB,0.0201577986323836
61,CNN,GAB,0.0070266225138403
62,CNN,GAB,0.0153198550552885
63,BiLSTM,GAB,0.0100884001329934
64,BiLSTM,GAB,0.0087430335135059
65,BiLSTM,GAB,0.0122696489479396
66,BiLSTM,GAB,0.0083987569917042
67,BiLSTM,GAB,0.0079593012051845
68,BiLSTM,GAB,0.0076389013996492
69,BiLSTM,GAB,0.0075379461009369
70,BiLSTM,GAB,0.0054089366465355
71,BiLSTM,GAB,0.0065119169999925
72,GRU,GAB,0.0354417876386837
73,GRU,GAB,0.0213604600893752
74,GRU,GAB,0.0089410152770442
75,GRU,GAB,0.0065569176380111
76,GRU,GAB,0.0262575770424527
77,GRU,GAB,0.027616877611113
78,GRU,GAB,0.0360465778762968
79,GRU,GAB,0.0066497808281544
80,GRU,GAB,0.0278892333863124
81,RNN,GAB,0.0118952153709475
82,RNN,GAB,0.0143918485523986
83,RNN,GAB,0.0158235031867956
84,RNN,GAB,0.0172883816285669
85,RNN,GAB,0.0160962386362943
86,RNN,GAB,0.0205592672657451
87,RNN,GAB,0.012307151109886
88,RNN,GAB,0.0182519575327512
89,RNN,GAB,0.0158305360567189
