,Model,variable,RMSE
0,LSTM,Tred,5.667832809284002
1,LSTM,Tred,5.663103567145288
2,LSTM,Tred,5.662045044482395
3,LSTM,Tred,5.672821265691328
4,LSTM,Tred,5.652292082979258
5,LSTM,Tred,5.654892376320764
6,LSTM,Tred,5.657305644904426
7,LSTM,Tred,5.657316876509778
8,LSTM,Tred,5.6550263853514
9,CNN,Tred,5.834432237973997
10,CNN,Tred,5.837595791261362
11,CNN,Tred,5.852715135762505
12,CNN,Tred,5.858592477967023
13,CNN,Tred,5.845851664190919
14,CNN,Tred,5.83787218339466
15,CNN,Tred,5.845581076409111
16,CNN,Tred,5.848732478308433
17,CNN,Tred,5.860882709697912
18,BiLSTM,Tred,5.665423938104606
19,BiLSTM,Tred,5.661285368921859
20,BiLSTM,Tred,5.668962597151817
21,BiLSTM,Tred,5.676344116157488
22,BiLSTM,Tred,5.66958685969243
23,BiLSTM,Tred,5.64548661612193
24,BiLSTM,Tred,5.6063028463628815
25,BiLSTM,Tred,5.680167157206032
26,BiLSTM,Tred,5.675687068385708
27,GRU,Tred,5.702687049646861
28,GRU,Tred,5.667058551681993
29,GRU,Tred,5.678790177225137
30,GRU,Tred,5.64076133520204
31,GRU,Tred,5.690488032925703
32,GRU,Tred,5.6664453211114125
33,GRU,Tred,5.628833559853512
34,GRU,Tred,5.713868216169344
35,GRU,Tred,5.658059232967657
36,RNN,Tred,5.724072728353639
37,RNN,Tred,5.666486231128603
38,RNN,Tred,5.702737721150646
39,RNN,Tred,5.698906935577446
40,RNN,Tred,5.662979461246715
41,RNN,Tred,5.703958317986835
42,RNN,Tred,5.733860846402955
43,RNN,Tred,5.698153006827749
44,RNN,Tred,5.71457462739488
45,LSTM,GAB,4.663076105713913
46,LSTM,GAB,4.69363194599188
47,LSTM,GAB,4.715037368163634
48,LSTM,GAB,4.756189416664958
49,LSTM,GAB,4.655870310718759
50,LSTM,GAB,5.064800797184727
51,LSTM,GAB,4.7127639419760685
52,LSTM,GAB,4.733114267226668
53,LSTM,GAB,5.156394077279518
54,CNN,GAB,3.7990727309362295
55,CNN,GAB,3.796037163902149
56,CNN,GAB,3.813859235885168
57,CNN,GAB,3.810128201787536
58,CNN,GAB,3.798321800446484
59,CNN,GAB,3.791992061599205
60,CNN,GAB,3.799670630567936
61,CNN,GAB,3.7951072559073777
62,CNN,GAB,3.7929259229629126
63,BiLSTM,GAB,4.501926324046853
64,BiLSTM,GAB,4.51544091556148
65,BiLSTM,GAB,4.525195021416904
66,BiLSTM,GAB,4.518952963914359
67,BiLSTM,GAB,4.528271511309993
68,BiLSTM,GAB,4.534407511160174
69,BiLSTM,GAB,4.751092500032221
70,BiLSTM,GAB,4.723780268800986
71,BiLSTM,GAB,4.628002125939725
72,GRU,GAB,4.710839090197292
73,GRU,GAB,4.651259892592503
74,GRU,GAB,4.705181343103496
75,GRU,GAB,4.8504662892233785
76,GRU,GAB,4.814434551082686
77,GRU,GAB,4.910019726041985
78,GRU,GAB,5.116356602189644
79,GRU,GAB,4.670053445622288
80,GRU,GAB,5.098677475770453
81,RNN,GAB,4.820421041761252
82,RNN,GAB,4.672814732375598
83,RNN,GAB,4.835412954747506
84,RNN,GAB,4.618756427085132
85,RNN,GAB,4.832215686676327
86,RNN,GAB,5.1510389120972935
87,RNN,GAB,5.036659287644103
88,RNN,GAB,5.224330381051674
89,RNN,GAB,4.973721038484073
