,Model,variable,RMSE
0,LSTM (1),Tred,1.0593627498131388
1,LSTM (1),Tred,1.05789712970554
2,LSTM (1),Tred,1.0607574253895375
3,LSTM (1),Tred,1.062089552058921
4,LSTM (1),Tred,1.0595090396262508
5,LSTM (1),Tred,1.0575744597785033
6,LSTM (1),Tred,1.0589852731807852
7,LSTM (1),Tred,1.057930175930571
8,LSTM (1),Tred,1.0573880973389238
9,CNN,Tred,1.0714445688939185
10,CNN,Tred,1.070832629657244
11,CNN,Tred,1.0704462765934353
12,CNN,Tred,1.070993882980303
13,CNN,Tred,1.0660065012542574
14,CNN,Tred,1.0712931049615309
15,CNN,Tred,1.0712617684881238
16,CNN,Tred,1.0714764487564163
17,CNN,Tred,1.070571225154255
18,BiLSTM,Tred,1.0632149156639992
19,BiLSTM,Tred,1.0603299997588
20,BiLSTM,Tred,1.07490152982904
21,BiLSTM,Tred,1.0630004626789715
22,BiLSTM,Tred,1.0723066834852508
23,BiLSTM,Tred,1.0756194300032689
24,BiLSTM,Tred,1.0730764695193042
25,BiLSTM,Tred,1.0605776414577637
26,BiLSTM,Tred,1.060807260893755
27,GRU,Tred,1.0557660880386288
28,GRU,Tred,1.059909513078614
29,GRU,Tred,1.0595447012362798
30,GRU,Tred,1.055984730355034
31,GRU,Tred,1.0575858102593223
32,GRU,Tred,1.0595694735477577
33,GRU,Tred,1.0548788004510712
34,GRU,Tred,1.0624340854710193
35,GRU,Tred,1.0600037882213862
36,RNN,Tred,1.0683899000252033
37,RNN,Tred,1.0712787954842906
38,RNN,Tred,1.068550238863225
39,RNN,Tred,1.0699972240850435
40,RNN,Tred,1.0673995885401384
41,RNN,Tred,1.0742275291170016
42,RNN,Tred,1.0703775261606214
43,RNN,Tred,1.06911716119697
44,RNN,Tred,1.0640788267026529
45,LSTM (1),GAB,0.6758871202063436
46,LSTM (1),GAB,0.6835336994298805
47,LSTM (1),GAB,0.6803398574440506
48,LSTM (1),GAB,0.6758395982749128
49,LSTM (1),GAB,0.7224971929034503
50,LSTM (1),GAB,0.676357307483372
51,LSTM (1),GAB,0.7417974882482354
52,LSTM (1),GAB,0.6928527823502247
53,LSTM (1),GAB,0.6856907432804312
54,CNN,GAB,0.6983344674123351
55,CNN,GAB,0.6929230249723691
56,CNN,GAB,0.6764707807614362
57,CNN,GAB,0.6855147674847386
58,CNN,GAB,0.6249621333407492
59,CNN,GAB,0.6887513566609703
60,CNN,GAB,0.662271532833282
61,CNN,GAB,0.67175351863253
62,CNN,GAB,0.6315400512207434
63,BiLSTM,GAB,0.6650563548556964
64,BiLSTM,GAB,0.6785962389512807
65,BiLSTM,GAB,0.6452776754245758
66,BiLSTM,GAB,0.6728056418298924
67,BiLSTM,GAB,0.6453320901331309
68,BiLSTM,GAB,0.6478970009127962
69,BiLSTM,GAB,0.6465170037831827
70,BiLSTM,GAB,0.7277364422121949
71,BiLSTM,GAB,0.7025766266073312
72,GRU,GAB,0.6761999344695426
73,GRU,GAB,0.6682767901366977
74,GRU,GAB,0.680326127304444
75,GRU,GAB,0.6842450313119349
76,GRU,GAB,0.695060316897553
77,GRU,GAB,0.7404538919859784
78,GRU,GAB,0.7347735907249144
79,GRU,GAB,0.7366524954342847
80,GRU,GAB,0.6973015971305989
81,RNN,GAB,0.6947169367884343
82,RNN,GAB,0.6924218292553911
83,RNN,GAB,0.6942783578360311
84,RNN,GAB,0.70036453031691
85,RNN,GAB,0.7164415609213317
86,RNN,GAB,0.6882102319119738
87,RNN,GAB,0.7205383663240353
88,RNN,GAB,0.6973014046143343
89,RNN,GAB,0.7788473096165239
