,Model,variable,RMSE
0,LSTM,Tred,1.1564535277790446
1,LSTM,Tred,1.157972540689313
2,LSTM,Tred,1.1530772835647765
3,LSTM,Tred,1.1574572947766677
4,LSTM,Tred,1.1557663365495103
5,LSTM,Tred,1.1548877102346744
6,LSTM,Tred,1.1587573648269918
7,LSTM,Tred,1.1594904071070584
8,LSTM,Tred,1.1586400581053973
9,CNN,Tred,1.1683304110668336
10,CNN,Tred,1.168527201090485
11,CNN,Tred,1.1686442097974274
12,CNN,Tred,1.168780634212517
13,CNN,Tred,1.168531299336648
14,CNN,Tred,1.1690217105651213
15,CNN,Tred,1.1687920956596554
16,CNN,Tred,1.168463453935344
17,CNN,Tred,1.1684872030144489
18,BiLSTM,Tred,1.1551785521521898
19,BiLSTM,Tred,1.1631476712167688
20,BiLSTM,Tred,1.1622504158036089
21,BiLSTM,Tred,1.1537155133086174
22,BiLSTM,Tred,1.163108903707729
23,BiLSTM,Tred,1.1609859780384777
24,BiLSTM,Tred,1.1635608389738707
25,BiLSTM,Tred,1.161235174363806
26,BiLSTM,Tred,1.1566096937485906
27,GRU,Tred,1.1627971925025524
28,GRU,Tred,1.163758354539483
29,GRU,Tred,1.16295735797978
30,GRU,Tred,1.1637111195336565
31,GRU,Tred,1.1646111965194488
32,GRU,Tred,1.163881542304215
33,GRU,Tred,1.164097899378754
34,GRU,Tred,1.1651108797094305
35,GRU,Tred,1.163587108890635
36,RNN,Tred,1.1756527030567048
37,RNN,Tred,3.3385243822232464
38,RNN,Tred,1.1642045685172486
39,RNN,Tred,1.1630790510638258
40,RNN,Tred,1.1706732093496677
41,RNN,Tred,1.172131161506046
42,RNN,Tred,1.1629736291907984
43,RNN,Tred,1.165795185056289
44,RNN,Tred,1.175143842245307
45,LSTM,GAB,0.8069541150354693
46,LSTM,GAB,0.8038873246473941
47,LSTM,GAB,0.7997220089602592
48,LSTM,GAB,0.8262412616816811
49,LSTM,GAB,0.806291643893665
50,LSTM,GAB,0.806367242623696
51,LSTM,GAB,0.8059528336013876
52,LSTM,GAB,0.862484438632859
53,LSTM,GAB,0.8981439647732451
54,CNN,GAB,0.7807409645448941
55,CNN,GAB,0.7838362236005804
56,CNN,GAB,0.8393323213370724
57,CNN,GAB,0.7811078398661814
58,CNN,GAB,0.7896540957811332
59,CNN,GAB,0.7836011496881569
60,CNN,GAB,0.78322597084779
61,CNN,GAB,0.7819555596601416
62,CNN,GAB,0.7840533442814591
63,BiLSTM,GAB,0.800064809861622
64,BiLSTM,GAB,0.8023857611254573
65,BiLSTM,GAB,0.7983181238315772
66,BiLSTM,GAB,0.809020552881157
67,BiLSTM,GAB,0.8117816854584171
68,BiLSTM,GAB,0.827076757316089
69,BiLSTM,GAB,0.7973445349603315
70,BiLSTM,GAB,0.8048067433968514
71,BiLSTM,GAB,0.8008367828563586
72,GRU,GAB,0.8003728815519087
73,GRU,GAB,0.7953717665542085
74,GRU,GAB,0.7983617561426325
75,GRU,GAB,0.7974437767569855
76,GRU,GAB,0.8033119113575482
77,GRU,GAB,0.7989958936497069
78,GRU,GAB,0.8251541153812861
79,GRU,GAB,0.8013759648484973
80,GRU,GAB,0.8102844551103897
81,RNN,GAB,0.809983628757837
82,RNN,GAB,0.8439054631384811
83,RNN,GAB,0.8515144873517723
84,RNN,GAB,0.8402725472378954
85,RNN,GAB,0.8936366608887805
86,RNN,GAB,0.8245633911079397
87,RNN,GAB,0.8392087667219478
88,RNN,GAB,0.8664011996440517
89,RNN,GAB,0.9096508878897605
