,Model,variable,RMSE
0,LSTM,Tred,462.5641476597639
1,LSTM,Tred,485.60702078278194
2,LSTM,Tred,421.0973570576036
3,LSTM,Tred,468.8730469246459
4,LSTM,Tred,418.7193362742945
5,LSTM,Tred,485.69813750674217
6,LSTM,Tred,398.6706687864855
7,LSTM,Tred,451.9537589186987
8,LSTM,Tred,457.5835593237607
9,CNN,Tred,486.1737749922811
10,CNN,Tred,605.3867459185652
11,CNN,Tred,547.1556565405755
12,CNN,Tred,577.3083335906384
13,CNN,Tred,625.9779634556618
14,CNN,Tred,447.6960713525983
15,CNN,Tred,435.59195493829526
16,CNN,Tred,461.132946146862
17,CNN,Tred,514.9442986188491
18,BiLSTM,Tred,472.38758202613184
19,BiLSTM,Tred,456.9538638604008
20,BiLSTM,Tred,451.96216066543553
21,BiLSTM,Tred,446.81598174328775
22,BiLSTM,Tred,448.47788013737465
23,BiLSTM,Tred,490.1658577661283
24,BiLSTM,Tred,446.83475809876177
25,BiLSTM,Tred,469.0768306247407
26,BiLSTM,Tred,485.826922248849
27,GRU,Tred,453.3314855040055
28,GRU,Tred,410.8129830172813
29,GRU,Tred,449.8216623691392
30,GRU,Tred,455.1435126940669
31,GRU,Tred,413.5339398864583
32,GRU,Tred,423.2849190383751
33,GRU,Tred,455.521729945281
34,GRU,Tred,442.5389793400894
35,GRU,Tred,432.80261518409066
36,RNN,Tred,414.7182884169036
37,RNN,Tred,404.9948161109949
38,RNN,Tred,408.1151130157432
39,RNN,Tred,400.1362935970649
40,RNN,Tred,384.5658315253725
41,RNN,Tred,411.84804761336176
42,RNN,Tred,407.207662216872
43,RNN,Tred,418.6113692497525
44,RNN,Tred,403.2657719395928
45,LSTM,GAB,399.9201082864645
46,LSTM,GAB,353.0234902656932
47,LSTM,GAB,342.22999956722606
48,LSTM,GAB,364.37040763131927
49,LSTM,GAB,356.7666207213049
50,LSTM,GAB,337.185772717184
51,LSTM,GAB,355.6189330187978
52,LSTM,GAB,343.00047827008285
53,LSTM,GAB,351.20039069751954
54,CNN,GAB,411.4482312600505
55,CNN,GAB,408.6566668255065
56,CNN,GAB,409.665040399691
57,CNN,GAB,407.7134377664029
58,CNN,GAB,406.77252742228666
59,CNN,GAB,407.2697522166813
60,CNN,GAB,404.4757337960452
61,CNN,GAB,408.2684007846519
62,CNN,GAB,407.4776781346876
63,BiLSTM,GAB,412.8866324273318
64,BiLSTM,GAB,395.6688877861151
65,BiLSTM,GAB,399.3180667499616
66,BiLSTM,GAB,425.005008913471
67,BiLSTM,GAB,363.0658265228519
68,BiLSTM,GAB,390.8332294339964
69,BiLSTM,GAB,376.2520006114849
70,BiLSTM,GAB,397.7300476731763
71,BiLSTM,GAB,410.08718615424783
72,GRU,GAB,379.5326756742969
73,GRU,GAB,368.3406724170108
74,GRU,GAB,368.20646481492514
75,GRU,GAB,360.60060134447417
76,GRU,GAB,359.9640113438648
77,GRU,GAB,350.1250868528024
78,GRU,GAB,342.698975830996
79,GRU,GAB,350.1203568635736
80,GRU,GAB,353.30697738798506
81,RNN,GAB,362.7944598809438
82,RNN,GAB,366.3014758804217
83,RNN,GAB,364.0853104263802
84,RNN,GAB,386.0090534364643
85,RNN,GAB,356.89772191873544
86,RNN,GAB,369.77409638059663
87,RNN,GAB,364.102578974288
88,RNN,GAB,361.0706046934457
89,RNN,GAB,357.11370437482225
