DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
BHIWADI,0.43394403,1.343075753,0.484163573,0.493125906,0.345736622,0.962300466,1.11211081,1.057511683,0.631133242
JODHPUR,0.3119564,0.333189382,0.437122837,0.367949646,0.293136706,0.553217464,0.443007342,0.546886116,0.571144461
SINGRAULI,0.610730468,0.66337307,2.126799269,1.619702553,1.019406758,1.056676175,3.565068418,1.719300548,2.029103537
ANKLESHWAR,0.145048682,0.130341921,0.251619556,0.162600466,0.129594411,0.311937273,0.404935136,0.458844499,0.465858004
LUDHIANA,0.15083936,0.281482585,0.57289081,0.219715256,0.223899645,0.427378532,0.710819116,0.660465817,0.512237523
DURGAPUR,0.283394134,0.511795498,0.933892515,0.705891347,0.423336752,0.837773896,0.660868195,0.720911487,1.378541807
YAMUNA_NAGAR,0.227051462,0.260001009,0.326975983,0.188929917,0.262444539,0.53197795,0.474423209,0.321737885,0.46985655
CHARKHI_DADRI,0.482550598,0.751753352,0.750988218,0.717772228,0.482240843,1.122814242,2.084888998,1.876119045,1.946914972
JIND,0.154443196,0.214925623,0.30201406,0.143171723,0.117174249,0.475597458,0.385177034,0.22833216,0.301960935
KURUKSHETRA,0.187148673,0.403441626,0.26500603,0.234615275,0.195605352,0.50902598,0.336588587,0.542060368,0.309341722
SONIPAT,0.157002534,0.175188471,0.35683583,0.205147524,0.143429158,0.58419481,0.325027276,0.241920984,0.37851272
DHARUHERA,0.301371858,0.580639965,0.41137733,0.325897029,0.245635298,0.870131621,0.51757746,0.376531872,0.516237496
AMBALA,0.288949362,0.476215459,0.421884959,0.260410335,0.246524348,0.865841562,0.408685199,0.490696345,0.826288596
HISAR,0.131856513,0.312662301,0.227256866,0.171297108,0.164077359,0.387485044,0.321202669,0.282734347,0.305029731
FATEHABAD,0.130927558,0.354418276,0.500245057,0.118596981,0.108880745,0.442260196,0.607125491,0.566495229,0.647895646
BULANDSHAHR,0.289844548,0.598783395,1.348094162,0.755161617,0.43673492,0.988747367,0.614124086,0.973558777,0.561415747
MUZAFFARNAGAR,0.29956284,0.619487339,0.589981036,0.670228709,0.548853009,0.675372654,0.690320462,1.106398339,0.969022657
,1.8235,4.5882,5.6471,3.4118,1.7059,7.2353,7,6.5882,7
