,DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
0,BHIWADI,16.608184471161138,53.9350642244721,15.584919347192915,17.053743121660137,12.35043737958702,34.314667822260375,39.66291994816187,40.29527050858943,23.058271988596847
1,JODHPUR,19.71348872865128,19.533272277256028,24.75439694070477,17.513631836024047,16.004682364185108,35.72244343346237,29.34847891776349,32.46521275810683,38.12287899241583
2,SINGRAULI,7.01659668153291,10.490691011915631,25.994661839890103,19.48445047791899,11.791581329001676,13.17616423895912,49.15679859544908,20.96643781338535,24.55226952006316
3,ANKLESHWAR,13.30168324270598,12.1675579740475,30.311750488754203,18.869534371321564,13.777352144776872,37.08401486314653,51.31123084606988,57.52518274671833,58.26757798177305
4,LUDHIANA,6.133704413283525,9.05477570150539,17.495034542207325,7.733354699190894,6.949967597693959,15.973875774250205,20.930398253729177,19.83862243047464,18.02520861211313
5,DURGAPUR,4.472633321886305,6.226657759485857,19.322128118338195,7.379266105862373,7.813347936644678,11.749026155927218,7.321162292417799,12.599410045529526,21.967310049348
6,YAMUNA_NAGAR,17.049219874127537,17.730611729682476,31.741383225196834,15.10892754240935,17.860724487809005,39.1305300544513,42.24806474079878,23.3100264307397,43.98955454104913
7,CHARKHI_DADRI,11.65764426658314,14.515599955614473,19.908345410451044,11.38410362131213,11.236601911231077,30.32432649486208,35.0047221944855,33.340354018869654,33.00063257174323
8,JIND,15.283932548777065,17.459934246155044,23.74010949550855,16.718721998902815,11.463561641058911,51.70619964700855,46.76064873353047,27.8869395738907,33.9739180754299
9,KURUKSHETRA,13.831852322013368,45.50452813520047,24.773556516682618,16.825723385817348,14.730810152259169,42.25959024778159,24.42696148334466,53.829761182136295,32.16486490285048
10,SONIPAT,7.049970426981063,9.535769006854387,15.08982614869423,9.033863604904363,6.262973456315979,26.948187388295263,14.683012675011655,13.654510101251326,29.12235575311032
11,DHARUHERA,11.924181311657412,17.222860080236593,17.80050095052421,9.617719849887004,10.611183211998824,32.7046549749991,16.987909015223092,18.797339543394106,25.449881302409896
12,AMBALA,13.033090195504018,17.008472804405155,22.048209564864163,11.214579551267896,8.961460601367818,34.41778078263197,24.82455454349028,19.51102895659049,37.18657637054281
13,HISAR,12.304253453929777,45.69576398920751,29.60386787877486,19.541525192544427,15.93421585634958,41.06087734765525,27.52765812629693,30.51460057174195,41.18030638662895
14,FATEHABAD,8.644484971680539,29.69412155212638,45.76033019846318,8.641448381368095,9.372655635072205,25.93552257875661,47.32147999898129,48.299882035678856,46.981820306858125
15,BULANDSHAHR,4.761442188573483,7.381033110967812,19.148555796405933,9.013762059508212,5.597347543444536,11.847920334229642,7.276043857959753,11.811170620789126,8.210321246381481
16,MUZAFFARNAGAR,8.226994613446227,12.646916723833348,11.259948286204995,11.676089856021946,10.465821206554212,16.645882724403236,12.90426432162305,21.32721285521113,18.49038720621347
