,Fast_Day,Last_Day,count,mean,std,min,25%,50%,75%,max
0,2017-12-20 15:00:00,2022-12-02 16:00:00,,,,,,,,
1,2015-12-01 00:00:00,2022-12-02 16:00:00,,,,,,,,
2,2017-12-08 11:00:00,2022-12-03 01:00:00,,,,,,,,
3,2019-02-04 18:00:00,2022-12-03 00:00:00,,,,,,,,
4,2017-05-01 00:00:00,2022-12-03 01:00:00,,,,,,,,
5,2020-12-06 15:00:00,2022-12-03 00:00:00,,,,,,,,
6,2019-01-03 14:00:00,2022-12-02 16:00:00,,,,,,,,
7,2020-03-03 15:00:00,2022-12-02 17:00:00,,,,,,,,
8,2019-01-10 09:00:00,2022-12-03 01:00:00,,,,,,,,
9,2019-01-07 18:00:00,2022-12-03 01:00:00,,,,,,,,
10,2019-01-01 00:00:00,2022-12-02 17:00:00,,,,,,,,
11,2019-01-04 12:00:00,2022-12-02 04:00:00,,,,,,,,
12,2019-01-08 12:00:00,2022-12-02 09:00:00,,,,,,,,
13,2019-01-10 10:00:00,2022-12-03 00:00:00,,,,,,,,
14,2019-01-09 10:00:00,2022-12-02 17:00:00,,,,,,,,
15,2018-05-16 13:00:00,2022-12-02 17:00:00,,,,,,,,
16,2018-07-01 00:00:00,2022-12-03 01:00:00,,,,,,,,
17,,,43394.0,108.0337483,79.7575935,0.02,55.22,97.32,135.355,999.99
18,,,61409.0,84.30884555,56.17507578,0.18,53.25,84.30884555,93.42,999.99
19,,,43695.0,84.07888484,78.32602035,0.25,32.25,66.0,111.25,985.0
20,,,33535.0,58.47126979,35.83229258,0.51,32.75,58.47126979,72.24,977.39
21,,,49010.0,54.18070537,41.72936492,0.07,29.7,47.66,64.88,999.99
22,,,17434.0,71.66516634,46.19819069,0.33,37.4725,62.045,98.0275,565.41
23,,,34299.0,77.8633741,52.30959419,0.1,43.8,69.91,94.28,930.0
24,,,24099.0,80.19422853,62.81330763,0.01,39.535,77.92,94.485,995.1
25,,,34145.0,81.20790101,71.19703393,0.2,38.99,61.45,98.25,845.6
26,,,34208.0,68.75483661,53.80132654,0.46,33.33,56.38,87.56,962.7
27,,,34362.0,54.88284717,43.2094932,0.02,27.87,49.4,62.72,543.1
28,,,34265.0,78.86179491,59.20936284,0.02,40.9,70.32,92.85,838.9
29,,,34174.0,61.58184731,45.39340564,0.02,32.94,51.27,76.1775,754.89
30,,,34143.0,86.22030417,71.02050965,0.63,42.62,69.33,102.885,999.99
31,,,34160.0,63.01257933,60.46487543,0.07,32.63,49.01,72.5,999.99
32,,,39869.0,90.53344553,85.08059871,0.25,34.0,63.75,120.25,985.0
33,,,38786.0,89.28704635,72.8395854,1.0,42.75,81.25,102.25,986.0
