DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
BHIWADI,16.60818447,53.93506422,15.58491935,17.05374312,12.35043738,34.31466782,39.66291995,40.29527051,23.05827199
JODHPUR,19.71348873,19.53327228,24.75439694,17.51363184,16.00468236,35.72244343,29.34847892,32.46521276,38.12287899
SINGRAULI,7.016596682,10.49069101,25.99466184,19.48445048,11.79158133,13.17616424,49.1567986,20.96643781,24.55226952
ANKLESHWAR,13.30168324,12.16755797,30.31175049,18.86953437,13.77735214,37.08401486,51.31123085,57.52518275,58.26757798
LUDHIANA,6.133704413,9.054775702,17.49503454,7.733354699,6.949967598,15.97387577,20.93039825,19.83862243,18.02520861
DURGAPUR,4.472633322,6.226657759,19.32212812,7.379266106,7.813347937,11.74902616,7.321162292,12.59941005,21.96731005
YAMUNA_NAGAR,17.04921987,17.73061173,31.74138323,15.10892754,17.86072449,39.13053005,42.24806474,23.31002643,43.98955454
CHARKHI_DADRI,11.65764427,14.51559996,19.90834541,11.38410362,11.23660191,30.32432649,35.00472219,33.34035402,33.00063257
JIND,15.28393255,17.45993425,23.7401095,16.718722,11.46356164,51.70619965,46.76064873,27.88693957,33.97391808
KURUKSHETRA,13.83185232,45.50452814,24.77355652,16.82572339,14.73081015,42.25959025,24.42696148,53.82976118,32.1648649
SONIPAT,7.049970427,9.535769007,15.08982615,9.033863605,6.262973456,26.94818739,14.68301268,13.6545101,29.12235575
DHARUHERA,11.92418131,17.22286008,17.80050095,9.61771985,10.61118321,32.70465497,16.98790902,18.79733954,25.4498813
AMBALA,13.0330902,17.0084728,22.04820956,11.21457955,8.961460601,34.41778078,24.82455454,19.51102896,37.18657637
HISAR,12.30425345,45.69576399,29.60386788,19.54152519,15.93421586,41.06087735,27.52765813,30.51460057,41.18030639
FATEHABAD,8.644484972,29.69412155,45.7603302,8.641448381,9.372655635,25.93552258,47.32148,48.29988204,46.98182031
BULANDSHAHR,4.761442189,7.381033111,19.1485558,9.01376206,5.597347543,11.84792033,7.276043858,11.81117062,8.210321246
MUZAFFARNAGAR,8.226994613,12.64691672,11.25994829,11.67608986,10.46582121,16.64588272,12.90426432,21.32721286,18.49038721
,1.9412,4.4706,5.7059,3,2.1176,6.7647,6.3529,7.0588,7.5882
