iter	Passed	Remaining
0	6	6624
1	13	6527
2	19	6438
3	25	6460
4	32	6412
5	38	6412
6	45	6465
7	52	6496
8	59	6499
9	66	6535
10	72	6535
11	79	6542
12	86	6537
13	92	6540
14	99	6535
15	106	6526
16	113	6540
17	119	6523
18	126	6531
19	133	6529
20	139	6512
21	146	6505
22	153	6504
23	159	6491
24	166	6484
25	172	6468
26	179	6464
27	186	6491
28	193	6490
29	200	6481
30	207	6481
31	213	6471
32	220	6461
33	226	6441
34	233	6430
35	239	6423
36	246	6412
37	252	6401
38	259	6406
39	266	6397
40	273	6390
41	279	6371
42	286	6368
43	292	6354
44	298	6339
45	305	6331
46	311	6319
47	318	6311
48	324	6300
49	332	6311
50	339	6317
51	346	6310
52	351	6288
53	358	6275
54	363	6254
55	370	6239
56	376	6226
57	382	6212
58	388	6196
59	394	6186
60	400	6165
61	406	6157
62	413	6144
63	419	6134
64	426	6137
65	438	6202
66	450	6268
67	460	6312
68	475	6415
69	488	6492
70	498	6526
71	512	6604
72	527	6695
73	542	6789
74	555	6847
75	565	6875
76	575	6896
77	589	6967
78	601	7016
79	617	7095
80	630	7148
81	641	7179
82	652	7210
83	663	7234
84	672	7240
85	685	7281
86	694	7284
87	704	7302
88	717	7345
89	727	7358
90	740	7395
91	753	7438
92	766	7480
93	783	7554
94	794	7564
95	812	7648
96	822	7656
97	836	7695
98	852	7754
99	868	7818
100	882	7853
101	891	7845
102	904	7874
103	918	7912
104	932	7946
105	942	7950
106	954	7966
107	967	7993
108	980	8018
109	990	8011
110	1003	8035
111	1016	8058
112	1028	8073
113	1037	8067
114	1052	8102
115	1066	8130
116	1080	8152
117	1090	8152
118	1102	8163
119	1115	8182
120	1127	8188
121	1137	8184
122	1153	8222
123	1168	8254
124	1180	8266
125	1194	8282
126	1203	8270
127	1218	8299
128	1231	8317
129	1243	8321
130	1254	8323
131	1271	8359
132	1283	8365
133	1298	8393
134	1312	8410
135	1324	8413
136	1335	8415
137	1351	8440
138	1364	8451
139	1377	8459
140	1391	8478
141	1409	8516
142	1419	8509
143	1432	8513
144	1445	8525
145	1458	8529
146	1466	8511
147	1479	8517
148	1490	8515
149	1501	8509
150	1514	8515
151	1526	8518
152	1538	8515
153	1548	8507
154	1562	8517
155	1575	8523
156	1588	8527
157	1600	8526
158	1613	8534
159	1629	8552
160	1645	8577
161	1660	8590
162	1673	8595
163	1684	8585
164	1698	8595
165	1712	8605
166	1729	8626
167	1746	8649
168	1760	8658
169	1774	8663
170	1788	8669
171	1802	8678
172	1814	8674
173	1827	8673
174	1841	8682
175	1854	8683
176	1868	8688
177	1880	8683
178	1893	8684
179	1905	8678
180	1917	8677
181	1927	8663
182	1941	8665
183	1955	8670
184	1966	8662
185	1976	8650
186	1991	8659
187	2006	8664
188	2019	8665
189	2033	8670
190	2043	8656
191	2058	8662
192	2073	8671
193	2087	8671
194	2100	8670
195	2112	8663
196	2124	8659
197	2138	8661
198	2152	8662
199	2166	8664
200	2176	8652
201	2191	8658
202	2206	8664
203	2220	8663
204	2232	8657
205	2243	8645
206	2255	8640
207	2269	8641
208	2282	8640
209	2296	8637
210	2305	8621
211	2319	8619
212	2334	8626
213	2346	8616
214	2357	8608
215	2369	8598
216	2384	8604
217	2396	8596
218	2406	8581
219	2415	8562
220	2422	8538
221	2432	8523
222	2440	8502
223	2448	8482
224	2456	8460
225	2464	8439
226	2471	8414
227	2477	8389
228	2485	8366
229	2492	8344
230	2499	8322
231	2507	8301
232	2515	8280
233	2522	8256
234	2529	8235
235	2536	8212
236	2544	8192
237	2551	8168
238	2558	8146
239	2565	8122
240	2572	8100
241	2579	8079
242	2586	8058
243	2594	8037
244	2601	8015
245	2608	7995
246	2615	7973
247	2623	7953
248	2631	7937
249	2640	7920
250	2647	7899
251	2654	7880
252	2661	7859
253	2668	7838
254	2679	7828
255	2689	7815
256	2698	7801
257	2706	7782
258	2713	7762
259	2720	7744
260	2728	7725
261	2735	7705
262	2743	7688
263	2750	7668
264	2757	7648
265	2764	7628
266	2772	7611
267	2779	7592
268	2787	7575
269	2795	7556
270	2802	7540
271	2809	7519
272	2817	7502
273	2824	7485
274	2832	7466
275	2839	7449
276	2846	7430
277	2854	7414
278	2862	7396
279	2869	7378
280	2876	7360
281	2883	7342
282	2891	7325
283	2899	7309
284	2906	7290
285	2913	7274
286	2920	7254
287	2928	7239
288	2935	7221
289	2942	7203
290	2949	7187
291	2957	7171
292	2965	7155
293	2972	7138
294	2979	7120
295	2987	7105
296	2994	7088
297	3002	7072
298	3009	7056
299	3017	7041
300	3025	7025
301	3033	7010
302	3039	6992
303	3047	6977
304	3054	6961
305	3061	6943
306	3068	6927
307	3075	6910
308	3083	6894
309	3090	6878
310	3097	6862
311	3104	6844
312	3111	6828
313	3118	6813
314	3126	6798
315	3134	6783
316	3140	6767
317	3148	6752
318	3155	6736
319	3163	6721
320	3170	6706
321	3177	6690
322	3185	6677
323	3193	6662
324	3201	6649
325	3209	6634
326	3217	6621
327	3224	6605
328	3232	6592
329	3239	6577
330	3247	6563
331	3254	6548
332	3262	6533
333	3268	6517
334	3275	6501
335	3283	6488
336	3289	6472
337	3297	6459
338	3304	6442
339	3311	6429
340	3319	6414
341	3326	6399
342	3333	6385
343	3339	6369
344	3347	6356
345	3355	6342
346	3364	6331
347	3371	6317
348	3380	6305
349	3387	6291
350	3396	6279
351	3403	6265
352	3411	6252
353	3417	6236
354	3425	6223
355	3432	6209
356	3440	6197
357	3447	6182
358	3454	6168
359	3461	6154
360	3468	6139
361	3475	6125
362	3481	6109
363	3488	6095
364	3494	6079
365	3501	6065
366	3508	6050
367	3514	6035
368	3520	6020
369	3527	6005
370	3534	5992
371	3541	5978
372	3549	5965
373	3555	5951
374	3561	5936
375	3568	5922
376	3576	5909
377	3583	5897
378	3590	5883
379	3597	5868
380	3603	5854
381	3612	5843
382	3618	5830
383	3626	5817
384	3634	5805
385	3640	5791
386	3648	5778
387	3655	5765
388	3662	5753
389	3669	5739
390	3676	5725
391	3683	5713
392	3691	5701
393	3699	5689
394	3705	5675
395	3712	5662
396	3718	5648
397	3725	5634
398	3732	5622
399	3738	5608
400	3746	5595
401	3753	5582
402	3760	5570
403	3767	5558
404	3778	5550
405	3785	5537
406	3792	5526
407	3800	5513
408	3807	5501
409	3813	5488
410	3820	5475
411	3827	5462
412	3834	5449
413	3841	5437
414	3849	5425
415	3856	5414
416	3862	5400
417	3870	5388
418	3877	5375
419	3883	5363
420	3890	5351
421	3898	5339
422	3905	5327
423	3913	5315
424	3920	5304
425	3928	5292
426	3935	5280
427	3941	5267
428	3949	5256
429	3956	5244
430	3963	5232
431	3970	5220
432	3976	5207
433	3983	5194
434	3991	5183
435	3999	5173
436	4006	5161
437	4013	5150
438	4020	5137
439	4027	5126
440	4035	5114
441	4041	5102
442	4048	5090
443	4055	5078
444	4063	5067
445	4070	5055
446	4077	5044
447	4083	5031
448	4090	5019
449	4098	5009
450	4105	4997
451	4111	4984
452	4118	4973
453	4125	4961
454	4133	4951
455	4140	4939
456	4147	4928
457	4154	4916
458	4162	4906
459	4169	4895
460	4177	4883
461	4184	4872
462	4191	4860
463	4198	4850
464	4206	4839
465	4215	4830
466	4221	4818
467	4229	4807
468	4237	4797
469	4244	4786
470	4251	4774
471	4258	4763
472	4265	4752
473	4272	4741
474	4279	4729
475	4286	4718
476	4293	4707
477	4299	4695
478	4306	4683
479	4313	4673
480	4320	4661
481	4327	4650
482	4334	4639
483	4341	4629
484	4348	4617
485	4356	4607
486	4363	4596
487	4370	4585
488	4376	4573
489	4384	4563
490	4391	4552
491	4398	4541
492	4405	4530
493	4412	4519
494	4419	4508
495	4427	4498
496	4433	4486
497	4440	4476
498	4447	4465
499	4455	4455
