iter	RMSE
0	58.91703064
1	56.52656136
2	54.32569933
3	52.24571702
4	50.36175101
5	48.67870384
6	47.14241548
7	45.74694044
8	44.5254581
9	43.40969784
10	42.36278951
11	41.39560858
12	40.57819424
13	39.77528408
14	39.09981148
15	38.46439696
16	37.88169806
17	37.31662403
18	36.84487965
19	36.41654346
20	35.99768311
21	35.64107157
22	35.2967608
23	34.9836114
24	34.73560241
25	34.50254672
26	34.28525262
27	34.07028223
28	33.87757589
29	33.72234621
30	33.56566399
31	33.42296679
32	33.29342114
33	33.17872241
34	33.0649907
35	32.95142244
36	32.85227212
37	32.75001624
38	32.67684911
39	32.58318165
40	32.5025416
41	32.43502364
42	32.35947725
43	32.29295629
44	32.23618968
45	32.15600749
46	32.07941686
47	32.03056357
48	31.98273306
49	31.92128617
50	31.86099281
51	31.8215577
52	31.76158942
53	31.70882586
54	31.66819388
55	31.60964594
56	31.55111528
57	31.51077493
58	31.47550135
59	31.4274203
60	31.38664812
61	31.35685599
62	31.32480119
63	31.29328516
64	31.2546902
65	31.22167036
66	31.18537535
67	31.15576705
68	31.13567771
69	31.10561216
70	31.08380464
71	31.05504951
72	31.03056106
73	31.00033253
74	30.9742693
75	30.9490228
76	30.9285927
77	30.90531917
78	30.88136215
79	30.85739421
80	30.83194772
81	30.8095814
82	30.77620623
83	30.75883666
84	30.7342941
85	30.70847637
86	30.66855225
87	30.64489556
88	30.61021024
89	30.59421761
90	30.5668403
91	30.5443612
92	30.51894918
93	30.49649654
94	30.47623075
95	30.45113016
96	30.42706404
97	30.40671695
98	30.37798734
99	30.33847572
100	30.30971245
101	30.29017962
102	30.27661997
103	30.26197801
104	30.24649076
105	30.23027627
106	30.21990037
107	30.19413055
108	30.17571904
109	30.16143589
110	30.13998976
111	30.1172742
112	30.09784672
113	30.0791139
114	30.04976361
115	30.02179628
116	29.99980631
117	29.98275949
118	29.94061662
119	29.91759328
120	29.90435655
121	29.88529139
122	29.86597624
123	29.84478947
124	29.80916873
125	29.77036576
126	29.74313124
127	29.72195496
128	29.70627014
129	29.68873403
130	29.66156311
131	29.63988012
132	29.6213905
133	29.60571499
134	29.59363572
135	29.55703666
136	29.54323074
137	29.52097647
138	29.50460727
139	29.47291854
140	29.45330047
141	29.42766399
142	29.39033018
143	29.36165672
144	29.34061415
145	29.32183046
146	29.29048901
147	29.27614333
148	29.24311982
149	29.22332274
150	29.2067378
151	29.18903571
152	29.17309673
153	29.15332565
154	29.14085044
155	29.12500241
156	29.10953581
157	29.09402581
158	29.07264476
159	29.05465785
160	29.03880795
161	29.0257991
162	29.01412891
163	28.97596617
164	28.95992749
165	28.94737955
166	28.92968838
167	28.8955281
168	28.8807067
169	28.86536218
170	28.84656245
171	28.82816946
172	28.80312112
173	28.77595186
174	28.75762454
175	28.74060566
176	28.72988918
177	28.69353291
178	28.68108711
179	28.65797968
180	28.64566014
181	28.62648796
182	28.59755061
183	28.58511287
184	28.57298106
185	28.55516655
186	28.54376404
187	28.51979743
188	28.50204145
189	28.49135375
190	28.45713874
191	28.44114906
192	28.4141688
193	28.39436106
194	28.36985199
195	28.34837205
196	28.32980273
197	28.31924955
198	28.30434102
199	28.2884213
200	28.27264631
201	28.23446638
202	28.21859544
203	28.18192011
204	28.17280755
205	28.161172
206	28.15115556
207	28.13725395
208	28.10441913
209	28.07673476
210	28.06266095
211	28.02939106
212	28.00730554
213	27.99371314
214	27.97911123
215	27.95950866
216	27.94422455
217	27.92445264
218	27.90512719
219	27.87881132
220	27.86059542
221	27.84022346
222	27.82824179
223	27.81964794
224	27.79644779
225	27.78458218
226	27.76774591
227	27.74061683
228	27.70632937
229	27.68634546
230	27.66819294
231	27.6554567
232	27.64188723
233	27.62923014
234	27.61284068
235	27.58717742
236	27.57214048
237	27.55956625
238	27.55061795
239	27.53937746
240	27.52572392
241	27.51753773
242	27.50111825
243	27.48087241
244	27.46556548
245	27.44791906
246	27.43403553
247	27.42690817
248	27.41866955
249	27.40667581
250	27.39460085
251	27.38141305
252	27.36697241
253	27.33795837
254	27.32726635
255	27.31845842
256	27.29247378
257	27.28141083
258	27.26428546
259	27.25088521
260	27.23369482
261	27.21555352
262	27.19801838
263	27.18978067
264	27.15990354
265	27.15367762
266	27.14152012
267	27.13303354
268	27.10416357
269	27.09321059
270	27.08324463
271	27.06565093
272	27.05747536
273	27.03552468
274	27.01711443
