iter	Passed	Remaining
0	63	63022
1	69	34552
2	75	24985
3	81	20217
4	86	17260
5	92	15346
6	98	13944
7	104	12921
8	109	12111
9	115	11436
10	121	10901
11	127	10469
12	132	10093
13	140	9874
14	147	9663
15	154	9480
16	160	9285
17	166	9067
18	171	8868
19	177	8692
20	182	8527
21	188	8369
22	193	8236
23	199	8113
24	205	7996
25	210	7889
26	216	7789
27	221	7692
28	227	7608
29	232	7522
30	238	7440
31	243	7365
32	249	7297
33	254	7228
34	259	7167
35	265	7108
36	271	7053
37	276	7002
38	282	6952
39	287	6908
40	293	6867
41	299	6824
42	304	6779
43	309	6734
44	315	6694
45	320	6652
46	326	6619
47	331	6582
48	337	6544
49	342	6516
50	348	6483
51	353	6451
52	359	6423
53	365	6395
54	370	6365
55	375	6333
56	381	6308
57	386	6278
58	392	6252
59	397	6225
60	403	6205
61	408	6185
62	414	6165
63	420	6148
64	425	6126
65	432	6123
66	439	6118
67	445	6110
68	452	6104
69	458	6097
70	465	6089
71	472	6090
72	479	6088
73	485	6072
74	492	6069
75	498	6058
76	504	6043
77	509	6027
78	515	6012
79	521	5993
80	526	5978
81	533	5967
82	538	5953
83	544	5941
84	551	5931
85	557	5919
86	562	5906
87	568	5889
88	573	5873
89	579	5858
90	584	5841
91	590	5827
92	597	5826
93	603	5818
94	609	5805
95	615	5795
96	622	5799
97	628	5785
98	634	5771
99	640	5760
100	645	5744
101	650	5728
102	656	5713
103	661	5700
104	667	5690
105	672	5675
106	678	5662
107	684	5651
108	689	5638
109	695	5629
110	701	5619
111	707	5608
112	712	5594
113	718	5584
114	724	5572
115	729	5560
116	735	5549
117	741	5539
118	746	5528
119	752	5520
120	758	5512
121	764	5504
122	771	5497
123	776	5488
124	782	5478
125	788	5467
126	793	5456
127	799	5444
128	804	5433
129	810	5424
130	816	5416
131	822	5408
132	828	5401
133	834	5392
134	839	5381
135	845	5371
136	851	5361
137	856	5349
138	861	5338
139	867	5327
140	872	5317
141	878	5308
142	884	5301
143	890	5293
144	896	5283
145	901	5275
146	907	5268
147	913	5257
148	919	5249
149	924	5239
150	930	5230
151	936	5223
152	942	5215
153	947	5205
154	953	5195
155	958	5183
156	963	5174
157	968	5163
158	974	5154
159	980	5147
160	986	5141
161	992	5134
162	998	5125
163	1003	5117
164	1009	5109
165	1015	5099
166	1020	5091
167	1026	5081
168	1031	5072
169	1037	5064
170	1043	5057
171	1049	5051
172	1055	5044
173	1061	5037
174	1067	5032
175	1073	5025
176	1079	5019
177	1085	5011
178	1090	5002
179	1096	4993
180	1101	4984
181	1107	4975
182	1112	4967
183	1118	4962
184	1124	4955
185	1130	4949
186	1137	4943
187	1143	4937
188	1148	4930
189	1154	4921
190	1160	4914
191	1165	4906
192	1171	4897
193	1176	4889
194	1182	4881
195	1188	4873
196	1194	4867
197	1200	4862
198	1206	4856
199	1212	4850
200	1218	4843
201	1224	4837
202	1230	4829
203	1235	4821
204	1240	4812
205	1246	4804
206	1252	4796
207	1257	4789
208	1263	4782
209	1269	4774
210	1274	4767
211	1281	4761
212	1287	4756
213	1293	4749
214	1299	4744
215	1304	4736
216	1310	4727
217	1315	4719
218	1320	4710
219	1326	4703
220	1332	4696
221	1337	4688
222	1343	4681
223	1349	4675
224	1355	4669
225	1361	4664
226	1367	4656
227	1372	4648
228	1378	4641
229	1384	4633
230	1389	4626
231	1395	4618
232	1400	4611
233	1406	4605
234	1412	4599
235	1419	4594
236	1424	4587
237	1430	4579
238	1436	4572
239	1441	4564
240	1446	4556
241	1452	4550
242	1458	4543
243	1464	4537
244	1470	4531
245	1476	4524
246	1482	4518
247	1487	4510
248	1493	4504
249	1498	4496
250	1504	4488
251	1509	4481
252	1515	4476
253	1521	4469
254	1527	4462
255	1533	4457
256	1540	4453
257	1546	4447
258	1552	4440
259	1557	4433
260	1563	4426
261	1568	4418
262	1574	4411
263	1583	4414
264	1590	4411
265	1596	4405
266	1603	4401
267	1609	4395
268	1615	4388
269	1621	4383
270	1626	4375
271	1632	4368
272	1637	4361
273	1643	4353
274	1648	4346
275	1654	4340
276	1660	4332
277	1665	4326
278	1671	4320
279	1677	4314
280	1683	4307
281	1689	4300
282	1694	4293
283	1700	4287
284	1705	4279
285	1710	4270
286	1716	4263
287	1721	4256
288	1727	4250
289	1733	4244
290	1739	4237
291	1745	4231
292	1750	4223
293	1756	4217
294	1761	4210
295	1767	4202
296	1772	4196
297	1778	4189
298	1784	4183
299	1790	4177
300	1796	4171
301	1801	4164
302	1807	4157
303	1812	4150
304	1818	4143
305	1823	4136
306	1829	4129
307	1834	4121
308	1840	4115
309	1846	4109
310	1852	4103
311	1858	4097
312	1863	4090
313	1869	4084
314	1875	4077
315	1880	4070
316	1886	4064
317	1892	4058
318	1898	4052
319	1904	4047
320	1910	4041
321	1916	4035
322	1922	4028
323	1927	4022
324	1933	4015
325	1938	4008
326	1944	4002
327	1950	3995
328	1956	3989
329	1962	3983
330	1967	3977
