iter	RMSE
0	56.13593983
1	53.40746141
2	50.78127535
3	48.3523776
4	46.11918152
5	44.06069495
6	42.19739356
7	40.48535575
8	38.89585481
9	37.47702341
10	36.1313175
11	34.88940289
12	33.82036876
13	32.77643673
14	31.89795861
15	31.06873506
16	30.31110292
17	29.62993583
18	29.01271495
19	28.44058091
20	27.94413351
21	27.50610275
22	27.07932464
23	26.70028323
24	26.33959285
25	26.04000811
26	25.75731644
27	25.49676612
28	25.2600634
29	25.05495622
30	24.86781127
31	24.71030898
32	24.54802426
33	24.41367346
34	24.27508265
35	24.1728116
36	24.06296253
37	23.97745073
38	23.89172908
39	23.80901716
40	23.7247555
41	23.65671359
42	23.58730427
43	23.52004331
44	23.45463374
45	23.40423191
46	23.33801402
47	23.28289499
48	23.24276467
49	23.21030753
50	23.16763325
51	23.13347629
52	23.073896
53	23.02939806
54	23.00103812
55	22.97735319
56	22.94697805
57	22.92505382
58	22.88967934
59	22.85408682
60	22.81293813
61	22.78097227
62	22.75673059
63	22.72554151
64	22.6866552
65	22.65051909
66	22.63118051
67	22.59674802
68	22.5672473
69	22.54843639
70	22.52173704
71	22.49887385
72	22.47304011
73	22.45517628
74	22.41947019
75	22.40671212
76	22.38197414
77	22.35038535
78	22.3225026
79	22.2913903
80	22.28342829
81	22.26109341
82	22.23658732
83	22.22899893
84	22.22084184
85	22.20139605
86	22.18606955
87	22.15954457
88	22.14958212
89	22.11318724
90	22.09363163
91	22.07657884
92	22.06088347
93	22.03584252
94	22.01208274
95	21.9990944
96	21.97417559
97	21.95131962
98	21.94357517
99	21.93368514
100	21.91946829
101	21.89754635
102	21.88421943
103	21.8647565
104	21.83879406
105	21.82181812
106	21.80706589
107	21.78900026
108	21.77366464
109	21.75069916
110	21.73385641
111	21.71547205
112	21.68765476
113	21.66163212
114	21.64902737
115	21.63917369
116	21.62038009
117	21.60489751
118	21.58671129
119	21.571562
120	21.56085785
121	21.55130505
122	21.53122049
123	21.51368553
124	21.50547854
125	21.48939388
126	21.460168
127	21.43637008
128	21.42065232
129	21.3912875
130	21.37046964
131	21.34887526
132	21.34036661
133	21.33122871
134	21.32251533
135	21.29938494
136	21.29044062
137	21.27913986
138	21.25994497
139	21.24755501
140	21.23914795
141	21.21741146
142	21.20459249
143	21.1911614
144	21.17515979
145	21.16163761
146	21.13948114
147	21.11578473
148	21.09759113
149	21.08549873
150	21.05493148
151	21.03993043
152	21.02173328
153	21.00546069
154	20.98838314
155	20.96090309
156	20.94936612
157	20.93231605
158	20.9230531
159	20.91214653
160	20.89585806
161	20.87539677
162	20.86847676
163	20.85220159
164	20.83503534
165	20.818418
166	20.79113951
167	20.78229147
168	20.76217521
169	20.73315457
170	20.72433394
171	20.69928422
172	20.67532056
173	20.66360413
174	20.64578618
175	20.6245332
176	20.61021038
177	20.58721178
178	20.57149201
179	20.55801927
180	20.54593301
181	20.5271174
182	20.52189126
183	20.50276343
184	20.49130397
185	20.48230043
186	20.46226179
187	20.45104087
188	20.43190233
189	20.41689802
190	20.40673017
191	20.37857552
192	20.37224868
193	20.36285645
194	20.34566146
195	20.32700756
196	20.31095406
197	20.29814259
198	20.27429381
199	20.26370317
200	20.25249666
201	20.23867573
202	20.22320628
203	20.20787383
204	20.19976263
205	20.19221476
206	20.17897277
207	20.15826117
208	20.14234263
209	20.13242327
210	20.12485491
211	20.10767233
212	20.09599668
213	20.07477208
214	20.06086948
215	20.04565929
216	20.03864915
217	20.02828548
218	20.01214442
