,PM,Date
0,None,01-01-2019
1,None,02-01-2019
2,None,03-01-2019
3,None,04-01-2019
4,None,05-01-2019
5,None,06-01-2019
6,None,07-01-2019
7,None,08-01-2019
8,None,09-01-2019
9,74.02,10-01-2019
10,85.38,11-01-2019
11,120.97,12-01-2019
12,66.59,13-01-2019
13,36.39,14-01-2019
14,94.85,15-01-2019
15,86.38,16-01-2019
16,109.01,17-01-2019
17,78.85,18-01-2019
18,84.35,19-01-2019
19,87.34,20-01-2019
20,76.76,21-01-2019
21,21.06,22-01-2019
22,27.48,23-01-2019
23,37.32,24-01-2019
24,34.16,25-01-2019
25,46.62,26-01-2019
26,52.01,27-01-2019
27,51.85,28-01-2019
28,49.06,29-01-2019
29,77.72,30-01-2019
30,116.79,31-01-2019
31,139.82,01-02-2019
32,117.4,02-02-2019
33,79.8,03-02-2019
34,102.38,04-02-2019
35,118.78,05-02-2019
36,148.07,06-02-2019
37,71.23,07-02-2019
38,48.36,08-02-2019
39,46.54,09-02-2019
40,68.05,10-02-2019
41,93.38,11-02-2019
42,98.3,12-02-2019
43,134.28,13-02-2019
44,108.65,14-02-2019
45,111.35,15-02-2019
46,73.62,16-02-2019
47,68.4,17-02-2019
48,76.2,18-02-2019
49,72.45,19-02-2019
50,79.08,20-02-2019
51,48.88,21-02-2019
52,45.24,22-02-2019
53,44.96,23-02-2019
54,59.56,24-02-2019
55,59.78,25-02-2019
56,34.63,26-02-2019
57,24.25,27-02-2019
58,57.72,28-02-2019
59,65.67,01-03-2019
60,63.04,02-03-2019
61,57.4,03-03-2019
62,47.53,04-03-2019
63,42.12,05-03-2019
64,52.67,06-03-2019
65,60.78,07-03-2019
66,52.68,08-03-2019
67,44.75,09-03-2019
68,47.71,10-03-2019
69,56.37,11-03-2019
70,55.76,12-03-2019
71,64.03,13-03-2019
72,53.26,14-03-2019
73,47.43,15-03-2019
74,54.14,16-03-2019
75,64.84,17-03-2019
76,74.07,18-03-2019
77,68.57,19-03-2019
78,94.84,20-03-2019
79,46.28,21-03-2019
80,30.25,22-03-2019
81,40.88,23-03-2019
82,40.28,24-03-2019
83,53.72,25-03-2019
84,65.27,26-03-2019
85,68.01,27-03-2019
86,93.86,28-03-2019
87,83.27,29-03-2019
88,74.78,30-03-2019
89,55.04,31-03-2019
90,53.32,01-04-2019
91,56.46,02-04-2019
92,64.22,03-04-2019
93,71.23,04-04-2019
94,74.24,05-04-2019
95,81.18,06-04-2019
96,101.44,07-04-2019
97,120.6,08-04-2019
98,70.7,09-04-2019
99,58.46,10-04-2019
100,50.88,11-04-2019
101,44.62,12-04-2019
102,45.56,13-04-2019
103,36.29,14-04-2019
104,44.33,15-04-2019
105,33.34,16-04-2019
106,22.5,17-04-2019
107,26.07,18-04-2019
108,36.14,19-04-2019
109,69.78,20-04-2019
110,70.11,21-04-2019
111,56.21,22-04-2019
112,62.44,23-04-2019
113,85.73,24-04-2019
114,75.55,25-04-2019
115,65.08,26-04-2019
116,60.09,27-04-2019
117,69.15,28-04-2019
118,69.84,29-04-2019
119,68.4,30-04-2019
120,60.98,01-05-2019
121,58,02-05-2019
122,36.51,03-05-2019
123,49.77,04-05-2019
124,95.22,05-05-2019
125,149.49,06-05-2019
126,122.52,07-05-2019
127,135.61,08-05-2019
128,168.06,09-05-2019
129,87.45,10-05-2019
130,71.91,11-05-2019
131,200.16,12-05-2019
132,135.13,13-05-2019
133,57.55,14-05-2019
134,53.06,15-05-2019
135,79.67,16-05-2019
136,80.93,17-05-2019
137,39.17,18-05-2019
138,62.33,19-05-2019
139,68.62,20-05-2019
140,67.24,21-05-2019
141,74.31,22-05-2019
142,83.75,23-05-2019
143,30.06,24-05-2019
144,32.37,25-05-2019
145,38.13,26-05-2019
146,49.06,27-05-2019
147,41.42,28-05-2019
148,59.18,29-05-2019
149,74.74,30-05-2019
150,83.36,31-05-2019
151,81.01,01-06-2019
152,79.87,02-06-2019
153,80.93,03-06-2019
154,55.93,04-06-2019
155,70.88,05-06-2019
156,59.71,06-06-2019
157,52.92,07-06-2019
158,63.64,08-06-2019
159,60.3,09-06-2019
160,69.45,10-06-2019
161,91.71,11-06-2019
162,50.64,12-06-2019
163,54.25,13-06-2019
164,50.83,14-06-2019
165,61.69,15-06-2019
166,46.04,16-06-2019
167,42.36,17-06-2019
168,32.95,18-06-2019
169,69.4,19-06-2019
170,43.45,20-06-2019
171,53.05,21-06-2019
172,63.91,22-06-2019
173,54.97,23-06-2019
174,25.55,24-06-2019
175,35.95,25-06-2019
176,51.39,26-06-2019
177,57.5,27-06-2019
178,60.02,28-06-2019
179,87.78,29-06-2019
180,63.13,30-06-2019
181,58.68,01-07-2019
182,53.58,02-07-2019
183,47.69,03-07-2019
184,28.88,04-07-2019
185,44.59,05-07-2019
186,37.82,06-07-2019
187,35.62,07-07-2019
188,43.37,08-07-2019
189,54.87,09-07-2019
190,73.32,10-07-2019
191,127.6,11-07-2019
192,182.18,12-07-2019
193,122,13-07-2019
194,75.95,14-07-2019
195,33.83,15-07-2019
196,33.3,16-07-2019
197,20.15,17-07-2019
198,18.08,18-07-2019
199,40.72,19-07-2019
200,43.41,20-07-2019
201,46.73,21-07-2019
202,39.14,22-07-2019
203,56.92,23-07-2019
204,37.24,24-07-2019
205,16.69,25-07-2019
206,38.29,26-07-2019
207,17.64,27-07-2019
208,19.3,28-07-2019
209,19.18,29-07-2019
210,23.57,30-07-2019
211,28.62,31-07-2019
212,37.64,01-08-2019
213,28.57,02-08-2019
214,34.32,03-08-2019
215,38.21,04-08-2019
216,49.51,05-08-2019
217,24.04,06-08-2019
218,27.38,07-08-2019
219,33.34,08-08-2019
220,19.52,09-08-2019
221,18.95,10-08-2019
222,33.57,11-08-2019
223,28.34,12-08-2019
224,24.63,13-08-2019
225,29.81,14-08-2019
226,40.42,15-08-2019
227,21.85,16-08-2019
228,17.12,17-08-2019
229,11.55,18-08-2019
230,29.66,19-08-2019
231,31.42,20-08-2019
232,46.46,21-08-2019
233,34.45,22-08-2019
234,48.63,23-08-2019
235,48.83,24-08-2019
236,42.94,25-08-2019
237,29.23,26-08-2019
238,32.85,27-08-2019
239,32.82,28-08-2019
240,40.91,29-08-2019
241,34.55,30-08-2019
242,63.53,31-08-2019
243,38,01-09-2019
244,36.96,02-09-2019
245,53.25,03-09-2019
246,65.32,04-09-2019
247,36.66,05-09-2019
248,32.14,06-09-2019
249,41.54,07-09-2019
250,37.13,08-09-2019
251,53.7,09-09-2019
252,63.73,10-09-2019
253,64.76,11-09-2019
254,68.52,12-09-2019
255,44.22,13-09-2019
256,48.08,14-09-2019
257,37.08,15-09-2019
258,52.15,16-09-2019
259,57.06,17-09-2019
260,47.61,18-09-2019
261,34.57,19-09-2019
262,35.08,20-09-2019
263,42.04,21-09-2019
264,29.23,22-09-2019
265,27.11,23-09-2019
266,32.51,24-09-2019
267,35.93,25-09-2019
268,26.15,26-09-2019
269,17.82,27-09-2019
270,20.13,28-09-2019
271,18.7,29-09-2019
272,26.17,30-09-2019
273,40.92,01-10-2019
274,47.3,02-10-2019
275,61.04,03-10-2019
276,34.48,04-10-2019
277,36.87,05-10-2019
278,57.08,06-10-2019
279,50.31,07-10-2019
280,41.29,08-10-2019
281,61.66,09-10-2019
282,70.13,10-10-2019
283,72.72,11-10-2019
284,96.98,12-10-2019
285,109.18,13-10-2019
286,102.06,14-10-2019
287,113.72,15-10-2019
288,149.43,16-10-2019
289,117.86,17-10-2019
290,90.67,18-10-2019
291,92.24,19-10-2019
292,89.51,20-10-2019
293,96.65,21-10-2019
294,95.28,22-10-2019
295,129.86,23-10-2019
296,151.35,24-10-2019
297,132.73,25-10-2019
298,148.49,26-10-2019
299,203.57,27-10-2019
300,198.32,28-10-2019
301,266.44,29-10-2019
302,238.38,30-10-2019
303,356.41,31-10-2019
304,393.69,01-11-2019
305,523.6,02-11-2019
306,670.23,03-11-2019
307,408.63,04-11-2019
308,200.62,05-11-2019
309,97.4,06-11-2019
310,99.74,07-11-2019
311,97.48,08-11-2019
312,111.75,09-11-2019
313,152.68,10-11-2019
314,279.42,11-11-2019
315,356.85,12-11-2019
316,319.17,13-11-2019
317,255.81,14-11-2019
318,365.16,15-11-2019
319,173.39,16-11-2019
320,98.38,17-11-2019
321,127.91,18-11-2019
322,134.61,19-11-2019
323,173.14,20-11-2019
324,196.81,21-11-2019
325,169.45,22-11-2019
326,100.97,23-11-2019
327,94.77,24-11-2019
328,95.18,25-11-2019
329,68.71,26-11-2019
330,47.81,27-11-2019
331,32.39,28-11-2019
332,41.42,29-11-2019
333,73.34,30-11-2019
334,106.22,01-12-2019
335,118.18,02-12-2019
336,127.64,03-12-2019
337,131.6,04-12-2019
338,171.03,05-12-2019
339,178.18,06-12-2019
340,164.97,07-12-2019
341,139.35,08-12-2019
342,147.67,09-12-2019
343,165.66,10-12-2019
344,210.12,11-12-2019
345,217.03,12-12-2019
346,72.62,13-12-2019
347,67.45,14-12-2019
348,75.29,15-12-2019
349,63.87,16-12-2019
350,73.97,17-12-2019
351,93.12,18-12-2019
352,121,19-12-2019
353,161.36,20-12-2019
354,121.41,21-12-2019
355,103.74,22-12-2019
356,113.38,23-12-2019
357,153.59,24-12-2019
358,114.93,25-12-2019
359,145.95,26-12-2019
360,146.79,27-12-2019
361,137.81,28-12-2019
362,154.38,29-12-2019
363,95.64,30-12-2019
364,168.93,31-12-2019
365,149.78,01-01-2020
366,121.8,02-01-2020
367,109.03,03-01-2020
368,134.97,04-01-2020
369,128.34,05-01-2020
370,114.27,06-01-2020
371,59.46,07-01-2020
372,71.53,08-01-2020
373,57.91,09-01-2020
374,83.35,10-01-2020
375,90.23,11-01-2020
376,105.94,12-01-2020
377,108.8,13-01-2020
378,46.29,14-01-2020
379,60.79,15-01-2020
380,78.87,16-01-2020
381,78.02,17-01-2020
382,91.9,18-01-2020
383,74.39,19-01-2020
384,98.25,20-01-2020
385,133.29,21-01-2020
386,66.56,22-01-2020
387,56.49,23-01-2020
388,59.27,24-01-2020
389,92.37,25-01-2020
390,124.25,26-01-2020
391,115.27,27-01-2020
392,64.67,28-01-2020
393,49.08,29-01-2020
394,56.24,30-01-2020
395,60.41,31-01-2020
396,71.57,01-02-2020
397,80.28,02-02-2020
398,92.4,03-02-2020
399,93.57,04-02-2020
400,91.03,05-02-2020
401,89.82,06-02-2020
402,92.69,07-02-2020
403,101.66,08-02-2020
404,99.53,09-02-2020
405,106.77,10-02-2020
406,129.87,11-02-2020
407,107.68,12-02-2020
408,61.7,13-02-2020
409,59.14,14-02-2020
410,57.68,15-02-2020
411,91.11,16-02-2020
412,84.07,17-02-2020
413,72.16,18-02-2020
414,97.97,19-02-2020
415,93.21,20-02-2020
416,32.75,21-02-2020
417,43.16,22-02-2020
418,62.58,23-02-2020
419,67.55,24-02-2020
420,89.48,25-02-2020
421,100.33,26-02-2020
422,99.72,27-02-2020
423,92.32,28-02-2020
424,61.15,29-02-2020
425,25.88,01-03-2020
426,64.75,02-03-2020
427,63.16,03-03-2020
428,70.83,04-03-2020
429,29.14,05-03-2020
430,16.22,06-03-2020
431,23.33,07-03-2020
432,46.72,08-03-2020
433,46.18,09-03-2020
434,54.85,10-03-2020
435,48.61,11-03-2020
436,41.91,12-03-2020
437,57.65,13-03-2020
438,58.22,14-03-2020
439,48.32,15-03-2020
440,57.55,16-03-2020
441,73.02,17-03-2020
442,80.25,18-03-2020
443,73.36,19-03-2020
444,73.33,20-03-2020
445,73.39,21-03-2020
446,70.42,22-03-2020
447,44.71,23-03-2020
448,52.03,24-03-2020
449,41.22,25-03-2020
450,42.21,26-03-2020
451,24.29,27-03-2020
452,16.43,28-03-2020
453,32.34,29-03-2020
454,35.67,30-03-2020
455,33,31-03-2020
456,34.99,01-04-2020
457,34.97,02-04-2020
458,30.62,03-04-2020
459,41.13,04-04-2020
460,49.48,05-04-2020
461,52.86,06-04-2020
462,37.8,07-04-2020
463,34.09,08-04-2020
464,44.21,09-04-2020
465,51.4,10-04-2020
466,48.4,11-04-2020
467,42.43,12-04-2020
468,58.44,13-04-2020
469,70.21,14-04-2020
470,122.3,15-04-2020
471,68,16-04-2020
472,45.82,17-04-2020
473,35.01,18-04-2020
474,20.06,19-04-2020
475,26.93,20-04-2020
476,29.46,21-04-2020
477,30.36,22-04-2020
478,30.46,23-04-2020
479,30.2,24-04-2020
480,30.1,25-04-2020
481,34.49,26-04-2020
482,40.13,27-04-2020
483,40.2,28-04-2020
484,38.99,29-04-2020
485,39.6,30-04-2020
486,40.62,01-05-2020
487,39.39,02-05-2020
488,40.71,03-05-2020
489,27.5,04-05-2020
490,26.46,05-05-2020
491,30.86,06-05-2020
492,29.78,07-05-2020
493,None,08-05-2020
494,None,09-05-2020
495,30.64,10-05-2020
496,31.15,11-05-2020
497,29.76,12-05-2020
498,30.04,13-05-2020
499,30.48,14-05-2020
500,29.58,15-05-2020
501,30.91,16-05-2020
502,30.31,17-05-2020
