,PM,Date
16,None,2019-01-01
17,None,2019-01-02
18,None,2019-01-03
19,None,2019-01-04
20,None,2019-01-05
21,None,2019-01-06
22,None,2019-01-07
23,None,2019-01-08
24,None,2019-01-09
25,74.02,2019-01-10
26,85.38,2019-01-11
27,120.97,2019-01-12
28,66.59,2019-01-13
29,36.39,2019-01-14
30,94.85,2019-01-15
31,86.38,2019-01-16
32,109.01,2019-01-17
33,78.85,2019-01-18
34,84.35,2019-01-19
35,87.34,2019-01-20
36,76.76,2019-01-21
37,21.06,2019-01-22
38,27.48,2019-01-23
39,37.32,2019-01-24
40,34.16,2019-01-25
41,46.62,2019-01-26
42,52.01,2019-01-27
43,51.85,2019-01-28
44,49.06,2019-01-29
45,77.72,2019-01-30
46,116.79,2019-01-31
47,139.82,2019-02-01
48,117.4,2019-02-02
49,79.8,2019-02-03
50,102.38,2019-02-04
51,118.78,2019-02-05
52,148.07,2019-02-06
53,71.23,2019-02-07
54,48.36,2019-02-08
55,46.54,2019-02-09
56,68.05,2019-02-10
57,93.38,2019-02-11
58,98.3,2019-02-12
59,134.28,2019-02-13
60,108.65,2019-02-14
61,111.35,2019-02-15
62,73.62,2019-02-16
63,68.4,2019-02-17
64,76.2,2019-02-18
65,72.45,2019-02-19
66,79.08,2019-02-20
67,48.88,2019-02-21
68,45.24,2019-02-22
69,44.96,2019-02-23
70,59.56,2019-02-24
71,59.78,2019-02-25
72,34.63,2019-02-26
73,24.25,2019-02-27
74,57.72,2019-02-28
75,65.67,2019-03-01
76,63.04,2019-03-02
77,57.4,2019-03-03
78,47.53,2019-03-04
79,42.12,2019-03-05
80,52.67,2019-03-06
81,60.78,2019-03-07
82,52.68,2019-03-08
83,44.75,2019-03-09
84,47.71,2019-03-10
85,56.37,2019-03-11
86,55.76,2019-03-12
87,64.03,2019-03-13
88,53.26,2019-03-14
89,47.43,2019-03-15
90,54.14,2019-03-16
91,64.84,2019-03-17
92,74.07,2019-03-18
93,68.57,2019-03-19
94,94.84,2019-03-20
95,46.28,2019-03-21
96,30.25,2019-03-22
97,40.88,2019-03-23
98,40.28,2019-03-24
99,53.72,2019-03-25
100,65.27,2019-03-26
101,68.01,2019-03-27
102,93.86,2019-03-28
103,83.27,2019-03-29
104,74.78,2019-03-30
105,55.04,2019-03-31
106,53.32,2019-04-01
107,56.46,2019-04-02
108,64.22,2019-04-03
109,71.23,2019-04-04
110,74.24,2019-04-05
111,81.18,2019-04-06
112,101.44,2019-04-07
113,120.6,2019-04-08
114,70.7,2019-04-09
115,58.46,2019-04-10
116,50.88,2019-04-11
117,44.62,2019-04-12
118,45.56,2019-04-13
119,36.29,2019-04-14
120,44.33,2019-04-15
121,33.34,2019-04-16
122,22.5,2019-04-17
123,26.07,2019-04-18
124,36.14,2019-04-19
125,69.78,2019-04-20
126,70.11,2019-04-21
127,56.21,2019-04-22
128,62.44,2019-04-23
129,85.73,2019-04-24
130,75.55,2019-04-25
131,65.08,2019-04-26
132,60.09,2019-04-27
133,69.15,2019-04-28
134,69.84,2019-04-29
135,68.4,2019-04-30
136,60.98,2019-05-01
137,58,2019-05-02
138,36.51,2019-05-03
139,49.77,2019-05-04
140,95.22,2019-05-05
141,149.49,2019-05-06
142,122.52,2019-05-07
143,135.61,2019-05-08
144,168.06,2019-05-09
145,87.45,2019-05-10
146,71.91,2019-05-11
147,200.16,2019-05-12
148,135.13,2019-05-13
149,57.55,2019-05-14
150,53.06,2019-05-15
151,79.67,2019-05-16
152,80.93,2019-05-17
153,39.17,2019-05-18
154,62.33,2019-05-19
155,68.62,2019-05-20
156,67.24,2019-05-21
157,74.31,2019-05-22
158,83.75,2019-05-23
159,30.06,2019-05-24
160,32.37,2019-05-25
161,38.13,2019-05-26
162,49.06,2019-05-27
163,41.42,2019-05-28
164,59.18,2019-05-29
165,74.74,2019-05-30
166,83.36,2019-05-31
167,81.01,2019-06-01
168,79.87,2019-06-02
169,80.93,2019-06-03
170,55.93,2019-06-04
171,70.88,2019-06-05
172,59.71,2019-06-06
173,52.92,2019-06-07
174,63.64,2019-06-08
175,60.3,2019-06-09
176,69.45,2019-06-10
177,91.71,2019-06-11
178,50.64,2019-06-12
179,54.25,2019-06-13
180,50.83,2019-06-14
181,61.69,2019-06-15
182,46.04,2019-06-16
183,42.36,2019-06-17
184,32.95,2019-06-18
185,69.4,2019-06-19
186,43.45,2019-06-20
187,53.05,2019-06-21
188,63.91,2019-06-22
189,54.97,2019-06-23
190,25.55,2019-06-24
191,35.95,2019-06-25
192,51.39,2019-06-26
193,57.5,2019-06-27
194,60.02,2019-06-28
195,87.78,2019-06-29
196,63.13,2019-06-30
197,58.68,2019-07-01
198,53.58,2019-07-02
199,47.69,2019-07-03
200,28.88,2019-07-04
201,44.59,2019-07-05
202,37.82,2019-07-06
203,35.62,2019-07-07
204,43.37,2019-07-08
205,54.87,2019-07-09
206,73.32,2019-07-10
207,127.6,2019-07-11
208,182.18,2019-07-12
209,122,2019-07-13
210,75.95,2019-07-14
211,33.83,2019-07-15
212,33.3,2019-07-16
213,20.15,2019-07-17
214,18.08,2019-07-18
215,40.72,2019-07-19
216,43.41,2019-07-20
217,46.73,2019-07-21
218,39.14,2019-07-22
219,56.92,2019-07-23
220,37.24,2019-07-24
221,16.69,2019-07-25
222,38.29,2019-07-26
223,17.64,2019-07-27
224,19.3,2019-07-28
225,19.18,2019-07-29
226,23.57,2019-07-30
227,28.62,2019-07-31
228,37.64,2019-08-01
229,28.57,2019-08-02
230,34.32,2019-08-03
231,38.21,2019-08-04
232,49.51,2019-08-05
233,24.04,2019-08-06
234,27.38,2019-08-07
235,33.34,2019-08-08
236,19.52,2019-08-09
237,18.95,2019-08-10
238,33.57,2019-08-11
239,28.34,2019-08-12
240,24.63,2019-08-13
241,29.81,2019-08-14
242,40.42,2019-08-15
243,21.85,2019-08-16
244,17.12,2019-08-17
245,11.55,2019-08-18
246,29.66,2019-08-19
247,31.42,2019-08-20
248,46.46,2019-08-21
249,34.45,2019-08-22
250,48.63,2019-08-23
251,48.83,2019-08-24
252,42.94,2019-08-25
253,29.23,2019-08-26
254,32.85,2019-08-27
255,32.82,2019-08-28
256,40.91,2019-08-29
257,34.55,2019-08-30
258,63.53,2019-08-31
259,38,2019-09-01
260,36.96,2019-09-02
261,53.25,2019-09-03
262,65.32,2019-09-04
263,36.66,2019-09-05
264,32.14,2019-09-06
265,41.54,2019-09-07
266,37.13,2019-09-08
267,53.7,2019-09-09
268,63.73,2019-09-10
269,64.76,2019-09-11
270,68.52,2019-09-12
271,44.22,2019-09-13
272,48.08,2019-09-14
273,37.08,2019-09-15
274,52.15,2019-09-16
275,57.06,2019-09-17
276,47.61,2019-09-18
277,34.57,2019-09-19
278,35.08,2019-09-20
279,42.04,2019-09-21
280,29.23,2019-09-22
281,27.11,2019-09-23
282,32.51,2019-09-24
283,35.93,2019-09-25
284,26.15,2019-09-26
285,17.82,2019-09-27
286,20.13,2019-09-28
287,18.7,2019-09-29
288,26.17,2019-09-30
289,40.92,2019-10-01
