DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
BHIWADI,16.61,53.94,15.58,17.05,12.35,34.31,39.66,40.3,23.06
JODHPUR,19.71,20.2,24.93,17.51,14.3,35.72,29.35,32.47,38.12
SINGRAULI,7.02,10.49,25.99,19.48,11.79,13.18,49.16,20.97,24.55
ANKLESHWAR,13.3,12.17,30.31,18.87,13.78,37.08,51.31,57.53,58.27
LUDHIANA,6.13,9.05,17.5,7.73,6.95,15.97,20.93,19.84,18.03
DURGAPUR,4.47,6.23,19.32,7.38,7.81,11.75,7.32,12.6,21.97
YAMUNA_NAGAR,17.05,17.73,31.74,15.11,17.86,39.13,42.25,23.31,43.99
CHARKHI_DADRI,11.66,14.52,19.91,11.38,11.24,30.32,35,33.34,33
JIND,15.28,17.46,23.74,16.72,11.46,51.71,46.76,27.89,33.97
KURUKSHETRA,13.83,45.5,24.77,16.83,14.73,42.26,24.43,53.83,32.16
SONIPAT,7.05,9.54,15.09,9.03,6.26,26.95,14.68,13.65,29.12
DHARUHERA,11.92,17.22,17.8,9.62,10.61,32.7,16.99,18.8,25.45
AMBALA,13.03,17.01,22.05,11.21,8.96,34.42,24.82,19.51,37.19
HISAR,12.3,45.7,29.6,19.54,15.93,41.06,27.53,30.51,41.18
FATEHABAD,8.64,29.69,45.76,8.64,9.37,25.94,47.32,48.3,46.98
BULANDSHAHR,4.76,7.38,19.15,9.01,5.6,11.85,7.28,11.81,8.21
MUZAFFARNAGAR,8.23,12.65,11.26,11.68,10.47,16.65,12.9,21.33,18.49
