DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
BHIWADI,0.43,1.34,0.48,0.49,0.35,0.96,1.11,1.06,0.63
JODHPUR,0.31,0.33,0.44,0.37,0.29,0.55,0.44,0.55,0.57
SINGRAULI,0.61,0.66,2.13,1.62,1.02,1.06,3.57,1.72,2.03
ANKLESHWAR,0.15,0.13,0.25,0.16,0.13,0.31,0.4,0.46,0.47
LUDHIANA,0.15,0.28,0.57,0.22,0.22,0.43,0.71,0.66,0.51
DURGAPUR,0.28,0.51,0.93,0.71,0.42,0.84,0.66,0.72,1.38
YAMUNA_NAGAR,0.23,0.26,0.33,0.19,0.26,0.53,0.47,0.32,0.47
CHARKHI_DADRI,0.48,0.75,0.75,0.72,0.48,1.12,2.08,1.88,1.95
JIND,0.15,0.21,0.3,0.14,0.12,0.48,0.39,0.23,0.3
KURUKSHETRA,0.19,0.4,0.27,0.23,0.2,0.51,0.34,0.54,0.31
SONIPAT,0.16,0.18,0.36,0.21,0.14,0.58,0.33,0.24,0.38
DHARUHERA,0.3,0.58,0.41,0.33,0.25,0.87,0.52,0.38,0.52
AMBALA,0.29,0.48,0.42,0.26,0.25,0.87,0.41,0.49,0.83
HISAR,0.13,0.31,0.23,0.17,0.16,0.39,0.32,0.28,0.31
FATEHABAD,0.13,0.35,0.5,0.12,0.11,0.44,0.61,0.57,0.65
BULANDSHAHR,0.29,0.6,1.35,0.76,0.44,0.99,0.61,0.97,0.56
MUZAFFARNAGAR,0.3,0.62,0.59,0.67,0.55,0.68,0.69,1.11,0.97
