-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2001 through 01/01/2011 
Location: Latitude  28.6324   Longitude 77.2249 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M        MERRA-2 Temperature at 2 Meters (C) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET
2001,1,1,5,12.86,9.85,11.36
2001,1,1,6,12.65,9.87,11.26
2001,1,1,7,12.7,10.09,11.4
2001,1,1,8,13.11,10.02,11.56
2001,1,1,9,14.01,9.76,11.88
2001,1,1,10,15.07,9.52,12.3
2001,1,1,11,16.48,9.15,12.82
2001,1,1,12,17.83,9.02,13.43
2001,1,1,13,18.55,9.29,13.92
2001,1,1,14,18.6,9.4,14.0
2001,1,1,15,18.02,10.05,14.04
2001,1,1,16,15.89,12.06,13.98
2001,1,1,17,13.92,10.86,12.39
2001,1,1,18,13.27,10.25,11.76
2001,1,1,19,12.49,9.76,11.12
2001,1,1,20,11.51,9.57,10.54
2001,1,1,21,10.48,9.5,9.99
2001,1,1,22,9.88,9.38,9.63
2001,1,1,23,9.45,9.24,9.35
2001,1,2,0,9.08,9.17,9.12
2001,1,2,1,8.79,9.25,9.01
2001,1,2,2,8.5,9.51,9.01
2001,1,2,3,8.21,9.81,9.01
2001,1,2,4,8.04,9.94,8.99
2001,1,2,5,7.9,9.83,8.87
2001,1,2,6,7.75,9.58,8.66
2001,1,2,7,9.71,9.54,9.62
2001,1,2,8,12.12,9.76,10.94
2001,1,2,9,16.13,9.21,12.67
2001,1,2,10,18.97,7.71,13.33
2001,1,2,11,20.63,6.64,13.63
2001,1,2,12,21.69,5.84,13.76
2001,1,2,13,22.15,5.34,13.75
2001,1,2,14,21.94,5.01,13.48
2001,1,2,15,21.01,4.8,12.9
2001,1,2,16,17.48,6.61,12.05
2001,1,2,17,14.61,5.4,10.01
2001,1,2,18,13.6,4.9,9.25
2001,1,2,19,12.73,4.42,8.58
2001,1,2,20,12.05,4.03,8.04
2001,1,2,21,11.55,3.79,7.67
2001,1,2,22,10.91,3.54,7.23
2001,1,2,23,10.21,3.4,6.8
2001,1,3,0,9.53,3.46,6.49
2001,1,3,1,8.93,3.62,6.27
2001,1,3,2,8.37,3.83,6.09
2001,1,3,3,7.84,4.05,5.95
2001,1,3,4,7.4,4.27,5.83
2001,1,3,5,7.02,4.48,5.75
2001,1,3,6,6.74,4.67,5.71
2001,1,3,7,9.3,4.88,7.09
2001,1,3,8,12.21,5.19,8.7
2001,1,3,9,16.01,5.73,10.87
2001,1,3,10,19.46,5.5,12.48
2001,1,3,11,20.52,5.26,12.89
2001,1,3,12,21.2,5.07,13.14
2001,1,3,13,21.45,4.94,13.19
