,actual,predicted,gru_actual,gru_P_train,1d_cnn_actual,1d_cnn_P_train
0,244.25,171.76986206517054,244.25,171.76986206517054,244.25,171.76986206517054
1,167.0,141.0836913157919,167.0,141.0836913157919,167.0,141.0836913157919
2,131.25,114.78515412199529,131.25,114.78515412199529,131.25,114.78515412199529
3,110.75,110.22520474701248,110.75,110.22520474701248,110.75,110.22520474701248
4,125.75001,110.34090859066188,125.75001,110.34090859066188,125.75001,110.34090859066188
5,104.5,95.078742536937,104.5,95.078742536937,104.5,95.078742536937
6,56.25,75.77765391564331,56.25,75.77765391564331,56.25,75.77765391564331
7,42.75,79.14035098177683,42.75,79.14035098177683,42.75,79.14035098177683
8,86.0,141.11899676256684,86.0,141.11899676256684,86.0,141.11899676256684
9,237.0,226.32986646734594,237.0,226.32986646734594,237.0,226.32986646734594
10,324.25,260.11469913882445,324.25,260.11469913882445,324.25,260.11469913882445
11,281.75,191.64967533956363,281.75,191.64967533956363,281.75,191.64967533956363
12,110.75,108.30180626759724,110.75,108.30180626759724,110.75,108.30180626759724
13,81.5,80.99981520034484,81.5,80.99981520034484,81.5,80.99981520034484
14,122.0,92.08644450966186,122.0,92.08644450966186,122.0,92.08644450966186
15,119.67,109.37331777286609,119.67,109.37331777286609,119.67,109.37331777286609
16,110.0,114.11776231921274,110.0,114.11776231921274,110.0,114.11776231921274
17,94.5,110.45265047644378,94.5,110.45265047644378,94.5,110.45265047644378
18,94.0,105.66585700266882,94.0,105.66585700266882,94.0,105.66585700266882
19,96.0,103.71149655621487,96.0,103.71149655621487,96.0,103.71149655621487
20,100.0,111.2512344433541,100.0,111.2512344433541,100.0,111.2512344433541
21,123.74999,121.60986133147463,123.74999,121.60986133147463,123.74999,121.60986133147463
22,133.25,135.43847363738914,133.25,135.43847363738914,133.25,135.43847363738914
23,157.75,163.07844172161742,157.75,163.07844172161742,157.75,163.07844172161742
24,215.25,169.5007754248558,215.25,169.5007754248558,215.25,169.5007754248558
25,177.25,133.5078409163862,177.25,133.5078409163862,177.25,133.5078409163862
26,92.25,85.67872602877922,92.25,85.67872602877922,92.25,85.67872602877922
27,53.0,62.06769491090181,53.0,62.06769491090181,53.0,62.06769491090181
28,60.5,65.23390821464274,60.5,65.23390821464274,60.5,65.23390821464274
29,71.25,81.24471555527023,71.25,81.24471555527023,71.25,81.24471555527023
30,82.25,86.5130996817594,82.25,86.5130996817594,82.25,86.5130996817594
31,61.5,89.736614635399,61.5,89.736614635399,61.5,89.736614635399
32,80.5,116.46181066977265,80.5,116.46181066977265,80.5,116.46181066977265
33,158.0,173.04666902060768,158.0,173.04666902060768,158.0,173.04666902060768
34,256.25,183.1206659207425,256.25,183.1206659207425,256.25,183.1206659207425
35,170.25,168.22999944972807,170.25,168.22999944972807,170.25,168.22999944972807
36,177.5,142.97825554628244,177.5,142.97825554628244,177.5,142.97825554628244
37,149.25,132.98775323972598,149.25,132.98775323972598,149.25,132.98775323972598
38,163.5,131.64991745921108,163.5,131.64991745921108,163.5,131.64991745921108
39,150.75,136.07018580848703,150.75,136.07018580848703,150.75,136.07018580848703
40,154.0,142.82448755926887,154.0,142.82448755926887,154.0,142.82448755926887
41,159.0,148.06449966525125,159.0,148.06449966525125,159.0,148.06449966525125
42,161.0,144.12641626236964,161.0,144.12641626236964,161.0,144.12641626236964
43,143.75,134.5773787796803,143.75,134.5773787796803,143.75,134.5773787796803
44,133.0,133.102195126425,133.0,133.102195126425,133.0,133.102195126425
45,148.5,136.38174243605383,148.5,136.38174243605383,148.5,136.38174243605383
46,149.5,142.14564276346562,149.5,142.14564276346562,149.5,142.14564276346562
47,157.0,158.51021625686693,157.0,158.51021625686693,157.0,158.51021625686693
48,194.25,174.0133280446087,194.25,174.0133280446087,194.25,174.0133280446087
49,203.0,155.10962379742656,203.0,155.10962379742656,203.0,155.10962379742656
50,129.0,118.6547983711951,129.0,118.6547983711951,129.0,118.6547983711951
51,92.75,82.86892752001614,92.75,82.86892752001614,92.75,82.86892752001614
52,57.0,67.33112659005658,57.0,67.33112659005658,57.0,67.33112659005658
53,59.75,67.57300411786825,59.75,67.57300411786825,59.75,67.57300411786825
54,57.75,72.88009070315582,57.75,72.88009070315582,57.75,72.88009070315582
55,56.25,81.86034511220961,56.25,81.86034511220961,56.25,81.86034511220961
56,72.25,106.17502728431633,72.25,106.17502728431633,72.25,106.17502728431633
57,129.25,154.43242248044243,129.25,154.43242248044243,129.25,154.43242248044243
58,218.75,192.1173624549465,218.75,192.1173624549465,218.75,192.1173624549465
59,232.0,206.1680498362941,232.0,206.1680498362941,232.0,206.1680498362941
60,238.0,181.07950924915394,238.0,181.07950924915394,238.0,181.07950924915394
61,174.75,147.03933573007328,174.75,147.03933573007328,174.75,147.03933573007328
62,155.25,138.3659643056944,155.25,138.3659643056944,155.25,138.3659643056944
63,181.0,145.24973403523575,181.0,145.24973403523575,181.0,145.24973403523575
64,177.0,149.55043930042095,177.0,149.55043930042095,177.0,149.55043930042095
65,160.25,152.60871860010823,160.25,152.60871860010823,160.25,152.60871860010823
66,166.0,157.16532232178068,166.0,157.16532232178068,166.0,157.16532232178068
67,174.75,160.81726432311967,174.75,160.81726432311967,174.75,160.81726432311967
68,176.5,155.13069554371452,176.5,155.13069554371452,176.5,155.13069554371452
69,156.5,182.26831671817823,156.5,182.26831671817823,156.5,182.26831671817823
70,255.5,279.19959692581415,255.5,279.19959692581415,255.5,279.19959692581415
71,454.25,249.3436324366958,454.25,249.3436324366958,454.25,249.3436324366958
72,153.25,179.2129428542605,153.25,179.2129428542605,153.25,179.2129428542605
73,159.25,120.41399570787898,159.25,120.41399570787898,159.25,120.41399570787898
74,115.5,96.34257041187854,115.5,96.34257041187854,115.5,96.34257041187854
75,107.0,79.23824802589947,107.0,79.23824802589947,107.0,79.23824802589947
76,48.0,71.51479268505186,48.0,71.51479268505186,48.0,71.51479268505186
77,45.0,73.62843851169787,45.0,73.62843851169787,45.0,73.62843851169787
78,52.25,76.67926346102699,52.25,76.67926346102699,52.25,76.67926346102699
79,49.25,83.0139865366802,49.25,83.0139865366802,49.25,83.0139865366802
80,67.75,101.79938965672203,67.75,101.79938965672203,67.75,101.79938965672203
81,114.5,129.8343282555463,114.5,129.8343282555463,114.5,129.8343282555463
82,158.0,152.68580069150838,158.0,152.68580069150838,158.0,152.68580069150838
83,177.25,153.42962159633885,177.25,153.42962159633885,177.25,153.42962159633885
84,156.75,144.3580587323569,156.75,144.3580587323569,156.75,144.3580587323569
85,157.5,130.08004301292223,157.5,130.08004301292223,157.5,130.08004301292223
86,137.5,124.74843631061016,137.5,124.74843631061016,137.5,124.74843631061016
87,146.0,125.68962141291489,146.0,125.68962141291489,146.0,125.68962141291489
88,142.25,122.52382631583774,142.25,122.52382631583774,142.25,122.52382631583774
89,122.75,120.3811554793327,122.75,120.3811554793327,122.75,120.3811554793327
90,125.50001,120.90701000577785,125.50001,120.90701000577785,125.50001,120.90701000577785
