YEAR,MO,DY,HR,T2M
2001,1,1,5,12.86
2001,1,1,6,12.65
2001,1,1,7,12.7
2001,1,1,8,13.11
2001,1,1,9,14.01
2001,1,1,10,15.07
2001,1,1,11,16.48
2001,1,1,12,17.83
2001,1,1,13,18.55
2001,1,1,14,18.6
2001,1,1,15,18.02
2001,1,1,16,15.89
2001,1,1,17,13.92
2001,1,1,18,13.27
2001,1,1,19,12.49
2001,1,1,20,11.51
2001,1,1,21,10.48
2001,1,1,22,9.88
2001,1,1,23,9.45
2001,1,2,0,9.08
2001,1,2,1,8.79
2001,1,2,2,8.5
2001,1,2,3,8.21
2001,1,2,4,8.04
2001,1,2,5,7.9
2001,1,2,6,7.75
2001,1,2,7,9.71
2001,1,2,8,12.12
2001,1,2,9,16.13
2001,1,2,10,18.97
2001,1,2,11,20.63
2001,1,2,12,21.69
2001,1,2,13,22.15
2001,1,2,14,21.94
2001,1,2,15,21.01
2001,1,2,16,17.48
2001,1,2,17,14.61
2001,1,2,18,13.6
2001,1,2,19,12.73
2001,1,2,20,12.05
2001,1,2,21,11.55
2001,1,2,22,10.91
2001,1,2,23,10.21
2001,1,3,0,9.53
2001,1,3,1,8.93
2001,1,3,2,8.37
2001,1,3,3,7.84
2001,1,3,4,7.4
2001,1,3,5,7.02
2001,1,3,6,6.74
2001,1,3,7,9.3
2001,1,3,8,12.21
2001,1,3,9,16.01
2001,1,3,10,19.46
2001,1,3,11,20.52
2001,1,3,12,21.2
2001,1,3,13,21.45
2001,1,3,14,21.17
2001,1,3,15,20.21
2001,1,3,16,16.69
2001,1,3,17,13.85
2001,1,3,18,13.12
2001,1,3,19,12.48
2001,1,3,20,11.9
2001,1,3,21,11.33
2001,1,3,22,10.72
2001,1,3,23,10.05
2001,1,4,0,9.4
2001,1,4,1,8.75
2001,1,4,2,8.15
2001,1,4,3,7.63
2001,1,4,4,7.19
2001,1,4,5,6.76
2001,1,4,6,6.35
2001,1,4,7,8.21
2001,1,4,8,10.81
2001,1,4,9,15.07
2001,1,4,10,18.9
2001,1,4,11,20.42
2001,1,4,12,21.42
2001,1,4,13,21.88
2001,1,4,14,21.68
2001,1,4,15,20.62
2001,1,4,16,16.55
2001,1,4,17,13.28
2001,1,4,18,12.41
2001,1,4,19,11.6
2001,1,4,20,10.88
2001,1,4,21,10.21
2001,1,4,22,9.53
2001,1,4,23,8.93
2001,1,5,0,8.46
2001,1,5,1,8
2001,1,5,2,7.42
2001,1,5,3,6.8
2001,1,5,4,6.23
2001,1,5,5,5.63
2001,1,5,6,5.11
2001,1,5,7,7.19
2001,1,5,8,9.96
2001,1,5,9,14.48
2001,1,5,10,18.8
2001,1,5,11,20.62
2001,1,5,12,21.9
2001,1,5,13,22.57
2001,1,5,14,22.44
2001,1,5,15,21.3
2001,1,5,16,16.52
2001,1,5,17,13.06
2001,1,5,18,12.01
2001,1,5,19,11.08
2001,1,5,20,10.26
2001,1,5,21,9.56
2001,1,5,22,8.93
2001,1,5,23,8.29
2001,1,6,0,7.65
2001,1,6,1,7.01
2001,1,6,2,6.38
2001,1,6,3,5.82
2001,1,6,4,5.57
2001,1,6,5,5.78
2001,1,6,6,6.26
2001,1,6,7,8
2001,1,6,8,10.79
2001,1,6,9,14.42
2001,1,6,10,19.34
2001,1,6,11,20.85
2001,1,6,12,21.53
2001,1,6,13,21.74
2001,1,6,14,21.33
2001,1,6,15,20.18
2001,1,6,16,18.07
2001,1,6,17,17.4
2001,1,6,18,16.82
2001,1,6,19,16.19
2001,1,6,20,15.68
2001,1,6,21,15.25
2001,1,6,22,14.72
2001,1,6,23,14.09
2001,1,7,0,13.33
2001,1,7,1,12.5
2001,1,7,2,11.6
2001,1,7,3,10.81
2001,1,7,4,10.19
2001,1,7,5,9.67
2001,1,7,6,9.08
2001,1,7,7,9.28
2001,1,7,8,11.54
2001,1,7,9,14.51
2001,1,7,10,18.44
2001,1,7,11,19.77
2001,1,7,12,20.43
2001,1,7,13,20.65
2001,1,7,14,20.31
2001,1,7,15,19.03
2001,1,7,16,16.64
2001,1,7,17,14.71
2001,1,7,18,14.15
2001,1,7,19,12.69
2001,1,7,20,11.14
2001,1,7,21,9.72
2001,1,7,22,8.66
2001,1,7,23,7.88
2001,1,8,0,7.25
2001,1,8,1,6.65
2001,1,8,2,6.12
2001,1,8,3,5.68
2001,1,8,4,5.29
2001,1,8,5,4.98
2001,1,8,6,4.74
2001,1,8,7,6.71
2001,1,8,8,9.47
2001,1,8,9,12.11
2001,1,8,10,16.4
2001,1,8,11,18.13
2001,1,8,12,18.76
2001,1,8,13,18.94
2001,1,8,14,18.77
2001,1,8,15,17.65
2001,1,8,16,13.79
2001,1,8,17,11.42
2001,1,8,18,10.45
2001,1,8,19,9.69
2001,1,8,20,9.05
2001,1,8,21,8.48
2001,1,8,22,7.94
2001,1,8,23,7.44
2001,1,9,0,6.9
2001,1,9,1,6.35
2001,1,9,2,5.85
2001,1,9,3,5.4
2001,1,9,4,4.93
2001,1,9,5,4.53
2001,1,9,6,4.22
2001,1,9,7,6.41
2001,1,9,8,9.02
2001,1,9,9,12.48
2001,1,9,10,17.37
2001,1,9,11,19.75
2001,1,9,12,20.98
2001,1,9,13,21.51
2001,1,9,14,21.33
2001,1,9,15,20.15
2001,1,9,16,15.37
2001,1,9,17,12.17
2001,1,9,18,11.23
2001,1,9,19,10.42
2001,1,9,20,9.7
2001,1,9,21,9.01
2001,1,9,22,8.32
2001,1,9,23,7.64
2001,1,10,0,6.98
2001,1,10,1,6.36
2001,1,10,2,5.74
2001,1,10,3,5.12
2001,1,10,4,4.56
2001,1,10,5,4.07
2001,1,10,6,3.71
2001,1,10,7,6.26
2001,1,10,8,8.96
2001,1,10,9,12.26
2001,1,10,10,17.19
2001,1,10,11,18.88
2001,1,10,12,19.58
2001,1,10,13,19.76
2001,1,10,14,19.39
2001,1,10,15,18.11
2001,1,10,16,13.49
2001,1,10,17,10.36
2001,1,10,18,9.21
2001,1,10,19,8.19
2001,1,10,20,7.37
2001,1,10,21,6.75
2001,1,10,22,6.19
2001,1,10,23,5.7
2001,1,11,0,5.26
2001,1,11,1,4.83
2001,1,11,2,4.43
2001,1,11,3,3.97
2001,1,11,4,3.51
2001,1,11,5,3.08
2001,1,11,6,2.77
2001,1,11,7,5.24
2001,1,11,8,8.23
2001,1,11,9,11.84
2001,1,11,10,16.82
2001,1,11,11,19.76
2001,1,11,12,21.01
2001,1,11,13,21.59
2001,1,11,14,21.45
2001,1,11,15,19.85
2001,1,11,16,15.4
2001,1,11,17,13.6
2001,1,11,18,13.07
2001,1,11,19,12.56
2001,1,11,20,11.81
2001,1,11,21,10.99
2001,1,11,22,10.3
2001,1,11,23,9.8
2001,1,12,0,9.23
2001,1,12,1,8.73
2001,1,12,2,8.38
2001,1,12,3,8.3
2001,1,12,4,7.95
2001,1,12,5,8.49
2001,1,12,6,8.89
2001,1,12,7,9.65
2001,1,12,8,11.25
2001,1,12,9,13.65
2001,1,12,10,17.94
2001,1,12,11,20.32
2001,1,12,12,20.71
2001,1,12,13,20.69
2001,1,12,14,20.3
2001,1,12,15,18.38
2001,1,12,16,16.01
2001,1,12,17,14.58
2001,1,12,18,13.56
2001,1,12,19,12.59
2001,1,12,20,11.65
2001,1,12,21,10.78
2001,1,12,22,9.83
2001,1,12,23,8.83
2001,1,13,0,7.86
2001,1,13,1,7.02
2001,1,13,2,6.36
2001,1,13,3,5.79
2001,1,13,4,5.27
2001,1,13,5,4.81
2001,1,13,6,4.43
2001,1,13,7,6.85
2001,1,13,8,10.12
2001,1,13,9,13.19
2001,1,13,10,17.84
2001,1,13,11,19.79
2001,1,13,12,20.55
2001,1,13,13,20.8
2001,1,13,14,20.67
2001,1,13,15,19.61
2001,1,13,16,15.02
2001,1,13,17,12.08
2001,1,13,18,11.23
2001,1,13,19,10.49
2001,1,13,20,9.81
2001,1,13,21,9.17
2001,1,13,22,8.56
2001,1,13,23,7.98
2001,1,14,0,7.41
2001,1,14,1,6.9
2001,1,14,2,6.38
2001,1,14,3,5.87
2001,1,14,4,5.34
2001,1,14,5,4.83
2001,1,14,6,4.41
2001,1,14,7,6.89
2001,1,14,8,9.73
2001,1,14,9,13.51
2001,1,14,10,18.94
2001,1,14,11,21.01
2001,1,14,12,22.13
2001,1,14,13,22.62
2001,1,14,14,22.55
2001,1,14,15,21.43
2001,1,14,16,16.51
2001,1,14,17,13.45
2001,1,14,18,12.58
2001,1,14,19,11.84
2001,1,14,20,11.11
2001,1,14,21,10.32
2001,1,14,22,9.51
2001,1,14,23,8.69
2001,1,15,0,7.9
2001,1,15,1,7.2
2001,1,15,2,6.73
2001,1,15,3,6.61
2001,1,15,4,6.7
2001,1,15,5,6.94
2001,1,15,6,6.65
2001,1,15,7,8.37
2001,1,15,8,11.14
2001,1,15,9,14.38
2001,1,15,10,19.59
2001,1,15,11,21.85
2001,1,15,12,22.56
2001,1,15,13,22.76
2001,1,15,14,22.41
2001,1,15,15,20.8
2001,1,15,16,17.12
2001,1,15,17,14.64
2001,1,15,18,13.19
2001,1,15,19,12.01
2001,1,15,20,11.03
2001,1,15,21,10.2
2001,1,15,22,9.35
2001,1,15,23,8.38
2001,1,16,0,7.5
2001,1,16,1,6.79
2001,1,16,2,6.15
2001,1,16,3,5.58
2001,1,16,4,5.08
2001,1,16,5,4.67
2001,1,16,6,4.39
2001,1,16,7,6.81
2001,1,16,8,10.71
2001,1,16,9,14.15
2001,1,16,10,19.39
2001,1,16,11,21.73
2001,1,16,12,22.69
2001,1,16,13,23.08
2001,1,16,14,22.8
2001,1,16,15,21.42
2001,1,16,16,17.33
2001,1,16,17,14.93
2001,1,16,18,13.34
2001,1,16,19,11.72
2001,1,16,20,10.26
2001,1,16,21,9.22
2001,1,16,22,8.4
2001,1,16,23,7.61
2001,1,17,0,6.85
2001,1,17,1,6.2
2001,1,17,2,5.7
2001,1,17,3,5.44
2001,1,17,4,5.4
2001,1,17,5,5.41
2001,1,17,6,5.34
2001,1,17,7,7.45
2001,1,17,8,11.1
2001,1,17,9,14.65
2001,1,17,10,19.95
2001,1,17,11,22.34
2001,1,17,12,23.23
2001,1,17,13,23.58
2001,1,17,14,23.3
2001,1,17,15,21.87
2001,1,17,16,18.01
2001,1,17,17,15.36
2001,1,17,18,13.69
2001,1,17,19,12.22
2001,1,17,20,11.07
2001,1,17,21,10.21
2001,1,17,22,9.4
2001,1,17,23,8.65
2001,1,18,0,7.98
2001,1,18,1,7.32
2001,1,18,2,6.61
2001,1,18,3,6.01
2001,1,18,4,5.55
2001,1,18,5,5.21
2001,1,18,6,5.06
2001,1,18,7,7.88
2001,1,18,8,11.8
2001,1,18,9,15.19
2001,1,18,10,20.39
2001,1,18,11,23.37
2001,1,18,12,24.41
2001,1,18,13,24.83
2001,1,18,14,24.59
2001,1,18,15,23.11
2001,1,18,16,18.38
2001,1,18,17,15.41
2001,1,18,18,13.91
2001,1,18,19,12.69
2001,1,18,20,11.55
2001,1,18,21,10.57
2001,1,18,22,9.82
2001,1,18,23,9.09
2001,1,19,0,8.37
2001,1,19,1,7.8
2001,1,19,2,7.18
2001,1,19,3,6.69
2001,1,19,4,6.32
2001,1,19,5,6.1
2001,1,19,6,6.05
2001,1,19,7,8.76
2001,1,19,8,12.75
2001,1,19,9,15.95
2001,1,19,10,20.97
2001,1,19,11,23.41
2001,1,19,12,24.33
2001,1,19,13,24.65
2001,1,19,14,24.48
2001,1,19,15,23.12
2001,1,19,16,18.97
2001,1,19,17,16.26
2001,1,19,18,14.67
2001,1,19,19,13.29
2001,1,19,20,12.17
2001,1,19,21,11.26
2001,1,19,22,10.42
2001,1,19,23,9.65
2001,1,20,0,8.99
2001,1,20,1,8.44
2001,1,20,2,8.09
2001,1,20,3,8.09
2001,1,20,4,8.43
2001,1,20,5,8.75
2001,1,20,6,8.79
2001,1,20,7,10.16
2001,1,20,8,13.03
2001,1,20,9,16.02
2001,1,20,10,21.44
2001,1,20,11,24.18
2001,1,20,12,24.94
2001,1,20,13,25.12
2001,1,20,14,24.84
2001,1,20,15,23.67
2001,1,20,16,21.55
2001,1,20,17,19.4
2001,1,20,18,17.37
2001,1,20,19,16.23
2001,1,20,20,14.88
2001,1,20,21,13.51
2001,1,20,22,12
2001,1,20,23,10.62
2001,1,21,0,9.63
2001,1,21,1,8.92
2001,1,21,2,8.44
