,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_actual,Gru_predicted,cNN_1Fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
0,0,0,0,0,0,0,0,0,91.23,70.29013048581523,96.29558718806908,84.01411476814026,76.71996441226837,84.414478054024,84.33534845734548,85.97229240752341,88.74679566968237,61.1455649460762
1,1,1,1,1,1,1,1,1,109.07,73.76331405639648,95.80669335651513,79.62317467324108,76.7194602604297,84.42585854038225,84.4410127515329,87.53771352258866,90.02737840989589,62.1239605569896
2,2,2,2,2,2,2,2,2,98.3,72.74457888439174,82.36281731855544,69.02138789981285,76.71797004690657,84.42731909791488,84.52761565781998,79.01877075865033,79.32058718806908,63.24397835058391
3,3,3,3,3,3,3,3,3,70.55,68.05438760325295,67.85082888439175,58.22493179067881,76.71751779305129,84.41852609672863,84.40597419874524,68.98078884880455,67.403431197559,64.20632265663373
4,4,4,4,4,4,4,4,4,54.88,62.48247924026362,58.89182458427312,52.203586891509175,76.71799970289707,84.4076349342138,84.15676749649138,61.92621441226837,59.54359652970609,64.8775118618532
5,5,5,5,5,5,5,5,5,50.72,56.98915925212602,53.07711891997893,45.38722419874524,76.71842230076184,84.40277135177016,83.75568505283776,54.5700533802399,51.94866029008569,65.11404062816398
6,6,6,6,6,6,6,6,6,41.05,51.75311980965864,49.67254077644393,39.65409104334785,76.71874851665746,84.40213374797418,83.29371886066694,47.12030916315805,45.14818208723872,64.91861506470016
7,7,7,7,7,7,7,7,7,31.67,47.57263345141428,49.88611951309874,38.890731019623054,76.71928973848426,84.40234133990775,82.86238730669304,42.50738656529328,41.42552861748783,64.28302046209043
8,8,8,8,8,8,8,8,8,30.8,45.79009341582709,56.9242015119125,43.87724495793859,76.72003113824702,84.40574436481879,82.50722716434429,43.26021500538818,42.76325845141428,63.18264976220906
9,9,9,9,9,9,9,9,9,41.05,46.72835705758273,67.76331405639648,51.17940984524583,76.72055753207857,84.41280249056018,82.27373813706077,47.6408496435851,47.47237396149731,61.7466696317227
10,10,10,10,10,10,10,10,10,53.15,50.829825029112975,80.8914427633953,64.43806198047714,76.721106167903,84.41997924026363,82.31528617976541,57.018941280595776,58.080633154854375,60.30045818451036
11,11,11,11,11,11,11,11,11,74.4,58.33662366493741,96.70567763884014,81.7460765119125,76.72140272780811,84.42999555105841,82.65160735414263,71.12798635770135,75.25294187371559,59.001273724249394
12,12,12,12,12,12,12,12,12,102.02,68.27273724738106,112.66080071120076,99.0257102604297,76.72195877763018,84.44498665426126,83.27615510028735,87.25700474441547,94.00630782863848,58.12325622721499
13,13,13,13,13,13,13,13,13,125.9,76.59632117383421,115.83571915722683,104.51150504097536,76.72182532567288,84.46063760325295,83.97332295319364,95.77389383101097,101.39445284643207,57.83539294133124
14,14,14,14,14,14,14,14,14,121.12,80.41727313112958,106.61497479186504,100.83156731855544,76.72075029601689,84.46794780491369,84.59567615604061,95.21034104334784,99.17101719993148,58.22145833279031
15,15,15,15,15,15,15,15,15,104.8,81.2303440089469,99.5418505332648,98.43438463765388,76.72000889625413,84.46475978593385,85.1052921109635,94.73916666612364,97.61843712875712,59.12381969103468
16,16,16,16,16,16,16,16,16,103.72,80.88164887252934,95.82581405639648,96.71459667798604,76.71960112638462,84.45757562223278,85.49853795912483,94.56770314299196,96.76128262104656,60.39878262104654
17,17,17,17,17,17,17,17,17,103.6,79.53382858783183,92.22205515959934,91.75352016553052,76.71898576458153,84.45298635770135,85.73058867086861,91.69253262104654,93.0646411619718,61.90875444785556
18,18,18,18,18,18,18,18,18,95.25,78.26051156529329,93.82197360562544,89.66919335651511,76.7187855866456,84.45274169577964,85.8906346376539,90.56868920467645,91.58924080609992,63.58551156529328
19,19,19,19,19,19,19,19,19,96.5,77.03550415129565,96.09901986897064,88.0993090148781,76.71852609672864,84.45414294133124,86.00850978593385,88.6897449579386,89.31795521891131,65.30314205165152
20,20,20,20,20,20,20,20,20,92.83,77.25315687964678,104.58095195675236,92.74080515959932,76.71892645260051,84.45792408012127,86.17131375983658,91.37439798284964,92.5175474490418,66.95411328534072
21,21,21,21,21,21,21,21,21,103.75,82.05157769815212,124.83508896742852,109.65090302436802,76.72109133990776,84.46897835058391,86.57285587134311,105.26713226517464,107.7222330955424,68.56914145853172
22,22,22,22,22,22,22,22,22,140.2,95.57086891997892,161.49170225331227,145.51817022484252,76.72617734228024,84.49738878949258,87.5640480421616,135.25663404453408,139.71618327347832,70.45361654749969
23,23,23,23,23,23,23,23,23,210.22,109.47089857596944,173.9570640563965,159.00482502911296,76.72648131618296,84.52146203978913,88.74226571713196,151.15737544429683,153.4090065237749,72.79626927585082
24,24,24,24,24,24,24,24,24,201.27,115.767821766954,160.9230189792909,148.0330871880691,76.72437574085674,84.52817170764203,89.61004448344275,147.48642348700147,147.46750296505604,75.57532473255307
25,25,25,25,25,25,25,25,25,163.6,111.7077164881877,128.9382918144036,122.03945581203112,76.72112099589826,84.5132399164202,89.94207295319364,129.42763048581523,127.7011180302992,78.68692022484251
26,26,26,26,26,26,26,26,26,116.03,100.20073250242258,94.40197064002638,95.22606613231582,76.71848161274286,84.48520017739293,89.75096975034666,107.22080219400029,104.31778469696587,81.75104389032293
27,27,27,27,27,27,27,27,27,80.19423,88.4430071168947,79.94440094844867,82.39636565781997,76.71775504097538,84.4561224786978,89.26981613231582,94.7665762153526,91.36094157715569,84.32255189744038
28,28,28,28,28,28,28,28,28,80.19423,79.84663256173457,76.96645759139055,75.88045521891131,76.71796263290894,84.43827698640834,88.64245106707264,87.56519721179387,84.04014531381048,86.15302342768949
29,29,29,29,29,29,29,29,29,80.19423,74.67238137549494,81.11369958427312,73.1612455510584,76.71818505283777,84.43264234821143,88.00645610859102,83.27181791167526,80.17556939447478,87.22045373611179
30,30,30,30,30,30,30,30,30,80.19423,67.09547597810467,70.54308125687098,55.40410587134311,76.71717674916042,84.42741547988403,87.14145017739293,65.11376631025176,59.7930590148781,87.42026097217347
