,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_actual,Gru_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
0,0,0,0,0,0,0,0,0,138.68,117.27823645267505,98.34722654493643,88.7315538742816,135.75599446818026,84.46540964238538,115.9289245052736,80.6915583763707
1,1,1,1,1,1,1,1,1,142.05,125.21929959051708,98.34869403043706,88.97975260217373,147.93461939189905,84.46956627644293,127.65815620421746,80.73086761995803
2,2,2,2,2,2,2,2,2,161.36,124.22187129833242,98.34873872542693,89.14978724195481,142.17304784156372,84.46946198813325,126.14162540139652,81.51762607740822
3,3,3,3,3,3,3,3,3,137.74,118.9669323564607,98.34986354933856,89.28708280165888,141.36329381182733,84.47384954630512,126.81103716295291,83.11291690153845
4,4,4,4,4,4,4,4,4,141.59,116.32773789984994,98.34966987104912,89.39873833550969,142.33597597795605,84.47241930662939,128.29756272924368,84.9216560989398
5,5,5,5,5,5,5,5,5,144.52,113.63729318819256,98.34928996363529,89.43784645164264,134.21324260463777,84.46832226589166,122.76541801105664,87.0016789864992
6,6,6,6,6,6,6,6,6,126.04001,114.31393063977735,98.3498486510086,89.4883070952016,138.59379856142658,84.46948433562818,125.6774232366459,88.82844516314661
7,7,7,7,7,7,7,7,7,143.12,118.86671129085067,98.34935700612009,89.54631374288299,143.8048619215796,84.46273539215838,129.77821835353205,90.23970436650264
8,8,8,8,8,8,8,8,8,150.26,122.01018441979213,98.349379353615,89.59308704977799,143.1556969904326,84.46192343317581,129.90720809428595,91.96874494780754
9,9,9,9,9,9,9,9,9,144.0,93.17549477586569,98.34657846758338,89.19497387670957,85.21846062831146,84.46304825708745,82.33167827533673,92.65276452188525
10,10,10,10,10,10,10,10,10,6.67,71.50745307869914,98.34621345849948,88.93208539548141,93.22752719323496,84.48057614227999,85.12819909627662,94.09934766556556
11,11,11,11,11,11,11,11,11,91.1,73.59333100993102,98.3433976741379,88.73676084060102,95.20473670577206,84.46818073175709,85.20779342406338,95.326709333117
12,12,12,12,12,12,12,12,12,87.64,83.59493001975076,98.34347216578767,88.57059231744337,88.16068711621524,84.47024415045591,79.33760559918814,96.89249401477052
13,13,13,13,13,13,13,13,13,70.97,84.06929284553097,98.3422951977212,88.4094743281406,78.36704644507806,84.47364841885071,70.85261188383912,98.2943523719247
14,14,14,14,14,14,14,14,14,56.19,76.1133462760635,98.3404924997966,88.26721762456138,73.20651822013376,84.47636736406758,65.04655392025693,99.19750403215151
15,15,15,15,15,15,15,15,15,53.38,70.33827683878854,98.33913675177068,88.16798729789339,73.03302716780303,84.4755256084251,63.24642595756979,99.6003399758158
16,16,16,16,16,16,16,16,16,57.88,69.35211168405019,98.3382875469632,88.09031485467086,70.74226740302439,84.47446782699826,60.31822624731903,99.33972348990586
17,17,17,17,17,17,17,17,17,52.62,77.09090019608763,98.33921124342044,88.10017009993636,84.01582273932101,84.4746242594628,69.67058583434198,98.20767388824412
18,18,18,18,18,18,18,18,18,84.67,92.54925837452004,98.34175140867784,88.21400078996066,104.25936061780116,84.47119764357305,85.10785542672251,96.650105635561
19,19,19,19,19,19,19,19,19,114.42,111.21135342656352,98.34434371809007,88.42549748200764,127.37662246305013,84.47127213522283,104.33633283951578,94.98059878075792
20,20,20,20,20,20,20,20,20,145.03,129.07819052391724,98.34666040839814,88.75131650896746,151.03420204079185,84.47066130369465,125.76523399340309,93.56888517833823
21,21,21,21,21,21,21,21,21,175.4,138.38869325293047,98.3481800380536,89.10256698516115,160.23521694296278,84.46895544491477,137.32094484335627,92.7853522093234
22,22,22,22,22,22,22,22,22,173.63,140.46377734410964,98.35009447345288,89.44231595062926,168.5110604532328,84.4714136693574,147.42487303247475,92.14802400132596
23,23,23,23,23,23,23,23,23,183.4,133.33030797816045,98.35027325341233,89.6463783760285,158.21568872418734,84.46882880911014,142.9562679456495,91.88227504074636
24,24,24,24,24,24,24,24,24,153.75,124.65520412341544,98.35122674652948,89.77375909714723,153.96339248998464,84.47186806842105,140.9041421809316,92.20273811808718
25,25,25,25,25,25,25,25,25,154.38,116.47675099606391,98.35036264339206,89.7753085234626,141.8993506219529,84.46898524157467,132.1481552928587,92.70350078454838
26,26,26,26,26,26,26,26,26,132.24,107.00826637620357,98.34987099850352,89.66676674057247,125.70964832433944,84.46868727497557,119.07997343499736,93.98839235322264
27,27,27,27,27,27,27,27,27,108.52,99.22214586989776,98.3491856753256,89.50473250397745,116.55238981724754,84.46996108218676,110.18873950758925,95.28359356622605
28,28,28,28,28,28,28,28,28,103.93,91.80840167166244,98.34746491821572,89.27339868559484,102.34611708492758,84.46669834792652,97.64108295087496,96.45300817941592
29,29,29,29,29,29,29,29,29,82.32,87.12422519954741,98.34620600933452,89.05746229122114,96.80495142795256,84.4652681082508,90.86515115636064,97.718248850879
30,30,30,30,30,30,30,30,30,83.26,87.12669832232001,98.34505883792794,88.8731848480027,96.91460313642436,84.46193833150576,88.65345682865535,98.30667329079785
31,31,31,31,31,31,31,31,31,88.21,93.0297518630769,98.3453046603722,88.7646356159476,105.2809837978334,84.46913422487422,93.25446337379432,98.44842345115856
32,32,32,32,32,32,32,32,32,105.44,95.21717681128484,98.34500669377309,88.64205960623947,99.59838829459166,84.46774868018838,88.95513311192242,98.54190302246376
33,33,33,33,33,33,33,33,33,85.91,93.86242697344966,98.34558027947638,88.6139166609537,101.1784753730024,84.46616200804813,89.45111341446793,100.52935513684524
34,34,34,34,34,34,34,34,34,94.36,88.26064001188607,98.34458954053434,88.53067969149284,92.8215998461049,84.46547668487018,83.10773973187895,100.65806180933
35,35,35,35,35,35,35,35,35,75.4,80.18383818982032,98.3435019624476,88.41810791034976,83.1958931502251,84.46946198813325,75.09853163282088,100.48443667202967
36,36,36,36,36,36,36,36,36,62.56,69.87367241912914,98.34094689886024,88.26067725771097,69.10247526731736,84.47265023074371,62.58272770555127,100.1892784081181
37,37,37,37,37,37,37,37,37,39.44,60.58276471858975,98.33802682618898,88.09016587137131,60.66705946947745,84.47694094977086,52.16311880300765,99.63576820444976
38,38,38,38,38,38,38,38,38,29.73,56.52316348403033,98.33546431343665,87.94322364302111,58.34321423845033,84.48135085543767,46.67133738525231,98.59059076475803
39,39,39,39,39,39,39,39,39,31.04,71.84931760702094,98.33729680802116,87.99039175565994,84.91229249856283,84.4825427218341,67.2069681962557,97.11443443611626
40,40,40,40,40,40,40,40,40,102.01,91.5968602846256,98.34001575323803,88.10142155965262,95.13167529567076,84.4731195281373,76.67399277978045,95.50376108630708
41,41,41,41,41,41,41,41,41,94.18,100.95553676354966,98.34319654668352,88.22717836280623,100.90404813522376,84.47261298491881,83.03305440381249,93.31254451312547
42,42,42,42,42,42,42,42,42,97.19,106.57266900496732,98.3454759911667,88.4275832482014,120.73779254995044,84.46921616568898,99.37022782048956,90.80131181250172
43,43,43,43,43,43,43,43,43,133.93,120.0552851563632,98.34693602750232,88.74561789775952,148.26202509099912,84.46581189729417,122.9524665436468,88.22560658899593
44,44,44,44,44,44,44,44,44,175.57,135.18805523195013,98.34809809723885,89.09645122071446,161.8918516406844,84.46401664853454,137.8494928951843,85.84324444248645
45,45,45,45,45,45,45,45,45,179.75,140.95735901553232,98.34976671019383,89.40209790891464,164.54440989926516,84.46741346776437,144.13925493742877,84.36572491665373
46,46,46,46,46,46,46,46,46,173.22,155.37395147183278,98.35244096042084,89.89973937525018,204.2471183807331,84.47177867844131,177.1277032612328,83.78960649727809
47,47,47,47,47,47,47,47,47,257.02,167.41029734447744,98.35130868734424,90.34126628180866,206.922694559095,84.46821052841699,184.9004897622285,84.90881373851825
48,48,48,48,48,48,48,48,48,226.03,163.0454591257916,98.35320822441356,90.6009888679213,193.90381872422108,84.47548836260022,179.06978996090004,87.00359342189847
49,49,49,49,49,49,49,49,49,195.95,140.79834913991826,98.35310393610384,90.6190605421572,167.52029171453822,84.47467640361764,160.49389664597854,90.25525822297608
50,50,50,50,50,50,50,50,50,151.33,116.9262336108186,98.35263463871026,90.47851714652286,147.80890728373532,84.47463915779275,143.97778683737204,94.29715279238351
51,51,51,51,51,51,51,51,51,133.22,103.500990928081,98.35107031406494,90.23426647606892,132.69945309452862,84.4717861276063,129.65494957148096,98.44184583848325
52,52,52,52,52,52,52,52,52,118.6,99.7406375490059,98.34972201520398,89.95875166020355,121.22172010356202,84.46979720055724,117.76787751582452,102.7009282619806
53,53,53,53,53,53,53,53,53,107.7,97.90394163544322,98.34843330966284,89.66262500484487,110.28132517909714,84.46671324625648,106.55050773915865,106.42113809099084
54,54,54,54,54,54,54,54,54,94.94,98.82592478473369,98.34792676644436,89.43840513901597,113.0696966135514,84.46657916128687,105.46704904064649,109.41036880990394
