,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Actual,Gru_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted,biLSTM_predicted,CNN_1D_predicted,GRU_predicted,vLSTM_predicted,transformer_predicted
0,0,0,0,0,0,0,0,0,0,0,0,138.68,117.2782365,98.34722654,88.73155387,86.9342267976261,83.2364836501886,115.9289245,80.69155838,94.36733137563846,113.80253801489296,90.56502429940896,118.17103377358286,79.71321015059948
1,1,1,1,1,1,1,1,1,1,1,1,142.05,125.2192996,98.34869403,88.9797526,86.93327330450894,83.23646130269367,127.6581562,80.73086762,110.76343513645416,124.8107799339748,95.44973974188876,129.96709938070668,70.13418208062649
2,2,2,2,2,2,2,2,2,2,2,2,161.36,124.2218713,98.34873873,89.14978724,86.93050966430222,83.23636446354897,126.1416254,81.51762608,138.03858249897837,123.9309739567881,98.8247478166672,128.3669889468359,69.7853874862194
3,3,3,3,3,3,3,3,3,3,3,3,137.74,118.9669324,98.34986355,89.2870828,86.92633068274972,83.23947076534466,126.8110372,83.1129169,143.50568855774506,125.91569222762274,100.98437993034332,128.9561880999124,73.89349417388439
4,4,4,4,4,4,4,4,4,4,4,4,141.59,116.3277379,98.34966987,89.39873834,86.92335846592363,83.2418321506426,128.2975627,84.9216561,131.7373636409982,134.9295245122339,102.37969047148208,130.3913442245169,66.97387954592705
5,5,5,5,5,5,5,5,5,5,5,5,144.52,113.6372932,98.34928996,89.43784645,86.91840477121345,83.24399240848614,122.765418,87.00167899,125.95652855003053,136.11710018963944,102.40706615277516,124.7518048948463,53.004877105355256
6,6,6,6,6,6,6,6,6,6,6,6,126.04001,114.3139306,98.34984865,89.4883071,86.91544000355232,83.24606327634994,125.6774232,88.82844516,128.40617155461862,145.55684593101586,102.45298280569772,127.64230438114492,43.62657052278518
7,7,7,7,7,7,7,7,7,7,7,7,143.12,118.8667113,98.34935701,89.54631374,86.91562623267676,83.24665920954816,129.7782184,90.23970437,124.46469917827562,153.25956558623125,102.97084875494772,131.76422532990782,36.70815934985876
8,8,8,8,8,8,8,8,8,8,8,8,150.26,122.0101844,98.34937935,89.59308705,86.9121027776423,83.24580255557572,129.9072081,91.96874495,120.41408163667931,153.21168235375455,103.45789005952,131.87603729622313,37.13851857185364
9,9,9,9,9,9,9,9,9,9,9,9,144.0,93.17549478,98.34657847,89.19497388,86.90970414651949,83.24724769358139,82.33167828,92.65276452,120.76976436603474,97.60138635070878,97.5108045045799,83.68096787524324,40.81400354206562
10,10,10,10,10,10,10,10,10,10,10,10,6.67,71.50745308,98.34621346,88.9320854,86.91346597483323,83.24803730506903,85.1281991,94.09934767,117.70695824463688,83.55100229387725,92.14444095297168,86.48851346035013,46.24085995554923
