,Actual,Gru_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,biLSTM_predicted
0,33.91,51.22905414328555,38.23470565489903,34.97762461932326,37.89481501601397,41.99641510969753,58.45362437813001,55.84776510507621,45.87591254306149,33.384773251866974
1,28.8,51.26354384612662,38.142139598564576,34.92457700530881,37.04851168663922,41.785770525405496,58.4535051783794,55.84754533053602,45.87537986917594,34.88290551749338
2,30.81,51.45871108780016,41.31444726150214,36.98361487241552,35.96158876068578,42.88803296926579,58.453602028176775,55.84737025590231,45.87494777007998,37.9646809698413
3,38.81,51.7094328632432,44.52857541194339,39.11564396181092,34.99370168568702,45.22197153622869,58.45319227903404,55.847705505200906,45.87446724608533,40.79471399888157
4,42.45,51.86761838228943,45.01628491656367,39.51684052243249,34.23867556534323,46.64061619315808,58.453829252701375,55.84828287899293,45.87430334642824,41.06617280593885
5,39.29,52.17617066174021,49.647783776599645,42.57753251889095,33.51851909704559,48.560514426370986,58.45503242518412,55.8486032283227,45.87443744614768,43.65711348520514
6,50.1,52.4386298876263,51.16719692270245,43.685695350406526,33.28108064381136,51.17762690088098,58.45465620097124,55.84902415244205,45.87453057095284,44.08950685555714
7,47.55,52.531795667706014,48.79841477863884,42.23794732936684,33.3930054846436,51.28198628254159,58.45464130100242,55.84946370152242,45.87459389582035,41.94899223391508
8,39.66,52.67850448576366,49.35785273318975,42.61427584201703,33.567446869679515,49.95340821217602,58.4555315741398,55.84925137696665,45.874646045711245,42.023868302260304
9,44.2,52.91993613064339,51.9580537430817,44.33421649357869,33.82783499989873,50.38899390084909,58.4555315741398,55.849061402364114,45.874809945368334,43.02167451466261
10,49.85,53.22976235742883,55.75798534291231,46.88118363984587,34.35461222278201,52.43377249778887,58.45556509906966,55.84940782663933,45.87454919591387,45.968605249130974
11,55.72,53.19019176521793,50.6321613920971,43.62278768202116,34.96266505062148,51.79642260624434,58.45535277451389,55.84988462564178,45.87522714449548,40.349275705822
12,37.99,53.26115659174621,51.675587584053865,44.278192610791166,35.62175772167603,48.90615645322306,58.45618344777596,55.84965740111717,45.87541711909801,40.68417485515019
13,47.41,53.23907111295317,49.417087559259386,42.78960005020591,36.33906829592782,46.90042694958526,58.45601209813445,55.849221577029,45.87588646811604,37.93181536360231
14,40.45,53.066294799433614,45.139034584748345,39.9876869873334,37.070775965058175,45.029802913281486,58.45579977357868,55.84906885234852,45.8765383417522,33.53092704608584
15,32.94,53.136592852356905,48.88164600450352,42.29825495319198,37.83132252385217,44.647801237500616,58.4558668234384,55.84853245347077,45.87606526774197,37.466433462268505
16,47.91,53.16506296779209,49.60176894787129,42.7700065911991,38.516050591272666,46.08109628877863,58.4553639494905,55.848595778338286,45.87587156814722,38.29338545712988
17,44.67,53.15186159541184,49.86838526505997,42.96091616678047,39.112850217655954,47.09406694445408,58.4562616726123,55.84907630233294,45.875960967960175,38.44135332255336
18,44.36,53.13342288398908,49.952860638321646,43.03286811624351,39.67925763262544,47.53534442121886,58.45635479741746,55.84914707718487,45.87607271772637,38.51199779975187
19,44.21,53.14587925792801,50.36877836814377,43.31843719377945,40.293147523252685,47.81246149143799,58.45600837314225,55.849165702145896,45.875756093388816,39.74251917527043
20,45.12,53.27585168600132,53.07610270391364,45.11872220224566,40.82287866495581,48.61300329155444,58.45600837314225,55.849236476997824,45.87510794474486,43.26851857321856
21,51.23,53.200077894534296,49.55288587514385,42.852183644269296,41.1492252321776,48.74620156287868,58.45594132328253,55.84947115150684,45.87542829407463,39.99304352612651
22,38.92,53.03653956168715,46.05178805009695,40.56465103021644,41.3660980034391,47.06072081422044,58.456514972082346,55.84928490189651,45.87606899273417,36.358550005168425
23,35.01,52.83943532406617,42.8584900560751,38.42374155940047,41.58487052072597,44.70604149065108,58.45617599779155,55.84855852841622,45.87656069170544,33.38570449991863
24,31.84,52.89192418924963,46.67521019578093,40.78146420160263,41.83223980318305,44.43241846312176,58.45589662337605,55.84804820448391,45.87592371803811,37.88018324662638
25,45.56,53.04547954298303,50.93149804082871,43.54480124518341,41.998679904959154,47.20032979713227,58.45554647410863,55.84829777896176,45.875040894885146,42.867746661708544
26,50.94,53.21559993705928,54.44052637428349,45.943323727024655,42.0097952817037,51.29225981104744,58.45593014830591,55.84917687712252,45.874519395976215,46.4943990740717
27,53.86,53.35776426462484,56.10948305751318,47.13748917860662,42.00310147070841,54.33550394401011,58.45576997364103,55.84987717565736,45.87438157126457,48.05547253301332
