DataSets,BiLSTM,CNN,GRU,Seq2Seq,V-LSTM,S_LSTM,CNN_BiLSTM,CNN_LSTM,GRU_BiLSTM
BHIWADI,23.13,57.2,22.34,24.2,19.6,48.14,45.98,43.5,35.3
JODHPUR,27.54,26.68,32.94,22.35,22.08,50.0,40.87,43.55,52.63
SINGRAULI,10.92,15.5,27.34,21.61,13.63,17.79,50.61,22.2,26.5
ANKLESHWAR,18.53,16.68,37.15,23.78,18.38,46.28,62.85,68.72,69.38
LUDHIANA,8.4,11.12,22.14,10.1,8.3,21.15,25.66,24.76,23.77
DURGAPUR,6.14,8.27,20.34,9.48,8.78,15.28,9.62,13.76,24.39
YAMUNA_NAGAR,37.34,34.57,56.27,36.33,38.18,66.14,72.39,45.63,74.13
CHARKHI_DADRI,18.42,20.43,27.96,18.43,18.06,40.71,46.16,45.27,43.48
JIND,24.17,26.42,34.35,25.85,19.41,79.22,62.13,43.59,50.95
KURUKSHETRA,27.14,72.03,43.56,27.32,26.7,65.77,39.71,88.12,53.74
SONIPAT,12.56,15.98,22.4,15.41,10.9,43.02,24.01,22.96,46.77
DHARUHERA,26.74,28.93,34.6,24.06,25.19,53.18,31.93,35.01,46.22
AMBALA,22.58,28.96,41.08,19.92,16.92,57.43,40.71,34.14,63.85
HISAR,28.34,66.79,47.93,33.98,30.99,63.29,43.16,49.1,62.46
FATEHABAD,14.37,38.36,72.71,15.51,15.58,38.38,74.38,76.75,72.64
BULANDSHAHR,7.39,8.87,19.79,11.19,7.2,14.98,9.61,13.16,11.51
MUZAFFARNAGAR,11.88,16.13,13.72,14.2,12.75,22.21,15.91,23.6,21.9
