,iteration_No,models,A_B_rmse,RMSE,A_B_mape,MAPE
0,0,BiLSTM,12.828911813721906,22.73888973868461,64.23527266790123,37.21033849892626
1,0,LSTM,8.0694322778084,21.096736906260983,141.61361948274453,45.73838011772558
2,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,6.7772922493783225,20.64271351218925,14.040358317765769,18.8399747929584
3,0,CNN,6.839707964643799,20.47224407791732,15.583329943386989,20.379311386401938
4,0,RNN,7.45923233419289,20.86688448603894,12.977223341170571,19.552248536861864
5,1,BiLSTM,14.53991501821887,22.470206177523732,57.365426951693735,63.81146766808264
6,1,LSTM,16.294088294986167,23.327983059685277,18.285211795447943,39.041315980417615
7,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,7.421167201453661,20.636389223500952,14.5636757675349,18.18072843043697
8,1,CNN,5.567623764723676,20.39759662948154,13.551266898796987,19.552045432246587
9,1,RNN,10.759484864918376,21.860277333760994,41.50707169922718,23.819845944592828
10,2,BiLSTM,10.252424611555107,21.645353202082426,15.869395427854545,21.988206908699816
11,2,LSTM,13.819176484035598,22.10054345074644,80.52793937505264,23.859968606225987
12,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,14.524010229203459,21.3593668021845,28.403387019538307,21.574362989141015
13,2,CNN,6.980227944913808,20.442483366918506,14.943491547321832,20.71752750784561
14,2,RNN,10.192996166075728,21.650163102676814,12.63414288573779,19.18406824417536
15,3,BiLSTM,11.357359613415412,21.6930870439792,123.1188391550462,20.261633649107697
16,3,LSTM,11.66530300496863,21.175613822943244,33.190053250694845,20.186951645229172
17,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,10.732053667029014,21.256968165941355,22.093523938688804,21.935543151195468
18,3,CNN,6.754572940547456,20.396962695236766,15.062743854893327,19.478442999603757
19,3,RNN,10.678847457991417,21.41480462684334,14.930672691819137,19.395244981642772
20,4,BiLSTM,10.888848946423463,21.975351579047587,15.308895107154427,34.91461553297921
21,4,LSTM,10.02399496262563,22.362353152381388,14.1938950231709,28.343640528706615
22,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,8.52813773544444,21.283622055106374,12.387729213868539,19.65653376807323
23,4,CNN,6.706697690174868,20.740409516988702,14.510894340408424,24.863777474826595
24,4,RNN,12.945938585652147,21.086420288726647,17.066144533640276,19.855851198286754
25,5,BiLSTM,15.055757749548684,22.35110906929299,792.9752943109959,63.21360488347084
26,5,LSTM,11.336111400016076,20.942154430786847,23.07963450064623,20.243415581589012
27,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,12.001439077531051,21.14605792287503,24.18930092131088,18.506335877444844
28,5,CNN,6.798875653504229,20.438815793423025,16.972480216509567,19.90484552976263
29,5,RNN,13.193961197821368,21.120546317237814,17.9608182328572,19.174905939192875
30,6,BiLSTM,11.061456471622249,21.78665653741773,16.60133943386222,27.368773639713538
31,6,LSTM,13.51427929985538,22.02185665298344,26.106747473627586,22.71296560663637
32,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,14.428673830903548,21.54442417058819,28.72490031873375,30.15217533117936
33,6,CNN,7.618465218583685,20.65199859919249,15.857031960645024,18.99775099610176
34,6,RNN,13.32582681238301,21.6406877043394,25.984546690666637,21.250833659231212
35,7,BiLSTM,12.96366757989708,21.442467300138453,111.99876080740523,39.70327058062698
36,7,LSTM,11.874799004927533,21.765234319109872,29.13550106970338,18.918437423201862
37,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,9.480800647821646,21.540397571512344,13.521536438161272,24.840698162511988
38,7,CNN,6.266977867114189,20.539516199511223,14.448041047853533,25.547772608009716
39,7,RNN,10.659718875278395,21.2487158195532,13.687528356021406,19.616849473915167
40,8,BiLSTM,10.816562835703039,21.91493800096237,14.173539665367732,26.28161974190898
41,8,LSTM,12.183315926700763,22.08050956739583,28.744439060573058,19.02472168846763
42,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,9.310450943241063,21.005240248685272,20.966541601079193,18.809861247938027
43,8,CNN,8.227868451870904,20.722901084012218,17.84106950448985,19.437385025517145
44,8,RNN,11.973749170911345,21.051041991167228,17.66106769809467,18.46095009866829
45,9,BiLSTM,12.409492127592939,21.957098739299823,76.14872017251628,47.31609835333505
46,9,LSTM,11.241862470480758,21.92743127937427,29.706960892226757,21.286856797874588
47,<keras.engine.sequential.Sequential object at 0x7f8ce1bebb80>,GRU,7.6011498363748755,21.22888528869245,11.529964060019639,19.486246196052743
48,9,CNN,6.91351064808252,20.505518652878568,15.422169173984573,18.834971228369213
49,9,RNN,14.450923392038737,20.879868265315547,13.23324241452372,19.18364236683732
