year,month,day,hour,PM_US Post
2014,1,1,0,53
2014,1,1,1,65
2014,1,1,2,70
2014,1,1,3,79
2014,1,1,4,92
2014,1,1,5,106
2014,1,1,6,75
2014,1,1,7,58
2014,1,1,8,33
2014,1,1,9,51
2014,1,1,10,32
2014,1,1,11,23
2014,1,1,12,28
2014,1,1,13,23
2014,1,1,14,24
2014,1,1,15,26
2014,1,1,16,26
2014,1,1,17,27
2014,1,1,18,43
2014,1,1,19,62
2014,1,1,20,70
2014,1,1,21,81
2014,1,1,22,111
2014,1,1,23,144
2014,1,2,0,170
2014,1,2,1,174
2014,1,2,2,174
2014,1,2,3,172
2014,1,2,4,149
2014,1,2,5,166
2014,1,2,6,187
2014,1,2,7,107
2014,1,2,8,114
2014,1,2,9,108
2014,1,2,10,102
2014,1,2,11,95
2014,1,2,12,127
2014,1,2,13,125
2014,1,2,14,128
2014,1,2,15,146
2014,1,2,16,165
2014,1,2,17,173
2014,1,2,18,195
2014,1,2,19,239
2014,1,2,20,232
2014,1,2,21,242
2014,1,2,22,269
2014,1,2,23,264
2014,1,3,0,220
2014,1,3,1,146
2014,1,3,2,34
2014,1,3,3,34
2014,1,3,4,35
2014,1,3,5,45
2014,1,3,6,43
2014,1,3,7,43
2014,1,3,8,36
2014,1,3,9,36
2014,1,3,10,23
2014,1,3,11,25
2014,1,3,12,29
2014,1,3,13,26
2014,1,3,14,21
2014,1,3,15,25
2014,1,3,16,31
2014,1,3,17,43
2014,1,3,18,46
2014,1,3,19,50
2014,1,3,20,68
2014,1,3,21,60
2014,1,3,22,103
2014,1,3,23,85
2014,1,4,0,86
2014,1,4,1,89
2014,1,4,2,77
2014,1,4,3,77
2014,1,4,4,75
2014,1,4,5,80
2014,1,4,6,86
2014,1,4,7,95
2014,1,4,8,101
2014,1,4,9,132
2014,1,4,10,153
2014,1,4,11,173
2014,1,4,12,178
2014,1,4,13,176
2014,1,4,14,209
2014,1,4,15,219
2014,1,4,16,224
2014,1,4,17,212
2014,1,4,18,221
2014,1,4,19,221
2014,1,4,20,217
2014,1,4,21,203
2014,1,4,22,221
2014,1,4,23,192
2014,1,5,0,183
2014,1,5,1,175
2014,1,5,2,177
2014,1,5,3,183
2014,1,5,4,155
2014,1,5,5,151
2014,1,5,6,137
2014,1,5,7,109
2014,1,5,8,140
2014,1,5,9,117
2014,1,5,10,128
2014,1,5,11,54
2014,1,5,12,34
2014,1,5,13,32
2014,1,5,14,28
2014,1,5,15,29
2014,1,5,16,37
2014,1,5,17,46
2014,1,5,18,54
2014,1,5,19,53
2014,1,5,20,47
2014,1,5,21,112
2014,1,5,22,125
2014,1,5,23,128
2014,1,6,0,126
2014,1,6,1,153
2014,1,6,2,157
2014,1,6,3,144
2014,1,6,4,138
2014,1,6,5,128
2014,1,6,6,126
2014,1,6,7,126
2014,1,6,8,159
2014,1,6,9,149
2014,1,6,10,123
2014,1,6,11,150
2014,1,6,12,146
2014,1,6,13,145
2014,1,6,14,160
2014,1,6,15,148
2014,1,6,16,156
2014,1,6,17,158
2014,1,6,18,167
2014,1,6,19,171
2014,1,6,20,177
2014,1,6,21,185
2014,1,6,22,201
2014,1,6,23,217
2014,1,7,0,208
2014,1,7,1,204
2014,1,7,2,213
2014,1,7,3,256
2014,1,7,4,211
2014,1,7,5,203
2014,1,7,6,212
2014,1,7,7,205
2014,1,7,8,196
2014,1,7,9,182
2014,1,7,10,124
2014,1,7,11,102
2014,1,7,12,77
2014,1,7,13,48
2014,1,7,14,38
2014,1,7,15,31
2014,1,7,16,27
2014,1,7,17,33
2014,1,7,18,35
2014,1,7,19,29
2014,1,7,20,24
2014,1,7,21,26
2014,1,7,22,11
2014,1,7,23,14
2014,1,8,0,12
2014,1,8,1,9
2014,1,8,2,11
2014,1,8,3,15
2014,1,8,4,13
2014,1,8,5,15
2014,1,8,6,17
2014,1,8,7,19
2014,1,8,8,18
2014,1,8,9,21
2014,1,8,10,17
2014,1,8,11,22
2014,1,8,12,23
2014,1,8,13,16
2014,1,8,14,22
2014,1,8,15,18
2014,1,8,16,17
2014,1,8,17,21
2014,1,8,18,23
2014,1,8,19,22
2014,1,8,20,21
2014,1,8,21,23
2014,1,8,22,53
2014,1,8,23,66
2014,1,9,0,52
2014,1,9,1,30
2014,1,9,2,10
2014,1,9,3,10
2014,1,9,4,13
2014,1,9,5,11
2014,1,9,6,14
2014,1,9,7,20
2014,1,9,8,22
2014,1,9,9,23
2014,1,9,10,20
2014,1,9,11,17
2014,1,9,12,14
2014,1,9,13,10
2014,1,9,14,10
2014,1,9,15,27
2014,1,9,16,44
2014,1,9,17,53
2014,1,9,18,59
2014,1,9,19,56
2014,1,9,20,58
2014,1,9,21,66
2014,1,9,22,73
2014,1,9,23,83
2014,1,10,0,81
2014,1,10,1,91
2014,1,10,2,104
2014,1,10,3,88
2014,1,10,4,85
2014,1,10,5,66
2014,1,10,6,47
2014,1,10,7,70
2014,1,10,8,61
2014,1,10,9,47
2014,1,10,10,61
2014,1,10,11,69
2014,1,10,12,66
2014,1,10,13,63
2014,1,10,14,43
2014,1,10,15,48
2014,1,10,16,67
2014,1,10,17,87
2014,1,10,18,127
2014,1,10,19,126
2014,1,10,20,126
2014,1,10,21,106
2014,1,10,22,104
2014,1,10,23,118
2014,1,11,0,141
2014,1,11,1,199
2014,1,11,2,262
2014,1,11,3,234
2014,1,11,4,221
2014,1,11,5,177
2014,1,11,6,135
2014,1,11,7,108
2014,1,11,8,97
2014,1,11,9,87
2014,1,11,10,85
2014,1,11,11,81
2014,1,11,12,82
2014,1,11,13,81
2014,1,11,14,111
2014,1,11,15,143
2014,1,11,16,153
2014,1,11,17,189
2014,1,11,18,244
2014,1,11,19,273
2014,1,11,20,218
2014,1,11,21,227
2014,1,11,22,95
2014,1,11,23,20
2014,1,12,0,23
2014,1,12,1,23
2014,1,12,2,17
2014,1,12,3,17
2014,1,12,4,13
2014,1,12,5,12
2014,1,12,6,12
2014,1,12,7,17
2014,1,12,8,33
2014,1,12,9,22
2014,1,12,10,20
2014,1,12,11,10
2014,1,12,12,14
2014,1,12,13,12
2014,1,12,14,12
2014,1,12,15,8
2014,1,12,16,19
2014,1,12,17,40
2014,1,12,18,37
2014,1,12,19,42
2014,1,12,20,56
2014,1,12,21,62
2014,1,12,22,57
2014,1,12,23,57
2014,1,13,0,75
2014,1,13,1,96
2014,1,13,2,110
2014,1,13,3,97
2014,1,13,4,105
2014,1,13,5,84
2014,1,13,6,106
2014,1,13,7,112
2014,1,13,8,120
2014,1,13,9,117
2014,1,13,10,118
2014,1,13,11,106
2014,1,13,12,96
2014,1,13,13,82
2014,1,13,14,63
2014,1,13,15,79
2014,1,13,16,125
2014,1,13,17,119
2014,1,13,18,115
2014,1,13,19,131
2014,1,13,20,177
2014,1,13,21,287
2014,1,13,22,299
2014,1,13,23,250
2014,1,14,0,159
2014,1,14,1,124
2014,1,14,2,123
2014,1,14,3,49
2014,1,14,4,36
2014,1,14,5,59
2014,1,14,6,85
2014,1,14,7,170
2014,1,14,8,180
2014,1,14,9,227
2014,1,14,10,199
2014,1,14,11,168
2014,1,14,12,93
2014,1,14,13,80
2014,1,14,14,111
2014,1,14,15,133
2014,1,14,16,135
2014,1,14,17,94
2014,1,14,18,103
2014,1,14,19,92
2014,1,14,20,93
2014,1,14,21,109
2014,1,14,22,122
2014,1,14,23,123
2014,1,15,0,122
2014,1,15,1,172
2014,1,15,2,213
2014,1,15,3,196
2014,1,15,4,158
2014,1,15,5,103
2014,1,15,6,90
2014,1,15,7,70
2014,1,15,8,67
2014,1,15,9,66
2014,1,15,10,52
2014,1,15,11,55
2014,1,15,12,51
2014,1,15,13,47
2014,1,15,14,48
2014,1,15,15,60
2014,1,15,16,88
2014,1,15,17,279
2014,1,15,18,435
2014,1,15,19,489
2014,1,15,20,513
2014,1,15,21,539
2014,1,15,22,567
2014,1,15,23,569
2014,1,16,0,659
2014,1,16,1,648
2014,1,16,2,651
2014,1,16,3,671
