,iteration_No,models,A_B_rmse,RMSE,A_B_mape,MAPE
0,0,BiLSTM,0.32441059127158856,1.1566316701373325,1.145282130546092,3.8896426716986574
1,0,LSTM,0.32201485380057465,1.1606295138002982,1.1580617242021272,3.935808018873371
2,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.27645103197052584,1.1679235047309071,0.9799071773765621,3.9736603075845376
3,0,CNN,0.2653098095580014,1.1763313620001736,0.9519215540050922,3.9608654957199985
4,0,RNN,0.27137965828473387,1.1641016660248897,0.9767045049099858,3.928579346031909
5,1,BiLSTM,0.27194606834700535,1.1627887202780116,0.9784785534617773,3.941292757839542
6,1,LSTM,0.29185787235385335,1.161278938102081,1.06351481110061,3.9472219823754178
7,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.29238371232288607,1.164095644638851,1.041849826002586,3.9481537186566897
8,1,CNN,0.2631566442318365,1.1746752630732864,0.9402391364438496,3.9586946121101168
9,1,RNN,0.2853633278209265,1.1640814513900783,0.9764441985995527,3.90925018020786
10,2,BiLSTM,0.2640696089250694,1.1609799289844736,0.9476071246914446,3.9370598564270423
11,2,LSTM,0.3663163806543353,1.1576776234999941,1.1902207942392788,3.940806571659535
12,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.3016366993197831,1.1644567155910956,1.0674113315668063,3.9547422630437667
13,2,CNN,0.23006545339765058,1.169097195180782,0.8047885379144952,3.95383357486584
14,2,RNN,0.2840410514745221,1.1635541399692857,0.9361920112837605,3.9424592199487365
15,3,BiLSTM,0.2733229843230274,1.1634437913098319,0.9799607886997951,3.961380037361751
16,3,LSTM,0.3806573546429245,1.1677343611662145,1.3794575919117695,3.9827387166640844
17,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.2878524214598219,1.1604123598812583,1.0329155513903843,3.9445068159432854
18,3,CNN,0.2809676867318665,1.1774911042760405,1.0072587925859806,3.9642047122311292
19,3,RNN,0.2851130982987658,1.16228375353159,0.9044083067469979,3.9601839309757048
20,4,BiLSTM,0.2888123311439534,1.1643078699752376,1.0518072737759891,3.929822973739261
21,4,LSTM,0.28241137155593193,1.1592776067181498,1.0113038729348605,3.9428312797304916
22,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.3359962743359525,1.1540363120495414,1.1880200386095283,3.912812864525175
23,4,CNN,0.24474376249336618,1.1767125655576918,0.8604165252486291,4.001756611038831
24,4,RNN,0.37624844242151273,1.2327685527254497,1.469687830178836,4.514861479263009
25,5,BiLSTM,0.26754114101636955,1.163335322380261,0.957842649747698,3.9468213156776457
26,5,LSTM,0.33512602817053233,1.1574373967110927,1.1026293359477755,3.923125954765485
27,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.34267649729979066,1.1601651017291608,1.204307112767606,3.972159158664823
28,5,CNN,0.3530218702177102,1.1963470150360342,1.305762751709303,4.019353991620613
29,5,RNN,0.38641663294836887,1.2834068592295904,1.564379065253873,4.805141984340016
30,6,BiLSTM,0.2640152442315588,1.1600670704997553,0.9387005044139064,3.916467130390186
31,6,LSTM,0.2829695073199325,1.1549263814782944,0.984423947921185,3.8730709071806264
32,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.28793407609857635,1.1615720365925968,1.016694741719195,3.9496661516443314
33,6,CNN,0.23374036425760675,1.1712449173226633,0.8311756282129377,3.9522915392519913
34,6,RNN,0.3400532044897075,1.1767710617941618,1.208576022949069,3.930151734691259
35,7,BiLSTM,0.27522219619571925,1.1639779697862596,1.0138974603069915,3.927443864601431
36,7,LSTM,0.33564173080574,1.1604299016795265,1.1424185956929316,3.96006675176973
37,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.27617760999793545,1.1659894562608488,0.9892473203084041,4.002194796189185
38,7,CNN,0.259211921810649,1.1721950031477049,0.9255066010501958,3.9555424002751147
39,7,RNN,0.33621858148740785,1.176524426872234,1.2120730503625459,4.011636219102725
40,8,BiLSTM,0.2763079872752886,1.163578569662689,0.9899580598595877,3.9486259094715273
41,8,LSTM,0.2997753449210747,1.161310830673093,1.039635439538834,3.9584749378246067
42,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.33698316781739,1.1565835430176281,1.2303569617329206,3.940319098131046
43,8,CNN,0.260567562331152,1.1720482153134981,0.923537716037902,3.9587521267518166
44,8,RNN,0.3926922674405722,1.183419299317794,1.5109293622421198,4.135278398754522
45,9,BiLSTM,0.27412163057626676,1.1616881614091807,0.9861239262243061,3.930327314675535
46,9,LSTM,0.3512311396971463,1.2340940438549044,1.255915910173085,4.096204515111329
47,<keras.engine.sequential.Sequential object at 0x7fe82e64b050>,GRU,0.2967293564966057,1.1617346516946514,1.0472431204053274,3.9447390616237734
48,9,CNN,0.23971471200748387,1.1692350523612642,0.8485376303107469,3.951006845140196
49,9,RNN,0.31629890563253876,1.1684575178350605,1.112653079273538,3.9652564530843994
