,it_No,Models,A_B_rmse,RMSE,A_B_mape,MAPE
0,0,BiLSTM,13.002862208374994,21.571203522738145,15.264190620126982,18.69318801922495
1,0,LSTM,35.807393611154986,21.458528561331544,37.91794669210089,23.339849168921173
2,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,49.86304303870465,21.379591442527524,44.56047087426169,19.784222886657847
3,0,CNN,7.588357853222262,22.897576345083223,13.097148612050589,30.552978088975536
4,0,RNN,12.831853862201312,21.596689974817224,26.535804939564095,25.131892363594467
5,1,BiLSTM,12.776995109659719,23.53928698710924,28.819275720013522,4132.073989400924
6,1,LSTM,9.622843244265793,21.285868797846337,20.209919309419185,19.06764669638865
7,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,13.81229284749216,21.18254457283974,38.48859182994611,23.34436479604809
8,1,CNN,6.216208398881363,22.049761246321285,9.809111273480443,23.102328895721136
9,1,RNN,11.68144015754876,21.913831362462506,65.26542075555905,120.63820071312843
10,2,BiLSTM,12.215316439785068,22.140626781971104,15.382861907825404,29.31458507050193
11,2,LSTM,9.603023260698082,21.34310381834779,14.035199668893867,18.10410482213001
12,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,13.505818336081363,21.63264333605814,15.03987131845249,20.1616396299242
13,2,CNN,7.025288747480654,22.403713993119876,10.170880750114886,64.81201202863373
14,2,RNN,11.295128025503361,21.29050200925042,26.982507763620283,17.793569681144117
15,3,BiLSTM,10.952631433902742,21.399507303765546,11.057028775386812,25.34500424028026
16,3,LSTM,11.496051463421493,21.200702363705158,14.148119326209116,17.50458470776888
17,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,9.708765582516376,21.305757095496233,12.53578317273116,17.51215503867303
18,3,CNN,6.802208690468589,22.431685514749354,9.93808352830092,47.20124885915287
19,3,RNN,13.086063526597883,21.786521676916212,13.180632553555348,26.612631982865846
20,4,BiLSTM,10.12852462187863,21.38701523206289,33.948842164932955,24.277788095026178
21,4,LSTM,12.741558015731659,22.293774063515006,41.660102856140306,24.540360581840794
22,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,13.880970945905531,21.445913807441976,12.698921245750656,44.067907227390016
23,4,CNN,6.600850489775959,22.29252102492024,9.70486143204689,52.33920054084511
24,4,RNN,8.613514442260746,21.57799816154573,9.864868028283833,20.597541236694163
25,5,BiLSTM,13.660675218246773,21.289425972168004,19.909198766514056,18.85498381864835
26,5,LSTM,14.379550113040715,21.19654127850026,21.35922514312025,17.740465046666376
27,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,9.384543089588492,21.217974409331056,8.929409720592876,17.665637306704916
28,5,CNN,7.128025441183738,22.588178006239392,10.183343266023627,41.409926998000515
29,5,RNN,9.405362062724862,21.645466766730113,19.113851134055018,19.832131002636427
30,6,BiLSTM,12.704730720862166,21.378022356742598,14.088281881897524,21.206553119939525
31,6,LSTM,10.446931428333015,21.124739103700936,14.883080915904348,19.7733363285671
32,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,12.127022499693249,21.288544689647264,154.0851009354081,17.5328022015595
33,6,CNN,6.225099007016627,22.35903632042575,16.314575704354866,74.66429030522175
34,6,RNN,10.426648405720131,21.244277088472753,11.153465152016286,18.15450936930012
35,7,BiLSTM,13.273645264769709,21.45072233753562,258.0617905403496,19.004546284648764
36,7,LSTM,11.508283781518832,21.759538950286956,23.707882509966016,18.862413638141
37,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,11.881483282872386,21.345547097785566,12.33667299199481,19.230142724066667
38,7,CNN,6.7576648586176535,22.640216189180848,11.645158363451097,52.78042133483641
39,7,RNN,10.749043663896863,21.956862862105748,11.38777642755479,20.5140841943713
40,8,BiLSTM,10.240315133146126,22.103107488073245,14.742220140932396,165.25681221617074
41,8,LSTM,17.243966353175566,21.80399633812226,14.24507079346837,19.719317281204567
42,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,11.430563055246267,21.161633175371637,12.198707092329396,18.075515499673397
43,8,CNN,6.784103350275525,22.830977056950058,20.449980406282613,35.82002377306906
44,8,RNN,10.403584598922993,21.350978402298253,12.742001299731715,18.37459769596933
45,9,BiLSTM,13.2810186644331,21.48921578026438,20.228167049804792,20.349341830281904
46,9,LSTM,21.270698881615342,23.25121934602152,26.30334317928248,18.727064468349646
47,<keras.engine.sequential.Sequential object at 0x0000021087E807F0>,GRU,12.993902020370275,21.676736176929666,14.204461511099279,19.882340898073064
48,9,CNN,7.354860003477285,22.872657576301176,11.525191713995453,65.33575118843957
49,9,RNN,13.99126214022483,21.322435333383062,16.09569472504848,17.950569606001878
