,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,91.25762730452877,145.55436007426954,4.27137706721077,5.942736063945018
BiLSTM-std,34.87119969899058,40.884954830909976,1.7355216295595928,1.8454772994544275
LSTM,1225.5707578588754,964.1264656604906,106.06412784813892,108.93910796992222
LSTM-std,972.3752319073016,404.3550381720394,137.54059727910783,175.27060366237893
GRU,68.58533524433288,135.3619798797713,3.433354076385393,5.751559564370502
GRU-std,27.306460416867434,31.889624783578427,1.6795956736214344,1.6469824856529174
CNN,46.87823309094277,143.74440964764824,2.3528073536263263,5.736303503366896
CNN-std,9.966805367465437,14.493895800737437,0.5475217481867184,0.5175640729196651
RNN,102.89610635528936,127.77698944261127,5.090405445372897,4.919572052446267
RNN-std,42.9478404874015,39.99471110147692,2.1797208733552487,1.4077883212745914
