,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,8126.76867859577,9643.012413260749,18.721724605334245,20.277598117173277
BiLSTM-std,1083.5649049307028,2054.428878628136,2.67367454340897,7.25473249396269
LSTM,390742.8309038863,635203.9776656085,181.77341128146898,121.39346064253084
LSTM-std,437550.3235082355,728322.464734623,160.70437470823984,94.45425185265331
GRU,1728.3216648312275,3240.508589257295,3.7393054004266615,6.4959043745790295
GRU-std,1165.0855703043787,1781.0615435469374,2.462861430716034,3.0220390800315795
CNN,1370.4825796126383,2800.2913674101214,3.0295262940504277,5.988289698895878
CNN-std,973.408936968761,1787.8151525284477,2.0619353731734056,3.9779354285633044
RNN,1797.027511556674,3246.7690227605426,3.973615273947163,6.741590258455581
RNN-std,1728.6122094528562,2561.9138000850835,3.806756072670337,5.455179569156516
