,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,12.217439676769875,21.997515738842893,128.77954836997975,38.206962945685106
BiLSTM-std,1.6357977306544045,0.40500746537882326,236.8422708394309,15.715293146701224
LSTM,12.002236312640495,21.88004166416676,42.45840019238879,25.935665397607444
LSTM-std,2.225418072137942,0.702608034996683,39.32946245418964,9.24038066433857
GRU,10.080517541838109,21.164406496127572,19.042091759670107,21.198245994693202
GRU-std,2.7940170406823808,0.32099950565365604,6.64297306240022,3.757227352979439
CNN,6.867452814415913,20.53084466155604,15.41925184882901,20.771383018868494
CNN-std,0.7089720486803046,0.12978120701564494,1.2519974284873985,2.4106842632997747
RNN,11.564067885726342,21.28194099356599,18.76424585437586,19.949444044340446
RNN-std,2.0316937533563655,0.34464823030555486,8.920912088618003,1.536434590861472
