,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,13.285956565752372,15.864325120883251,222.02639506494796,118.04873145565966
BiLSTM-std,6.068868264553795,0.7982215731687566,174.5561147406621,88.99032312868252
LSTM,17.342021700318533,14.803266320519707,206.20571341175938,34.62444965353806
LSTM-std,11.092183036399934,0.18029869492804668,162.84874143432802,0.8297868465463785
GRU,14.375031463310773,15.30061433234882,268.97255644645537,33.3957426888618
GRU-std,5.029068440317985,0.4555694361082944,168.0604485506595,0.41811611729701326
CNN,6.052643422121294,15.746551360522883,28.266788898732813,224.94416606479984
CNN-std,1.2947201605082366,0.7234891632528284,8.244347536515393,221.56960258829687
RNN,19.06042264771987,15.477638669346286,259.06032016065006,35.64508193633569
RNN-std,12.870020838353723,0.6882166980102004,299.30028952002954,1.7449490232667748
