,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,0.014270140789413199,0.01937326913629966,1.7841581243935365,11.062679793912157
BiLSTM-std,0.00479559109140374,0.0086676076523425,0.8005799279613804,21.536162428756075
LSTM,0.014094021694192679,0.02082563975463901,1.7189549570902307,2.6664537141470617
LSTM-std,0.011104949883701094,0.027027844559682643,0.8911249809213478,1.9365500676684062
GRU,0.00717796080359082,0.010570968024063909,2.2242308843710354,2.190497537888137
GRU-std,0.0026514554365351605,0.00636329277824192,3.880506264659389,2.4430860824365483
CNN,0.01774511638485014,0.035808741690203615,3.6681207595839327,6.5538153622917035
CNN-std,0.010596249182790255,0.021940015643515047,4.795296536336434,4.410608922021199
RNN,0.01497279714953812,0.022438893965546193,1.6502536438054096,3.833497652895923
RNN-std,0.015493472306890048,0.029890116807735116,1.4534995032278986,5.52300086234138
