,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,107.07458586478708,107.69936333399922,83.98500922980504,86.32353279966583
BiLSTM-std,6.011732310267057,6.468460136695794,12.531491349638884,14.046964028250398
LSTM,1696.5823722829446,1697.440502738105,148.33960587585074,193.61538317376736
LSTM-std,3373.9606551486154,3375.799342761107,168.65343395694873,238.5504376391433
GRU,31.692584038597555,33.03610231008594,14.708111243096521,15.91509478247095
GRU-std,6.5212251181463845,6.776443884732444,3.560250289552657,3.955696237725316
CNN,16.891840896733346,18.665971372621442,9.744364368606648,10.875978770053052
CNN-std,18.281132429519037,19.237582504168248,12.12770975037562,13.489376342331704
RNN,28.76053990437917,30.389830331363463,11.74625190949578,12.673425499367937
RNN-std,24.24862810474192,25.738201174838675,7.461707018332279,8.01282320133495
