,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,2.1439246919979813,5.646221238205075,6.379305858987961,15.228597179928405
BiLSTM-std,0.5149114451384335,0.021598469409561335,1.5306070376639687,0.46825306487075485
LSTM,2.8052421570600385,5.77111601517228,8.316411492049385,16.32120060653147
LSTM-std,0.3568530979851133,0.1119373115931426,1.3401476822033997,2.6171197839381537
GRU,2.7828090022360827,5.742161006943265,7.974928135043163,16.121379123759827
GRU-std,0.865983186299548,0.10526191482403596,2.8614822059669454,0.7999491378323915
CNN,1.1626993497108424,5.744081719307866,4.744729748275271,20.744639200831468
CNN-std,0.46390197301699465,0.047431723614869865,2.3374854459555423,14.912981738938647
RNN,2.6275829627866667,5.744346640636481,8.260032024042493,15.294158035962912
RNN-std,0.5897228504648817,0.04642890331303237,2.371767069903196,0.44964065889987287
