,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,12.223671481505903,21.774813376243078,43.1501857567784,447.4376792095648
BiLSTM-std,1.306780877049187,0.6885820898063267,75.84547923662628,1295.4347857558373
LSTM,15.412030015295548,21.671801262137777,22.846989039450484,19.737914273997823
LSTM-std,8.05766614188762,0.663001545179262,9.964698311970755,2.3552188175718913
GRU,15.858840469847076,21.36368858034288,32.507799069256656,21.725672820877072
GRU-std,12.051860745927671,0.17687198124589115,44.433176821981014,8.046931821607627
CNN,6.848266684039965,22.53663232732912,12.283833505010138,48.80181820128958
CNN-std,0.4444060791655148,0.27890145240815306,3.523449718602496,16.48608789528138
RNN,11.248390088560175,21.5685563637982,21.23220227789889,30.559972784570608
RNN-std,1.685727327761098,0.2613402422933702,16.652029917220574,31.795782735272777
