,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,10.6399031239018,19.72680163271012,18.09869654599808,27.96715765592807
BiLSTM-std,1.303992725635399,0.6043527441941235,12.73601702135725,2.902065244184481
LSTM,12.13155796643777,20.503574630663316,14.212233397256554,29.380925625593513
LSTM-std,2.57928249013373,1.4053136183450583,0.8742661035566234,3.7744198612037545
GRU,11.388659084006367,19.994580482180154,14.010888317852935,27.396241081061596
GRU-std,2.991930703616917,1.0644116747035695,1.892351151434502,2.223029404326517
CNN,6.111126972387735,18.87504195632143,17.03394274510476,38.81966869960339
CNN-std,0.055351633449755556,0.03354758586189932,1.7623290505392204,2.6211580728098207
RNN,11.114245609176516,20.592871391022175,15.21129249134421,28.154241906043428
RNN-std,2.301247092903284,0.8546233714893562,1.581687509188214,1.7573232209752123
