,A_B_rmse,RMSE,A_B_mape,MAPE
BiLSTM,1300.1908177260152,1273.0140511804382,12.813927305942887,12.510588438046982
BiLSTM-std,84.7395425229478,57.98354271624112,0.7403751206845142,0.6058551681360064
LSTM,1533.5755868110568,1461.5858638284012,14.724022759071477,14.463172276158318
LSTM-std,68.12045983362839,92.5119450013128,0.7156645339806567,1.1004172845942617
GRU,1432.4430013961796,1375.1486965771842,13.873047571746321,13.37234076695897
GRU-std,83.58829308302927,105.35138862176908,1.1091318264607792,0.8588574573136908
CNN,1814.260844664559,1743.277192343384,17.382811337891333,16.745787788454315
CNN-std,16.02796579930617,0.7285260587003156,0.20862409119588618,0.010675134636966734
RNN,1419.8262411116002,1302.1571053890086,13.809940781334998,12.916414899255031
RNN-std,142.63064047070864,62.221457353085135,1.48822758783768,0.7257115713927788
