,iteration_No,models,A_B_rmse,RMSE,A_B_mape,MAPE
0,0,BiLSTM,6281.400626550545,6627.6409503464665,15.159656272748556,13.344573696831402
1,0,LSTM,33388.99499594056,61043.162083236384,277.79666400501577,346.0964760121902
2,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,1076.0407120581924,2286.938994962051,2.398896422631696,4.939583686983133
3,0,CNN,503.5643475182451,1311.227076064132,1.1219845823998549,2.6059756362827957
4,0,RNN,4343.493973676048,7692.105911763674,9.543897492205279,14.65817704747889
5,1,BiLSTM,7680.156477115442,8766.437405394121,18.292018205776678,17.15521080377873
6,1,LSTM,659761.0185988519,1155334.2775391885,112.74834680603925,83.88767333405565
7,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,2158.009507667841,3165.7453958321894,4.8351309316088775,5.650015337080023
8,1,CNN,501.3826424879113,1293.0832778259849,1.0856827412424541,2.5557395742759845
9,1,RNN,4950.63197605321,7510.154631485865,10.873676795180215,16.440772620671012
10,2,BiLSTM,8956.178365723528,11741.399907140943,22.09312924566613,26.73005296667657
11,2,LSTM,13356.096488100431,23729.364357842882,53.22208059398379,149.9092805486828
12,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,696.9732505888368,1913.8932139759395,1.493065237048116,4.288274275645795
13,2,CNN,3721.4203991009463,7174.832556397136,7.871065268948525,15.705135601732318
14,2,RNN,625.2481267193035,1319.7447892970822,1.3618008359093319,2.494548542468536
15,3,BiLSTM,8769.510983189546,9228.500574466421,18.19742524756962,17.46671074024976
16,3,LSTM,521987.80545987387,828118.9109523946,115.15361710326482,78.78472120061613
17,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,881.9373736455542,2125.761860907311,1.9341846451834677,4.783309384693357
18,3,CNN,754.8549231128923,1808.1684261743453,1.5546526820067887,3.736828934463954
19,3,RNN,227.7931078207194,1114.2915452700488,0.5086924698244619,2.1296716046898427
20,4,BiLSTM,8141.054573209129,9690.413215564595,19.36019386227044,18.98579239950568
21,4,LSTM,62533.01815027167,90346.23259696076,247.4947567056448,192.56055614384195
22,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,856.7366414961189,2068.5898169579777,1.940403457660041,4.748570577736515
23,4,CNN,921.6258320216708,2094.890033293811,2.1970211849072188,4.416126216610999
24,4,RNN,855.4054099615486,1941.4346835895165,1.736796020666816,4.072185038806296
25,5,BiLSTM,7144.189480709571,7260.564404708005,15.267668490603386,14.52897390404183
26,5,LSTM,1390282.772536039,2279223.7673712033,123.39388728461012,152.38804609194335
27,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,600.2268176264728,1661.885206771577,1.2718946245443477,3.8319134550519496
28,5,CNN,1005.0996342180736,2050.117124599598,2.191366631222344,4.288230314969191
29,5,RNN,429.1465574532467,1316.0759295572145,1.1662654464237998,2.400211122478033
30,6,BiLSTM,9950.637274333129,13399.217918031303,22.650346209877483,37.317174807778386
31,6,LSTM,83724.50475950795,131411.24104379176,587.1846553914397,44.9025701939226
32,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,2913.147650002417,4863.2029705768455,5.831026079854963,8.70441359881066
33,6,CNN,1911.0881594362431,3897.3321342718086,4.200935087256024,8.438892160617934
34,6,RNN,3234.319159709658,5082.973872518906,7.305685000259624,11.932886013243404
35,7,BiLSTM,9001.380214514727,11411.18959725327,20.990100972843678,23.81731302959774
36,7,LSTM,668602.7851704294,1128138.388735094,78.16892889113818,56.51693381655956
37,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,3799.901782723348,6654.215987380314,8.221182209518894,12.273510646029766
38,7,CNN,972.5791423725278,1734.245590372815,2.2713758901716696,3.8416332559327193
39,7,RNN,1376.266573874269,2465.179164593921,2.888205276972438,4.672303027718119
40,8,BiLSTM,7230.200675759543,8874.057117653025,16.119552862149654,15.420144222490048
41,8,LSTM,374241.8273932386,523248.8631444355,62.66562236394485,73.39162417356657
42,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,1216.4924864876643,2132.5063345710687,2.7938504878015755,4.7820765491292025
43,8,CNN,1934.0047901918679,3649.0251375861276,4.3313639850262335,7.870227597578047
44,8,RNN,618.2188425961698,1558.3223062558,1.36161516791639,3.1406237826261867
45,9,BiLSTM,8112.978114852549,9430.703042049345,19.08715468383681,18.0100346007826
46,9,LSTM,99549.48548660967,131445.56883193608,159.90555366960845,35.49672490992965
47,<keras.engine.sequential.Sequential object at 0x7efb9e4bf730>,GRU,3083.7504260158307,5532.346110637677,6.673419908414642,10.957376234629884
48,9,CNN,1479.2059256660054,2989.992317515459,3.469814887323168,6.424107696494843
49,9,RNN,1309.7513877025674,2467.4073932733986,2.989518234113264,5.4745237843754815
