,iteration_No,models,A_B_rmse,RMSE,A_B_mape,MAPE
0,0,BiLSTM,114.14356722628348,137.6674616051198,4.975334360077408,6.134990230210977
1,0,LSTM,774.6659582862069,1588.315320237995,61.710706191681176,532.6721439699122
2,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,87.6331706060093,161.18987370190024,4.793725525825318,5.940464739998111
3,0,CNN,44.59885091518659,132.5636016057285,2.332008518382248,5.329522066756391
4,0,RNN,142.47984045891178,210.06883342882523,7.793819825837319,7.602914293500652
5,1,BiLSTM,138.69823139591176,139.01388544492832,6.433370016049951,6.025323858864634
6,1,LSTM,2849.2048237536856,1011.8696783228157,135.72520224714683,74.70764712386055
7,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,54.83777170677865,135.96675667574831,2.4829719394288876,5.437872756637339
8,1,CNN,65.68824557891489,165.85616907321207,3.424177936274347,6.524199350289428
9,1,RNN,170.89348295617722,129.17025155556928,7.750209459893933,4.2096937676771615
10,2,BiLSTM,50.61878672911556,125.17330689941826,2.0386399264954376,4.742924097155466
11,2,LSTM,3042.212706845295,1378.585550869644,91.04199120895964,18.360189044346836
12,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,30.264417275853422,85.33873005712397,1.7287493942207368,3.4741442412338905
13,2,CNN,61.027452158754755,161.65448572969007,3.091721974940125,6.366731281307174
14,2,RNN,118.89966594197575,113.33528932932087,5.699425049232492,4.161923361311244
15,3,BiLSTM,74.78341315900752,146.66857173217736,4.000570383922288,5.206738625776335
16,3,LSTM,621.4983753648245,1409.1705091253932,45.78956211523072,316.768657110317
17,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,63.798689472729855,109.42020262919301,3.327947116224955,4.443447008269674
18,3,CNN,38.398129896915535,138.15803022555014,1.8318870027057061,5.53518458609665
19,3,RNN,53.1548728419015,68.60080160137095,2.815931510575265,2.927518641697029
20,4,BiLSTM,85.3229260550553,128.80708876465485,4.362097734916667,4.656235730092619
21,4,LSTM,444.2726908585139,735.5057792388707,19.068938039348073,49.954357227298516
22,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,63.70679186953024,199.45590392871054,3.122125610669526,9.079681763999641
23,4,CNN,51.4831124804696,154.88475029167506,2.6000742287644623,6.112033724421926
24,4,RNN,61.60496830798283,91.19009407058833,2.9000600883862493,3.811137653056988
25,5,BiLSTM,120.80727956918625,141.4687295541658,5.40316075579166,6.030578181200407
26,5,LSTM,879.329666680402,597.8191102572405,456.46649711939415,10.814768760749246
27,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,55.75681164048675,119.33827867576291,2.4650990217337956,4.973284462467211
28,5,CNN,34.4485761180985,120.03410454677255,1.6980184178160884,4.865551358442735
29,5,RNN,92.4602692404581,122.46502820475537,4.354931757908208,5.243308746986934
30,6,BiLSTM,54.60367938883031,120.95170302895224,2.3282539060325904,4.688599618489973
31,6,LSTM,454.11207158181116,725.7731736382862,18.331017587167263,42.66669971301428
32,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,63.557131674186756,150.8823665254765,2.8752654640238866,6.613176409566229
33,6,CNN,46.05659963171554,142.9460364750076,2.220440691065253,5.775608876531144
34,6,RNN,126.3123615404574,113.66536723333287,5.5028630461279455,3.844123063919523
35,7,BiLSTM,42.00685997177865,112.90562472325584,1.8762268760489795,4.335996025787306
36,7,LSTM,1268.1631131724519,1180.0892772758516,201.4580436727758,13.447819741998138
37,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,78.67032628430687,131.00249468981733,3.4559436279642615,5.287726481919558
38,7,CNN,44.765037010946294,146.57818302667854,2.2274720620831685,5.820177608225312
39,7,RNN,93.07243159320478,147.6020674698556,4.846653458995491,5.910546129475771
40,8,BiLSTM,102.28799166587066,257.5996220345791,4.578488863361176,10.598496988596219
41,8,LSTM,1479.7240916857097,474.74223878541875,13.382440153246081,8.240079145298706
42,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,133.05198801031264,148.3742262529324,7.610318316045074,7.624646956968208
43,8,CNN,38.27460473189675,128.7563723034986,1.9343670856908606,5.214874648586262
44,8,RNN,37.16896607503199,112.4472590969087,1.7198196170840823,5.124009763144235
45,9,BiLSTM,129.30353788424824,145.28760695544383,6.717627849411537,7.007477283276247
46,9,LSTM,442.5240803598516,539.3940188533909,17.666880146439617,21.758717862426742
47,<keras.engine.sequential.Sequential object at 0x7efc3dca22c0>,GRU,54.57625390313442,112.65096566104774,2.471394747717487,4.641150822645168
48,9,CNN,44.041722386529216,146.0123631986692,2.1679056185410017,5.819151533011946
49,9,RNN,132.91420459679236,169.22490243558528,7.520340639687991,6.360545103693138
