,iteration_No,models,A_B_rmse,RMSE,A_B_mape,MAPE
0,0,BiLSTM,107.56442848052193,108.95844819034639,87.64182595980876,92.19048197723292
1,0,LSTM,38.71789079089011,41.392017055467306,24.222830124871876,26.899671703644373
2,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,46.712690940347734,48.519860891054016,22.429973616867155,24.174149108502135
3,0,CNN,8.644593021361908,10.220450255115122,4.2193287081036,4.877876077761445
4,0,RNN,92.9592476202822,98.91638747777357,29.147565423497785,31.613182489371056
5,1,BiLSTM,110.60701616878295,111.74490963781172,92.35483358469246,96.42137638942991
6,1,LSTM,11.291902283546081,10.878701746873181,5.485490237265993,5.897700971603703
7,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,25.792887397450528,27.41919509135212,11.335296928516621,12.674849443277791
8,1,CNN,9.236342143631427,10.62640973723919,4.554048687225875,5.112126064023516
9,1,RNN,30.3716654816016,29.990338386304508,12.750746721000233,12.40652298805446
10,2,BiLSTM,98.26282814352238,98.28016259174444,66.91697097371784,67.34249871943287
11,2,LSTM,2291.7899644833346,2292.978528575757,319.2667236736834,425.75740644648545
12,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,30.82559204983182,32.69388781959478,14.691958997539514,16.461111508005413
13,2,CNN,5.452497627406515,6.5078509124767825,2.4506120926772086,2.798603406380538
14,2,RNN,9.951089905805263,11.163760961803543,3.7188345050553053,4.526831771899659
15,3,BiLSTM,98.46471013199483,98.46580504610284,66.50653630564803,66.98683909687281
16,3,LSTM,121.73780843458363,119.07097302168377,18.991933676367534,19.597901079565318
17,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,25.143927893522992,26.93234986883808,11.807492611910831,13.259277668784533
18,3,CNN,9.939168253094918,11.689023741839302,4.932636556710775,5.683961530854517
19,3,RNN,7.033275040526436,7.60454879092661,3.1614974131112237,3.252011709126232
20,4,BiLSTM,105.54067579823617,106.02850089311134,78.71507960834325,80.370097527744
21,4,LSTM,1478.527160355851,1480.9759824942873,366.57251811997656,549.0635503409454
22,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,36.83881615625356,38.71471127590932,17.636090585874772,19.62571373469687
23,4,CNN,4.6245724967545385,5.651549514500949,2.0765528639968016,2.3477113326574073
24,4,RNN,22.62550685063839,24.185477087805587,11.309110854079831,12.778093591046996
25,5,BiLSTM,114.33126447680273,115.32912662080464,98.59669801112693,102.14548978012077
26,5,LSTM,877.9080819409228,877.5071654510456,37.9390962809141,38.677420330488964
27,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,31.243285368416156,32.27561707454748,15.308109856821181,16.158899905277035
28,5,CNN,46.794315171467716,49.91387371989113,28.977211665794517,31.752191527898987
29,5,RNN,17.586024323905697,18.5015149419598,8.684987476620154,9.345149949984965
30,6,BiLSTM,102.8263691460895,102.7429773899207,74.40476812676549,74.72412403162177
31,6,LSTM,684.9237711833326,682.3545274036841,50.274791157826925,50.36554891635744
32,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,28.492250526239204,29.555242557892427,12.642428029449082,13.553199739680885
33,6,CNN,16.51749349696382,18.38761847216316,8.50644954859418,9.51725133944433
34,6,RNN,22.8412927051199,23.47914251960785,10.723762066048327,11.155901424704126
35,7,BiLSTM,106.11513214251875,106.32568851300893,79.82463945943805,80.78945503230578
36,7,LSTM,151.3731884349165,155.42998435571735,448.34559722788566,603.5956164710236
37,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,28.751362752204727,29.271830913885356,11.867326785809471,12.289408353588858
38,7,CNN,8.961591727134772,9.846184236349794,4.390179964264416,4.550798632608039
39,7,RNN,18.416896003395834,20.266140421229363,7.634964209475221,8.71707092575641
40,8,BiLSTM,114.89349119601947,115.7979313665553,100.6405529846279,103.93603934590953
41,8,LSTM,243.40658004810663,241.6906987956869,31.174199102964113,32.682853960355246
42,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,27.495668374715425,27.75085980408284,12.093753164053167,12.173437532414262
43,8,CNN,54.698795926495016,58.59083206097082,35.57606155686873,40.012917056767215
44,8,RNN,31.675658881830397,33.084312656589674,17.196290924339685,18.21104960869038
45,9,BiLSTM,112.13994296338208,113.3200830905857,94.2481872838817,98.32892609598805
46,9,LSTM,11066.147374873959,11072.126448480847,181.12287915675103,183.61616151720395
47,<keras.engine.sequential.Sequential object at 0x7f8adda81c00>,GRU,35.629358926993405,37.227467803702964,17.26868185412344,18.780900830481713
48,9,CNN,4.0490391030228,5.225921075668164,1.7605620418303776,2.1063507321345365
49,9,RNN,34.14474223068593,36.70668006963416,13.134759501730036,14.728440535045074
